Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Transaction Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,11,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,12,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,13,22.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,14,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,15,36.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,16,40.10
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,17,15.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,18,80.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,19,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,20,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,21,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,80.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,12.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,ADULT SOCIAL CARE & HOUSING,SERVICE PROVISION             ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,184.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,16.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,5.00
