Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,21-Jul-23,51200498187,"£4,200.00",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498645,"£4,204.40",ST MATTHEWS LIMITED,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498603,"£4,204.40",ST MATTHEWS LIMITED,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498690,"£4,207.14",REGAL CARE TRADING LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498173,"£4,245.80",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498192,"£4,261.84",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200499007,"£4,274.96",Elysium Healthcare Ltd,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498743,"£4,274.96",MENCAP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498158,"£4,274.96",THE MATHER-FRANKS CARE GROUP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498154,"£4,274.96",MENTAUR LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498625,"£4,274.96",OAKFIELD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498231,"£4,274.96",AVENS LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498160,"£4,274.96",THE MATHER-FRANKS CARE GROUP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498156,"£4,274.96",COMMUNITY CARE SOLUTIONS,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498225,"£4,274.96",AVENS LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498741,"£4,274.96",MENCAP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498229,"£4,274.96",AVENS LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200499009,"£4,274.96",Elysium Healthcare Ltd,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498742,"£4,274.96",MENCAP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498733,"£4,318.84",DUKES COURT CARE HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498595,"£4,320.00",Salutem Shared Services Limited,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498184,"£4,320.00",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498170,"£4,320.00",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498594,"£4,320.00",Salutem Shared Services Limited,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Rehabilitation And Respite Care
North Northamptonshire Council,21-Jul-23,51200498947,"£4,320.00",Birchester Medicare Services Limited T/A Shire Lodge Nursing Home,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Nursing Care
