Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,27/02/29,VI-132015,2725,Revenue,Houghton and Son Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131407,506.6,Revenue,Huntingfield Parish Council
Housing Revenue Account,HRA Special Services,Supplies and Services,Furniture and Equipment,20/02/29,VI-131678,380,Revenue,John Hutchings Services Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Furniture and Equipment,20/02/29,VI-131679,12290.86,Revenue,John Hutchings Services Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,15/02/29,VI-131699,1750,Revenue,Hydrogen East Limited
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131078,3588.33,Revenue,Igenix Ltd T/A Animal Warden Services
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/02/29,VI-130250,1225,Revenue,Impress Ipswich
Corporate Services,ICT,Supplies and Services,Corporate Subscriptions,15/02/29,VI-131487,1350,Revenue,Improvement & Development Agency
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131044,7000,Capital,Ingleton Wood
Planning and Coastal Management,Planning,Supplies and Services,Furniture and Equipment,12/02/29,VI-131473,465.93,Revenue,Insight Direct (UK) Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131476,549.75,Capital,Insight Direct (UK) Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,26/02/29,VI-131919,589.95,Capital,Insight Direct (UK) Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/02/29,VI-131529,462,Revenue,Inspire Suffolk Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/02/29,VI-131570,3414.01,Revenue,Inspire Suffolk Ltd
Excluded,Holding Accounts,Supplies and Services,Grants & Contributions,12/02/29,VI-131396,21810.65,Revenue,Insight Energy Renewables Ltd
Community Health,Port Health Authority,Employee Expenses,Qualification Training,15/02/29,VI-131623,2375,Revenue,ITSM Assist Limited
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,15/02/29,VI-131564,2070,Revenue,Adrian James Acoustics Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/02/29,VI-130567,2916,Revenue,J C Building Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131668,4322.48,Revenue,J C Building Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/02/29,VI-132233,20172.08,Revenue,J C Building Services
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/03/29,VI-132142,607.6,Revenue,JC Surveyors Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130814,375,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131318,287,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131942,475,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,26/02/29,VI-132116,375,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Premises Expenses,Building Services - Responsive Maintenance,01/03/29,VI-132056,405,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Premises Expenses,Building Services - Responsive Maintenance,01/03/29,VI-132059,429,Revenue,Jennings of Lowestoft
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131267,487.5,Capital,Jewson
The Environment,Waste Management,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131336,375,Revenue,Keep Britain Tidy
The Environment,Environmental Protection,Employee Expenses,Technical Training,12/02/29,VI-130099,1585,Revenue,Keep Britain Tidy
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131292,435,Revenue,Kesgrave Town Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131410,3886.95,Revenue,Kesgrave Town Council
Corporate Services,Miscellaneous Land,Supplies and Services,Grants & Contributions,20/02/29,VI-131437,291.06,Revenue,Kesgrave Town Council
Corporate Services,Miscellaneous Land,Supplies and Services,Grants & Contributions,20/02/29,VI-131436,473.35,Revenue,Kesgrave Town Council
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,20/02/29,VI-131418,1036902.04,Capital,Kier Construction - Eastern
Community Health,Port Health Authority,Supplies and Services,Machine Repair & Maintenance,08/02/29,VI-130858,598.79,Revenue,Klipspringer Instrumentation
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Consultants,15/02/29,VI-126377,4300,Revenue,"Knight, Kavanagh & Page"
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Consultants,20/02/29,VI-131746,6996,Revenue,"Knight, Kavanagh & Page"
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,20/02/29,VI-131497,1998.32,Revenue,Koris Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Marketing & Promotions,01/03/29,VI-132369,300,Revenue,Peter Krelle Associates Ltd
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,14/02/29,VI-131887,259,Revenue,H M Land Registry
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,05/02/29,VI-130777,1750,Revenue,LDA Design Consultancy Limited
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,05/02/29,VI-130778,4275,Revenue,LDA Design Consultancy Limited
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,06/02/29,VI-130888,838,Revenue,LEC Marine (Klyne) Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,12/02/29,VI-131380,638.81,Revenue,LEC Marine (Klyne) Ltd
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,11/02/29,VI-131621,18389.27,Revenue,Legal and General Assurance Society Ltd
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,S106 REFCUS,08/02/29,VI-130645,1872.22,Revenue,Leiston-cum-Sizewell Town Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131413,250,Revenue,Level 2 Youth Project
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/02/29,VI-132219,1200,Revenue,Level 2 Youth Project
Community Health,Port Health Authority,Supplies and Services,Other Office Expenses,12/02/29,VI-131446,932.7,Revenue,Liquidline Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,08/02/29,VI-131282,441.09,Revenue,Lisa's Homes
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,14/02/29,VI-130897,508,Revenue,Living Property
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,05/02/29,VI-130896,550,Revenue,Living Property
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,15/02/29,VI-131917,1944.41,Revenue,Lloyds Bank Group
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,15/02/29,VI-131915,5901.62,Revenue,Lloyds Bank Group
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-130981,6000,Capital,Rossi Long Consulting Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,01/03/29,VI-131897,2000,Revenue,Lowestoft Museum
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/02/29,VI-131809,250,Revenue,Lowestoft North Cliff Community Garden
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,01/03/29,VI-131899,2000,Revenue,Lowestoft & District Independent Archive
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,08/02/29,VI-130911,2629.44,Revenue,Macfarlane Group UK Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,20/02/29,VC-004047,-4765.5,Revenue,Marineserv UK Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,20/02/29,VI-131557,4765.6,Revenue,Marineserv UK Ltd
Economic Development and Transport,Economic Regeneration,Third Party Payments,Other Establishments,20/02/29,VI-131745,2000,Revenue,St Marys R C Primary School
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,08/02/29,VI-129188,1090,Revenue,Maybo Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,27/02/29,VI-132110,10000,Revenue,MENTA - Mid Anglian Enterpirse Agency Ltd
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,12/02/29,VI-127860,13262,Revenue,Micropress Printers Ltd
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,27/02/29,VI-132231,3465,Revenue,Middlesex University
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,27/02/29,VI-132230,1155,Revenue,Middlesex University
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,20/02/29,VI-113638,3808166,Revenue,"Dept Levelling Up, Housing & Communities"
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,27/02/29,VI-132196,750,Revenue,MJ Training
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,01/03/29,VI-131713,723.2,Revenue,Algeco UK Ltd
Community Health,Licensing,Supplies and Services,Materials For Resale,12/02/29,VI-131406,647.9,Revenue,Mogo
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Other Ext Provided Services,26/02/29,VI-132029,906,Revenue,Mary Moppins
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,05/02/29,VI-130793,750,Revenue,Mountain Builders
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,05/02/29,VI-130794,1020,Revenue,Mountain Builders
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,20/02/29,VI-131394,24452,Revenue,Mountain Builders
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,01/03/29,VI-132254,31800,Revenue,Mountain Builders
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/02/29,VI-131451,4495.9,Revenue,Munnings Supplies Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/02/29,VI-131657,280,Revenue,Mutford Parish Council
Leader of the Council,Communications,Supplies and Services,Postages,15/02/29,VI-128919,709.17,Revenue,The National Leaflet Company
Leader of the Council,Communications,Supplies and Services,Postages,15/02/29,VI-128918,9999.44,Revenue,The National Leaflet Company
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,20/02/29,VI-131807,13200,Revenue,National Highways Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,11/02/29,VI-131087,280,Revenue,NEA
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,11/02/29,VI-131088,280,Revenue,NEA
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-132011,520,Revenue, J Darke t/a Neat n Clean
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132396,375,Revenue, J Darke t/a Neat n Clean
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,01/03/29,VI-131608,621,Revenue,Need 2 Store Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131226,500,Revenue,Newbourne Village Hall
Planning and Coastal Management,Planning,Supplies and Services,Advertising,06/02/29,VI-131005,985.8,Revenue,Newsquest Media Group Ltd
Leader of the Council,Democratic Services,Supplies and Services,Advertising,15/02/29,VI-131583,413.4,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,20/02/29,VI-131582,604.2,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,22/02/29,VI-131901,508.8,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,01/03/29,VI-132292,858.6,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,01/03/29,VI-132111,477,Capital,Newsquest Media Group Ltd
Corporate Services,ICT,Supplies and Services,Software Maintenance,08/02/29,VI-130633,425.21,Revenue,Nominet UK
Leader of the Council,Legal,Supplies and Services,Legal Fees,15/02/29,VI-131637,14278.2,Revenue,Norfolk County Council
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/02/29,VI-131799,5500,Capital,Norfolk Stairlifts
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,20/02/29,VI-131584,963.37,Revenue,Northumbrian Water Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/02/29,VI-131647,600,Revenue,North Lowestoft Mens Shed
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,26/02/29,VI-132103,2461.98,Revenue,Northgate Marine Ltd
Community Health,Port Health Authority,Supplies and Services,Stationery,15/02/29,VI-131577,482.71,Revenue,Office AZ Limited
Community Health,Port Health Authority,Supplies and Services,Stationery,01/03/29,VI-132363,263.72,Revenue,Office AZ Limited
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132370,1000,Revenue,Oliver and Company (UK) Limited
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,01/03/29,VI-132471,1747.2,Revenue,Ormiston Denes Academy
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,01/03/29,VI-132444,3120,Revenue,Ormiston Denes Academy
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,05/02/29,VI-130402,618.99,Revenue,Orwell Housing Association
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,05/02/29,VI-118044,307.1,Revenue,Orwell Housing Association
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,22/02/29,VI-131002,400,Revenue,Outta Reach Cleaning
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,13/02/29,VI-131381,4148,Revenue,Ovamill Ltd
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,06/02/29,VI-130850,1858.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,06/02/29,VI-130851,3104.96,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,06/02/29,VI-130852,4250,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,06/02/29,VI-130853,3025,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/02/29,VI-130847,1993.6,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/02/29,VI-130421,2104.13,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-131423,1113.44,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,15/02/29,VI-131425,4250,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,15/02/29,VI-131426,1379.98,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,15/02/29,VI-131427,1858.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Transport Expenses,Car Allowances - Mileage,20/02/29,VI-131424,3199.15,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,22/02/29,VI-131766,1034.99,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,22/02/29,VI-131769,3025,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,26/02/29,VI-131768,2210.93,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,26/02/29,VI-131767,1858.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,27/02/29,VC-004055,-4125,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,27/02/29,VI-131770,4250,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,01/03/29,VI-132225,689.99,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,01/03/29,VI-132201,1430.4,Revenue,The Oyster Partnership
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,22/02/29,VI-131920,310,Revenue,John Palmer Window Cleaning
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,22/02/29,VI-131896,1075,Revenue,Parker Developments (East Anglia) Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Asbestos,13/02/29,VI-131538,278.54,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Asbestos,13/02/29,VI-131537,278.54,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,26/02/29,VI-131636,4505.63,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,01/03/29,VI-132350,9217.28,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,01/03/29,VI-132349,1331.84,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,01/03/29,VI-132348,2315.88,Revenue,Pennington Choices Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,01/03/29,VI-132414,43555.54,Revenue,Perfect Circle JV Ltd
The Environment,Waste Management,Supplies and Services,External Printing,15/02/29,VI-131549,1114.28,Revenue,PermiServ Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/02/29,VI-130873,7110,Revenue,PHS Home Solutions Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131370,5410,Revenue,PHS Home Solutions Ltd
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,12/02/29,VI-131022,4406.69,Revenue,Pier Marketing Limited
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-130326,20410,Capital,Places for People
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Consultants,12/02/29,VI-130327,1488.4,Revenue,Places for People
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,26/02/29,VI-132096,675,Revenue,Places for People
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,26/02/29,VI-132094,375,Revenue,Places for People
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Third Party Payments,Private Contractors,08/02/29,VI-131082,11845.09,Revenue,Places for people
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131881,578,Revenue,Planning Portal
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131387,5800,Capital,CN Plumbing & Heating Ltd Facilities Manage Ltd
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Fixtures & Fittings,27/02/29,VI-130242,609.76,Revenue,Polycastle Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130861,1135.5,Revenue,Port Skills and Safety Limted
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,12/02/29,VI-131454,840,Revenue,Precision Pipework Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131052,2689,Revenue,4Principles Construction Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Door Entry/Security,05/02/29,VI-130807,3813.19,Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Emergency Lighting,05/02/29,VI-130811,2217,Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Holding Account - Cash Out,Capital Expenditure,22/02/29,VI-131975,1211.25,Capital,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/03/29,VI-132351,2967.04,Capital,Protect and Detect Systems Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Software Maintenance,26/02/29,VI-132042,500,Revenue,Production Bureau Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,27/02/29,VI-132037,912,Revenue,Provide Care Solutions Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,08/02/29,VI-131048,10928.52,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/02/29,VI-131643,645.54,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/02/29,VI-131650,324.78,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/02/29,VI-131672,6028.15,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,22/02/29,VI-131981,6789.7,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,22/02/29,VI-131974,657.64,Revenue,Public Analyst Scientific Services
Financial Resources and Value for Money,Other Financial Transactions,Expenditure not charged to Cost of Service,Finance Lease Interest Payable,04/02/29,VI-128444,60882.33,Revenue,Pulse Fitness
Corporate Services,ICT,Employee Expenses,Technical Training,08/02/29,VI-130795,699,Revenue,QA Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130804,2475,Revenue,Peter Ramsey General Building
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131032,605,Revenue,Peter Ramsey General Building
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131932,1420,Revenue,Peter Ramsey General Building
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130765,10938.53,Capital,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/02/29,VI-130672,2060.8,Revenue,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,08/02/29,VI-131104,400,Revenue,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131051,7779.27,Revenue,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131047,13079.76,Revenue,Ramp and Mobility Solutions
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,26/02/29,VI-132157,4566.57,Capital,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/02/29,VI-132243,3803.95,Revenue,Ramp and Mobility Solutions
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/02/29,VI-130910,835.95,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-130909,1278.57,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-130908,1014.33,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-130907,733.79,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-131279,575.3,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131507,1008.37,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131506,2249.64,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131505,1369.79,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131504,925.52,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131289,776.52,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132149,908.08,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132148,1202.07,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132146,1005.74,Revenue,Raventree Ltd T/A Premiere Kitchens
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,06/02/29,VI-130983,1280,Revenue,Reach Timelapse Ltd
Corporate Services,Human Resources,Supplies and Services,Corporate Subscriptions,05/02/29,VI-130866,2493,Revenue,LNRS Data Services Ltd
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131026,3291.75,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131025,3125,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131295,3291.75,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131293,3125,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-131627,3125,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-131626,2962.58,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-132216,3125,Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-132217,3291.75,Capital,Reed Specialist Recruitment
