Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,13/09/2024,VI-122050,"1,702.75",Capital,Greyfriars Project Management,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,27/09/2024,VI-122762,"1,000.00",Revenue,Greengrow Cooperative,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Consultants,13/09/2024,VI-121909,487.50,Revenue,Group 19 Architecture and Urban Design Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122213,"10,500.05",Revenue,Grundisburgh & Culpho PC,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,03/09/2024,VI-121250,"2,000.00",Revenue,Gunton Estate Community Hall,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,24/09/2024,VI-121411,"11,843.75",Revenue,HACH Property Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,03/09/2024,VI-121287,345.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,03/09/2024,VI-121290,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,03/09/2024,VI-121291,912.68,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,03/09/2024,VI-121295,462.91,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,03/09/2024,VI-121297,"2,590.99",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,03/09/2024,VI-121325,361.80,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,03/09/2024,VI-121289,"1,767.60",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/09/2024,VI-120992,"1,146.08",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/09/2024,VI-121286,"1,146.08",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,11/09/2024,VI-121991,584.77,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,11/09/2024,VI-121989,"1,319.57",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/09/2024,VI-121896,"2,386.71",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/09/2024,VI-121897,739.80,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,11/09/2024,VI-121986,619.41,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,11/09/2024,VI-121985,533.66,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/09/2024,VI-121988,677.25,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,17/09/2024,VI-122353,912.68,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,17/09/2024,VI-122347,517.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,17/09/2024,VI-120998,"1,102.50",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,17/09/2024,VI-121990,"1,811.25",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,17/09/2024,VI-122361,591.84,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,17/09/2024,VI-122362,"2,392.51",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,17/09/2024,VI-122352,"1,527.75",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/09/2024,VI-122350,677.25,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,24/09/2024,VI-122628,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,24/09/2024,VI-122627,"1,743.05",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,24/09/2024,VI-122632,591.84,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,24/09/2024,VI-122625,741.15,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,24/09/2024,VI-122626,677.25,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,27/09/2024,VI-122629,"1,575.00",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,27/09/2024,VI-122349,"1,767.60",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,27/09/2024,VI-122351,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122214,"83,700.00",Revenue,Halesworth Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Furniture and Equipment,06/09/2024,VI-121615,320.00,Revenue,Halfords,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,13/09/2024,VI-121539,"6,888.00",Revenue,Hamson Barron Smith,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,04/09/2024,VI-121211,"275,764.38",Capital,Harte Demolition Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,24/09/2024,VI-122730,"150,744.99",Capital,Harte Demolition Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,10/09/2024,VI-121408,"10,291.67",Revenue,HAT Projects Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Rents Payable,24/09/2024,VI-122173,"1,299.34",Revenue,Havebury Housing Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Rents Payable,24/09/2024,VI-122177,"1,149.15",Revenue,Havebury Housing Partnership,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,24/09/2024,VI-122722,675.00,Revenue,Haydens Arboricultural,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,03/09/2024,VI-120436,"1,145.00",Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,04/09/2024,VI-121368,260.00,Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Medical Fees,27/09/2024,VI-114816,440.00,Revenue,Optima Health,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,03/09/2024,VI-120211,"2,965.90",Revenue,Heales Health Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,18/09/2024,VI-121982,"2,651.70",Revenue,Heales Health Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,24/09/2024,VI-122096,"1,621.87",Revenue,The Highfield Event Group Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,16/09/2024,VI-122387,303.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,24/09/2024,VI-122394,391.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,10/09/2024,VI-121813,"839,366.99",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,13/09/2024,VI-122003,"14,324.74",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122215,"19,115.00",Revenue,Hollesley Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122216,"7,540.00",Revenue,Holton Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/09/2024,VI-121620,"6,750.14",Revenue,Home Adapt,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/09/2024,VI-122299,"6,420.94",Revenue,Home Adapt,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Employee Expenses,Technical Training,24/09/2024,VI-122635,500.00,Revenue,Lexton Consulting Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/09/2024,VI-121262,"2,585.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,17/09/2024,VI-121971,"2,475.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,17/09/2024,VI-121972,"2,695.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/09/2024,VI-122456,"2,970.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Stationery,24/09/2024,VI-122696,445.63,Revenue,Hound Envelopes Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Corporate Subscriptions,13/09/2024,VI-121230,"8,780.00",Revenue,Housemark Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Holding Account - Cash Out,Capital Expenditure,03/09/2024,VI-121231,"12,000.00",Capital,Hyams QS Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,10/09/2024,VI-121898,"7,225.00",Revenue,IF Design Office Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,25/09/2024,VI-122758,335.00,Capital,Impact Signs,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,03/09/2024,VI-120414,"1,442.96",Revenue,Infinity Circus Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,16/09/2024,VI-122322,"8,046.00",Revenue,Ingleton Wood,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,06/09/2024,VI-121489,"1,449.70",Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,06/09/2024,VI-121488,"1,099.90",Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,17/09/2024,VI-122374,919.65,Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Community Health,Licensing,Employee Expenses,Technical Training,03/09/2024,VI-121300,615.00,Revenue,Institute of Licensing (Events) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Consultants,06/09/2024,VI-120580,668.10,Revenue,Intalect Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Software Maintenance,25/09/2024,VI-122415,668.10,Revenue,Intalect Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/09/2024,VI-121552,400.00,Revenue,Ipswich Borough Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/09/2024,VI-121553,400.00,Revenue,Ipswich Borough Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,10/09/2024,VI-121762,"1,250.00",Revenue,Ivy Legal Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,24/09/2024,VI-122636,815.41,Revenue,Jaffer Investments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/09/2024,VI-122194,"13,683.56",Revenue,J C Building Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,03/09/2024,VI-120962,465.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,25/09/2024,VI-122468,475.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,27/09/2024,VI-122469,495.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,27/09/2024,VI-122591,475.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,13/09/2024,VI-122056,"3,500.00",Revenue,Phil Jones Associates Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,10/09/2024,VI-121867,"1,000.00",Revenue,Just Jay Dance,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Risk Assessments,03/09/2024,VI-121323,757.00,Revenue,Karntek Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Risk Assessments,03/09/2024,VI-121333,550.46,Revenue,Karntek Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,03/09/2024,VI-120238,826.00,Revenue,Karntek Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,03/09/2024,VI-120484,423.81,Revenue,Karntek Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,03/09/2024,VI-120293,400.00,Revenue,Kelsale-cum-Carlton PC,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122217,"12,186.50",Revenue,Kelsale-cum-Carlton PC,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/09/2024,VI-122269,"2,996.44",Revenue,Kent County Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,18/09/2024,VI-121961,"2,400.00",Revenue,Coastal Marine Support Ltd - [Kerr's Quays],,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122040,371.76,Revenue,P.J.Kerley Motor Engineers Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122218,"211,850.00",Revenue,Kesgrave Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122219,"87,479.00",Revenue,Kessingland Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/09/2024,VI-122399,"1,000.00",Revenue,Kesgrave Library Community Group,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,03/09/2024,VI-121409,"1,700.00",Revenue,Kesgrave Bowls Club,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/09/2024,VI-122338,"1,000.00",Revenue,Kessingland Church of England Primary,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,17/09/2024,VI-122278,"1,100,069.60",Capital,Kier Construction - Eastern,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Transport Expenses,Other Indirect Transport Costs,10/09/2024,VI-121812,"2,524.13",Revenue,Kinto Uk Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,17/09/2024,VI-122410,750.00,Revenue,Kings & Dunne Architects Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,27/09/2024,VI-122493,"20,144.50",Revenue,Trustees of Kirkley Poors Land Estate,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122220,"13,089.00",Revenue,Kirton & Falkenham  PC,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Transport Expenses,Repairs & Service,24/09/2024,VI-122455,433.28,Revenue,Klipspringer Instrumentation,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122221,"10,430.00",Revenue,Knodishall Parish Council,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,13/09/2024,VI-122015,"2,256.82",Revenue,Koris Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Conference Fees,11/09/2024,VI-121963,870.00,Revenue,LABC,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Marketing & Promotions,24/09/2024,VI-122497,"2,100.00",Revenue,LABC,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,13/09/2024,VI-121199,733.57,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,13/09/2024,VI-122054,"2,000.00",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,13/09/2024,VI-122053,"28,393.76",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122222,"178,500.00",Revenue,Leiston-cum-Sizewell Town Council,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Furniture and Equipment,27/09/2024,VI-115138,843.00,Revenue,Leiston Press,,,,,,,,,,,,,,,
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,27/09/2024,VI-117465,"1,440.00",Revenue,Leiston Press,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,External Printing,27/09/2024,VI-122780,583.00,Revenue,Leiston Press,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122802,"2,487.50",Revenue,Leiston Trading Post,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122223,"6,250.00",Revenue,Levington & Stratton Hall PC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121151,"6,404.23",Revenue,LGS Homes (Suffolk) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,04/09/2024,VI-121434,"6,769.24",Revenue,LGS Homes (Suffolk) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/09/2024,VI-122307,500.00,Revenue,Link Lunch Club,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/09/2024,VI-121809,441.09,Revenue,Lisa's Homes,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122224,"6,500.00",Revenue,Little Bealings Parish Council,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,13/09/2024,VI-122492,"10,224.85",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,13/09/2024,VI-122817,"2,173.83",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,02/09/2024,VI-121926,"2,936.32",Revenue,Lloyds Banking Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,01/09/2024,VI-119433,578.06,Revenue,Lloyds Banking Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,30/09/2024,VI-123296,"2,881.21",Revenue,Lloyds Banking Group,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Grounds Maintenance - Other,10/09/2024,VI-121663,360.00,Revenue,Local Fast,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,13/09/2024,VI-121765,"4,503.25",Revenue,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/09/2024,VC-003767,-960.00,Revenue,The Long Shop Museum,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,18/09/2024,VI-122339,"3,000.00",Revenue,Lowestoft Community Church,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122225,"1,045,111.00",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122608,"1,350.59",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/09/2024,VI-122074,394.03,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/09/2024,VI-122073,647.28,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/09/2024,VI-122072,"1,896.51",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/09/2024,VI-122071,"3,991.56",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,17/09/2024,VI-122033,"3,913.49",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,17/09/2024,VI-121786,"1,055.29",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,18/09/2024,VI-122069,"3,851.31",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,24/09/2024,VI-122587,790.80,Revenue,Macfarlane Group UK Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,13/09/2024,VI-120120,396.50,Capital,Marine Management Organisation,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Corporate Subscriptions,06/09/2024,VI-121603,"11,268.20",Revenue,Maritime Cargo Processing plc,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/09/2024,VC-003757,-588.00,Revenue,Martlesham Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122226,"75,000.00",Revenue,Martlesham Parish Council,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,10/09/2024,VI-121522,"8,400.00",Revenue,March Web Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,06/09/2024,VI-121629,340.00,Revenue,MED-PTS Ambulance Services Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122227,"61,843.50",Revenue,Melton Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,24/09/2024,VI-122377,490.00,Revenue,Micropress Printers Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,27/09/2024,VI-122829,818.70,Revenue,Mid Suffolk District Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Legal Fees,01/09/2024,VI-121273,"7,400.00",Revenue,Mills & Reeve LLP,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,19/09/2024,VI-113631,"3,808,169.00",Revenue,"Dept Levelling Up, Housing & Communities",,,,,,,,,,,,,,,
