Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/12/2024,VI-128222,"2,520.00",Revenue,Inspire Suffolk Ltd
Community Health,Licensing,Employee Expenses,Technical Training,27/12/2024,VI-128776,615.00,Revenue,Institute of Licensing (Events) Ltd
Community Health,Port Health Authority,Supplies and Services,Software Purchases,04/12/2024,VI-126447,"4,265.04",Revenue,Interact Intranet
Community Health,Port Health Authority,Employee Expenses,Qualification Training,06/12/2024,VI-127022,"1,415.83",Revenue,International Correspondance Schools Ltd
Corporate Services,Miscellaneous Property,Supplies and Services,Software Maintenance,10/12/2024,VI-126157,668.10,Revenue,Intalect Ltd
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,03/12/2024,VI-126431,"1,200.00",Revenue,Ipswich Borough Council
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/12/2024,VI-127709,308.25,Revenue,Ipswich Town Foundation
Corporate Services,ICT,Supplies and Services,Software Maintenance,24/12/2024,VI-127902,"2,316.16",Revenue,IT Services at CAS Ltd
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,27/12/2024,VI-128726,"2,440.00",Revenue,Adrian James Acoustics Ltd
Community Health,Corporate Health and Safety,Employee Expenses,Technical Training,10/12/2024,VI-127471,"1,310.00",Revenue,Jarrold Training
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,20/12/2024,VI-128306,"4,655.36",Revenue,J C Building Services
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-127023,690.00,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127830,425.00,Revenue,Jennings of Lowestoft
Deputy Leader and Housing,Housing Needs,Premises Expenses,Building Services - Responsive Maintenance,18/12/2024,VI-127876,"1,286.28",Revenue,Jennings of Lowestoft
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,20/12/2024,VI-128410,270.85,Revenue,Jewson
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,06/12/2024,VI-127059,"5,025.00",Revenue,JH Film Production
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,24/12/2024,VI-128706,875.00,Revenue,JH Film Production
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,24/12/2024,VI-128707,"6,700.00",Revenue,JH Film Production
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,16/12/2024,VI-128209,326.77,Revenue,JLA Total Care Ltd
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,16/12/2024,VI-128211,326.77,Revenue,JLA Total Care Ltd
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,16/12/2024,VI-128213,326.77,Revenue,JLA Total Care Ltd
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,20/12/2024,VI-127982,"5,660.00",Revenue,Phil Jones Associates Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/12/2024,VI-127847,"2,500.00",Revenue,Just 42 Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/12/2024,VI-128187,"5,000.00",Revenue,Just 42 Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/12/2024,VI-128019,700.00,Revenue,Just 42 Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-126019,"2,012.50",Revenue,Keating Chambers
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-126479,700.00,Revenue,Keating Chambers
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/12/2024,VI-127838,"4,234.10",Revenue,Kent County Council
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,10/12/2024,VI-126756,"1,048,075.32",Capital,Kier Construction - Eastern
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128465,"793,805.33",Capital,Kier Construction - Eastern
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,06/12/2024,VI-127031,"13,516.00",Revenue,Kingsley House Hotel
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,06/12/2024,VI-127032,"12,003.00",Revenue,Kingsley House Hotel
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,13/12/2024,VI-127573,336.00,Revenue,Kings & Dunne Architects Ltd
Community Health,Port Health Authority,Transport Expenses,Repairs & Service,10/12/2024,VI-127298,555.90,Revenue,Klipspringer Instrumentation
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,18/12/2024,VI-127547,"1,917.32",Revenue,Koris Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Miscellaneous Other Services,06/12/2024,VI-126467,335.58,Revenue,Lacey Wholesale Ltd
Corporate Services,Assets and Property Services,Supplies and Services,Legal Fees,24/12/2024,VI-128969,321.00,Revenue,H M Land Registry
Economic Development and Transport,Landguard,Supplies and Services,Grants & Contributions,18/12/2024,VI-127504,"29,531.07",Revenue,Landguard and Felixstowe Conservation Trust
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,20/12/2024,VI-127980,"2,500.00",Revenue,LDA Design Consultancy Limited
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,03/12/2024,VI-125675,"18,781.57",Revenue,Learning Pool
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,06/12/2024,VI-126758,"1,546.43",Revenue,Learning Pool
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,General Purchases,06/12/2024,VI-126995,328.00,Revenue,Leiston Press
The Environment,Waste Management,Supplies and Services,External Printing,10/12/2024,VI-126911,327.00,Revenue,Leiston Press
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,24/12/2024,VI-127644,750.00,Revenue,1st Line Defence Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/12/2024,VI-127988,441.09,Revenue,Lisa's Homes
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128102,573.43,Revenue,Living Property
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128082,573.43,Revenue,Living Property
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128040,573.43,Revenue,Living Property
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/12/2024,VI-128725,628.29,Revenue,Living Property
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Bank Fees,01/12/2024,VI-127575,292.72,Revenue,Lloyds Bank Group
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,13/12/2024,VI-128095,"2,113.88",Revenue,Lloyds Bank Group
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,13/12/2024,VI-128096,"6,224.47",Revenue,Lloyds Bank Group
Leader of the Council,Democratic Services,Supplies and Services,Conference Fees,03/12/2024,VI-126439,"5,280.00",Revenue,Local Government Association
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Conference Fees,10/12/2024,VI-126843,998.00,Revenue,Local Government Association
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,10/12/2024,VI-127028,"2,268.00",Revenue,Rossi Long Consulting Ltd
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,13/12/2024,VI-127609,"26,650.00",Revenue,Lowestoft Town Council
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,18/12/2024,VI-127610,"26,750.00",Revenue,Lowestoft Town Council
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Grants & Contributions,20/12/2024,VI-127930,"762,500.00",Revenue,Lowestoft Town Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,06/12/2024,VI-127098,"4,500.00",Revenue,Lowestoft North Cliff Community Garden
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/12/2024,VI-127967,"1,516.32",Revenue,Marina Theatre Trust
Community Health,Port Health Authority,Supplies and Services,Corporate Subscriptions,06/12/2024,VI-127061,"11,893.20",Revenue,Maritime Cargo Processing plc
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,20/12/2024,VI-126864,"2,004.50",Revenue,Marineserv UK Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,27/12/2024,VI-127952,"18,234.75",Revenue,Marsh Ltd
Community Health,Port Health Authority,Supplies and Services,Consultants,06/12/2024,VI-126934,"9,400.00",Revenue,March Web Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128114,"2,000.00",Capital,Marshall Fire Ltd
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,27/12/2024,VI-128755,379.55,Revenue,Medfor Products Limited
The Environment,Waste Management,Supplies and Services,External Printing,24/12/2024,VI-127278,"1,331.00",Revenue,Micropress Printers Ltd
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,24/12/2024,VI-128327,277.50,Revenue,Mid Suffolk District Council
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Purchases,20/12/2024,VI-128094,"43,508.81",Revenue,Mobysoft Ltd
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127510,723.20,Revenue,Algeco UK Ltd
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127519,723.20,Revenue,Algeco UK Ltd
Community Health,Licensing,Supplies and Services,Materials For Resale,24/12/2024,VI-128034,"1,073.40",Revenue,Mogo
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,13/12/2024,VI-127047,"24,767.00",Revenue,Mountain Builders
Corporate Services,Customer Services and Complaints,Supplies and Services,Other Ext Provided Services,10/12/2024,VI-127275,874.00,Revenue,Munnings Supplies Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/12/2024,VI-127381,"2,422.15",Revenue,Munnings Supplies Ltd
Economic Development and Transport,Parking Services,Supplies and Services,Stationery,20/12/2024,VI-127941,"3,356.25",Revenue,Nagels UK Ltd
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,13/12/2024,VI-127604,621.00,Revenue,Need 2 Store Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,06/12/2024,VI-127039,666.16,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,11/12/2024,VI-127571,454.20,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,20/12/2024,VI-128000,484.48,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,20/12/2024,VI-126020,635.88,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,27/12/2024,VI-128774,847.84,Revenue,Newsquest Media Group Ltd
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,10/12/2024,VI-127043,375.00,Revenue,Newsquest Media Group Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/12/2024,VI-127711,"1,710.00",Revenue,Next Thing Education Camps
Leader of the Council,Legal,Supplies and Services,Legal Fees,03/12/2024,VI-126111,"14,407.02",Revenue,Norfolk County Council
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,04/12/2024,VI-125655,"3,000.00",Revenue,Norfolk County Council
Leader of the Council,Legal,Supplies and Services,Legal Fees,24/12/2024,VI-128467,"11,740.46",Revenue,Norfolk County Council
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,11/12/2024,VI-127254,"3,189.62",Revenue,Northumbrian Water Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,24/12/2024,VI-128471,"4,500.00",Revenue,Norris Media Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127602,"1,990.00",Capital,Norfolk Surveying and Design Ltd
Corporate Services,Assets and Property Services,Employee Expenses,HR Corporate Training,10/12/2024,VI-126862,324.17,Revenue,Open Study College
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,10/12/2024,VI-127423,"82,803.86",Revenue,Orchard Information Systems Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,20/12/2024,VI-127421,"20,360.33",Revenue,Orchard Information Systems Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,20/12/2024,VI-127420,"4,888.00",Revenue,Orchard Information Systems Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/12/2024,VI-127885,"3,885.00",Revenue,Oulton Community Association
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,10/12/2024,VI-127406,575.00,Capital,Overton Surveying
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,18/12/2024,VI-126742,"20,000.00",Revenue,Ove Arup & Partners Ltd
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,04/12/2024,VI-126717,"1,327.50",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,04/12/2024,VI-126716,"1,379.98",Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,04/12/2024,VI-126715,"4,250.00",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,04/12/2024,VI-126714,"3,327.50",Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/12/2024,VI-126718,"1,735.07",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,11/12/2024,VI-127403,"1,593.00",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,11/12/2024,VI-127401,"1,034.99",Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,11/12/2024,VI-127400,"4,250.00",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,11/12/2024,VI-127399,"3,025.00",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,18/12/2024,VI-127880,"2,420.00",Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,18/12/2024,VI-127879,"4,250.00",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,18/12/2024,VI-127877,"1,724.98",Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/12/2024,VI-127874,"2,329.28",Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,18/12/2024,VI-127872,"2,389.50",Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/12/2024,VI-127402,"1,314.71",Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,27/12/2024,VI-128529,"2,050.33",Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,27/12/2024,VI-126327,"2,299.03",Revenue,The Oyster Partnership
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,10/12/2024,VI-127416,350.00,Revenue,Pakefield Community Group
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,03/12/2024,VI-126441,310.00,Revenue,John Palmer Window Cleaning
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/12/2024,VI-127506,575.00,Revenue,Parker Developments (East Anglia) Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128132,550.00,Revenue,Parker Developments (East Anglia) Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128129,630.00,Revenue,Parker Developments (East Anglia) Ltd
Financial Resources and Value for Money,Financial Services,Supplies and Services,General Purchases,16/12/2024,VI-127620,600.00,Revenue,Parking Associates Ltd
The Environment,Street Scene,Premises Expenses,Building Services - Responsive Maintenance,11/12/2024,VI-127067,296.00,Revenue,Pearce and Kemp Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Refuse Collection,06/12/2024,VC-003850,-775.00,Revenue,Pennington Choices Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Refuse Collection,06/12/2024,VI-125819,542.50,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Asbestos,06/12/2024,VI-127247,556.83,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Asbestos,06/12/2024,VI-126421,"1,484.88",Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,13/12/2024,VI-127387,"15,323.55",Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/12/2024,VI-127591,"2,631.74",Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/12/2024,VI-127593,"3,129.63",Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,20/12/2024,VI-127596,940.10,Revenue,Pennington Choices Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,27/12/2024,VI-127953,"26,474.88",Revenue,Perfect Circle JV Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,27/12/2024,VI-127954,"5,447.95",Revenue,Perfect Circle JV Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127868,"13,308.00",Revenue,PHS Home Solutions Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127793,"6,171.00",Revenue,PHS Home Solutions Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Other Ext Provided Services,24/12/2024,VC-003770,"-2,328.00",Revenue,Places for People
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Other Ext Provided Services,24/12/2024,VC-003771,"-2,328.00",Revenue,Places for People
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,24/12/2024,VI-125406,"1,170.00",Revenue,Places for People
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,24/12/2024,VI-125405,"1,070.00",Revenue,Places for People
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,24/12/2024,VI-125378,"1,520.00",Revenue,Places for People
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128007,"35,136.00",Capital,Places for People
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Third Party Payments,Private Contractors,06/12/2024,VI-127093,"11,845.09",Revenue,Places for people
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/12/2024,VI-128611,250.00,Revenue,Playford Parish Council
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,06/12/2024,VI-127087,"3,372.73",Revenue,Plantworks Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Planned Maintenance,11/12/2024,VI-126922,"1,008.00",Revenue,Philip Pointer
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Holding Account - Cash Out,Capital Expenditure,11/12/2024,VI-127496,"4,166.67",Capital,Polycastle Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/12/2024,VI-128443,"4,102.19",Revenue,Polycastle NU-Span
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/12/2024,VI-128440,"6,959.34",Revenue,Polycastle NU-Span
Community Health,Port Health Authority,Premises Expenses,Rents Payable,03/12/2024,VI-126764,"44,027.97",Revenue,Port of Felixstowe
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127057,755.00,Capital,Precision Pipework Ltd
Housing Revenue Account,HRA Special Services,Premises Expenses,"HRA Drainage, Pumping Stat etc",27/12/2024,VI-128747,350.00,Revenue,Precision Pipework Ltd
Housing Revenue Account,HRA Special Services,Premises Expenses,"HRA Drainage, Pumping Stat etc",27/12/2024,VI-128751,350.00,Revenue,Precision Pipework Ltd
Financial Resources and Value for Money,Heads of Service,Supplies and Services,Conference Fees,10/12/2024,VI-126895,555.00,Revenue,Premier Inn
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/12/2024,VI-127715,982.50,Revenue,Premier Sportscoach Solutions
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/12/2024,VI-127714,"1,185.00",Revenue,Premier Sportscoach Solutions
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/12/2024,VI-127713,"1,185.00",Revenue,Premier Sportscoach Solutions
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/12/2024,VI-128137,652.27,Revenue,Premier Sportscoach Solutions
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/12/2024,VI-128136,652.27,Revenue,Premier Sportscoach Solutions
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/12/2024,VI-128135,978.41,Revenue,Premier Sportscoach Solutions
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,10/12/2024,VI-127289,"12,570.00",Revenue,Pre-Construct Archaeology Limited
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,11/12/2024,VI-127417,"2,491.66",Revenue,Pretty Wild Seeds Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/12/2024,VI-127473,"13,996.80",Revenue,4Principles Construction Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/12/2024,VI-127526,"7,737.60",Revenue,4Principles Construction Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/12/2024,VI-127543,"4,338.26",Revenue,4Principles Construction Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128059,"4,167.90",Capital,4Principles Construction Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,20/12/2024,VI-128413,"8,505.18",Revenue,4Principles Construction Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128622,"6,701.05",Capital,4Principles Construction Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128623,"6,618.48",Revenue,4Principles Construction Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/12/2024,VI-128752,"6,214.40",Revenue,4Principles Construction Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,06/12/2024,VI-126541,"1,081.27",Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,10/12/2024,VI-127285,834.21,Revenue,Protect and Detect Systems Ltd
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,17/12/2024,VI-127836,"11,309.92",Capital,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Door Entry/Security,24/12/2024,VI-128334,811.02,Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/12/2024,VI-127677,912.00,Revenue,Provide Care Solutions Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,17/12/2024,VI-127842,"2,964.00",Revenue,R J Pryce and Co Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,03/12/2024,VI-126691,"8,188.08",Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,10/12/2024,VI-127292,"11,409.48",Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,13/12/2024,VI-127788,"12,730.46",Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,20/12/2024,VI-128295,"1,793.55",Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,20/12/2024,VI-127657,296.45,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,24/12/2024,VI-128287,"11,102.18",Revenue,Public Analyst Scientific Services
Financial Resources and Value for Money,Other Financial Transactions,Expenditure not charged to Cost of Service,Finance Lease Interest Payable,02/12/2024,VI-127090,"60,882.33",Revenue,Pulse Fitness
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/12/2024,VI-126711,"2,274.00",Revenue,Peter Ramsey General Building
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127111,"5,026.48",Revenue,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/12/2024,VI-127377,"5,074.52",Revenue,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/12/2024,VI-127472,"5,198.53",Revenue,Ramp and Mobility Solutions
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/12/2024,VI-128717,"4,258.86",Capital,Ramp and Mobility Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/12/2024,VI-128721,"6,182.37",Revenue,Ramp and Mobility Solutions
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,04/12/2024,VI-126888,"3,848.67",Revenue,Randall Surveys LLP
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126731,"1,062.99",Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126733,"1,118.41",Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126735,659.08,Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/12/2024,VI-124281,"1,033.98",Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/12/2024,VI-124548,"1,063.61",Revenue,Raventree Ltd T/A Premiere Kitchens
