Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-132864,"1,137.93",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-132863,971.30,Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-134118,492.70,Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,25/03/2025,VI-134208,953.65,Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,25/03/2025,VI-134302,"1,950.85",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/03/2025,VI-134349,"1,376.49",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,07/03/2025,VI-132768,"1,280.00",Revenue,Reach Timelapse Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Grants & Contributions,07/03/2025,VI-132738,"2,867.46",Revenue,Reboot Education Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Holding Account - Cash Out,Capital Expenditure,12/03/2025,VI-132533,"9,649.00",Capital,Red 7 Inshore Diving Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Surveyor Fees,14/03/2025,VI-133668,"9,981.50",Revenue,Red 7 Inshore Diving Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132665,"2,500.00",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132664,"3,291.75",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133517,"1,250.00",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133518,"3,291.75",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133772,"3,291.75",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133773,"3,125.00",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,26/03/2025,VI-134239,"3,125.00",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,26/03/2025,VI-134230,"3,291.75",Capital,Reed Specialist Recruitment,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,12/03/2025,VI-133432,"3,800.00",Revenue,Reed Talent Solutions t/a Consultancy,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,14/03/2025,VI-133629,"3,800.00",Revenue,Reed Talent Solutions t/a Consultancy,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,14/03/2025,VI-133628,"3,800.00",Revenue,Reed Talent Solutions t/a Consultancy,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,21/03/2025,VI-134036,"5,000.00",Revenue,Relish Projects Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Corporate Subscriptions,28/03/2025,VI-131941,"2,355.00",Revenue,RH Environmental Ltd,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Consultants,07/03/2025,VI-132724,"9,647.40",Revenue,Ricardo - AEA,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Consultants,28/03/2025,VI-134427,"9,647.40",Revenue,Ricardo - AEA,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Other Office Expenses,28/03/2025,VI-133239,"1,119.95",Revenue,Riso (UK) Limited,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,07/03/2025,VI-132727,"47,371.00",Revenue,Risk & Policy Analysts Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Materials For Resale,14/03/2025,VI-133674,"5,949.00",Revenue,Rix Petroleum Fuel & Lubricant Distributors,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,28/03/2025,VI-132706,"1,091.00",Revenue,Rock Compliance Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134562,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134565,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134567,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134569,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134570,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134588,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,28/03/2025,VI-134589,418.00,Revenue,Royal College of Veterinary Surgeons,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Officer Professional Subscriptions,04/03/2025,VI-132482,558.00,Revenue,Royal Institution of Chartered Surveyors RICS,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Officer Professional Subscriptions,05/03/2025,VI-132200,558.00,Revenue,Royal Institution of Chartered Surveyors RICS,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Officer Professional Subscriptions,07/03/2025,VI-132429,558.00,Revenue,Royal Institution of Chartered Surveyors RICS,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Officer Professional Subscriptions,21/03/2025,VI-132300,558.00,Revenue,Royal Institution of Chartered Surveyors RICS,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Supplies and Services,Postages,07/03/2025,VI-132008,"1,379.84",Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Supplies and Services,Postages,14/03/2025,VI-132291,864.56,Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Supplies and Services,Postages,27/03/2025,VI-133387,259.42,Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Supplies and Services,Postages,28/03/2025,VI-133388,"1,845.80",Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Postages,11/03/2025,VI-132750,778.81,Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Postages,19/03/2025,VI-133528,"2,963.41",Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Postages,19/03/2025,VI-131926,"1,455.58",Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Postages,21/03/2025,VI-134011,"3,269.25",Revenue,Royal Mail,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,28/03/2025,VI-134059,"1,062.50",Revenue,Royal Mail Group Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Consultants,04/03/2025,VI-132153,"6,574.00",Revenue,Rural Solutions Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Consultants,14/03/2025,VI-133538,"6,392.00",Revenue,Rural Solutions Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,14/03/2025,VI-133480,"17,500.00",Revenue,Rushmere St Andrew  PC,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,18/03/2025,VI-133469,755.89,Revenue,M A Salmon Services,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,18/03/2025,VI-133470,250.00,Revenue,M A Salmon Services,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Tax Collection Cost,Supplies and Services,Bank Fees,05/03/2025,VI-133331,371.70,Revenue,Santander Corporate Bank,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Bank Fees,05/03/2025,VI-133328,384.43,Revenue,Santander Corporate Bank,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Legal Fees,24/03/2025,VI-134554,"3,095.60",Revenue,Satchell Moran Solicitors,,,,,,,,,,,,,,,,,,
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Grants & Contributions,28/03/2025,VI-134443,"1,000.00",Revenue,Saxmundham Town Council,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/03/2025,VI-132656,"3,056.01",Capital,SC Plumbing Services,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-133886,"3,078.87",Capital,SC Plumbing Services,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-134120,"3,535.54",Capital,SC Plumbing Services,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-134150,"1,026.29",Capital,SC Plumbing Services,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/03/2025,VI-134152,"3,993.75",Revenue,SC Plumbing Services,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/03/2025,VI-133365,"4,000.00",Revenue,The Seagull Lowestoft CIC,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/03/2025,VI-133370,"5,000.00",Revenue,Seckford Hall,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,05/03/2025,VI-132673,"11,016.77",Revenue,Secon Cyber Security Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,28/03/2025,VI-134486,"4,966.00",Revenue,Secret Meadows Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,External Printing,14/03/2025,VI-133655,260.00,Revenue,Seletar Signs Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Marketing & Promotions,12/03/2025,VI-133442,"1,800.00",Revenue,Sequence (UK) Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-130610,"134,355.60",Revenue,Shaw Trust Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,14/03/2025,VI-133439,"19,062.19",Revenue,Shore Construction Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Hardware Purchases,12/03/2025,VI-132796,"1,328.33",Revenue,Signal Boosters,,,,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Supplies and Services,Telephone Calls/Data/Broadband,28/03/2025,VI-133627,445.56,Revenue,Skyguard Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,General Purchases,01/03/2025,VC-003664,"-2,190.00",Revenue,Skyguard Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,General Purchases,01/03/2025,VI-133618,"2,175.00",Revenue,Skyguard Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,26/03/2025,VI-133531,360.00,Revenue,SLR Consulting Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,28/03/2025,VI-134432,"2,941.50",Revenue,SLR Consulting Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,21/03/2025,VI-133547,"2,476.50",Revenue,SME HCI Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/03/2025,VI-132491,297.40,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/03/2025,VI-132487,"1,230.70",Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/03/2025,VI-132486,"1,168.50",Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/03/2025,VI-132427,"1,379.85",Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132817,307.50,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,14/03/2025,VI-133689,"1,191.50",Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,14/03/2025,VI-133707,481.00,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Direct Salary Costs,12/03/2025,VI-132877,623.10,Revenue,Pluxee UK Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Holding Account - Cash In,Payroll Deductions,21/03/2025,VI-133811,300.00,Revenue,Pluxee UK Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,25/03/2025,VI-134117,639.10,Revenue,Boxxe Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132639,"2,583.25",Revenue,Solo Housing,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,19/03/2025,VI-133994,266.40,Revenue,Solvadamp (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,19/03/2025,VI-133954,"3,033.36",Revenue,Solvadamp (East Anglia) Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134499,330.00,Revenue,Somerleyton Shed,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132324,"168,279.72",Capital,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,04/03/2025,VI-127993,"3,135.96",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,04/03/2025,VI-127991,"8,590.45",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133512,"90,535.39",Capital,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,21/03/2025,VI-134018,"1,121.45",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,21/03/2025,VI-134013,309.43,Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,25/03/2025,VI-133758,294.53,Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,28/03/2025,VI-134542,"8,940.75",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,12/03/2025,VI-133434,820.00,Revenue,Splice Creative Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,21/03/2025,VI-134107,"3,290.00",Revenue,Splice Creative Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,21/03/2025,VI-134092,"7,760.00",Revenue,Splice Creative Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Grants & Contributions,21/03/2025,VI-132525,"10,000.00",Revenue,Sports and Leisure Management Ltd,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,Furniture and Equipment,14/03/2025,VI-133483,"2,350.00",Revenue,SSI Schaefer Plastics UK Ltd,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,Furniture and Equipment,21/03/2025,VI-133991,"1,457.00",Revenue,SSI Schaefer Plastics UK Ltd,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,Furniture and Equipment,21/03/2025,VI-133990,"15,839.00",Revenue,SSI Schaefer Plastics UK Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,14/03/2025,VI-133588,950.00,Revenue,Standard Life,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,26/03/2025,VI-134299,950.00,Revenue,Standard Life,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,04/03/2025,VI-132513,"6,495.00",Revenue,Stannah Lift Service Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132384,800.00,Revenue,Station House Community Connections Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,18/03/2025,VI-133738,"4,616.50",Revenue,Steria Consulting Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Premises Expenses,Rents Payable,12/03/2025,VI-133380,350.00,Revenue,St Johns PCC,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-133447,"1,578.75",Revenue,Storetec Services Limited,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,General Purchases,11/03/2025,VI-132330,250.00,Revenue,Suffolk Association of Local Councils,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Marketing & Promotions,28/03/2025,VI-134584,"6,449.00",Revenue,The Suffolk Coast Ltd,,,,,,,,,,,,,,,,,,
The Environment,Street Scene,Premises Expenses,Building Services - Responsive Maintenance,04/03/2025,VI-132203,"1,401.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132204,"3,225.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Corporate Subscriptions,14/03/2025,VI-133636,"30,000.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,14/03/2025,VI-133522,470.00,Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,14/03/2025,VI-133460,590.25,Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Holding Account - Cash In,Grant,14/03/2025,VI-132391,"50,985.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,14/03/2025,VI-132389,"14,025.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Other Insurance,18/03/2025,VI-131431,"5,947.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Premises Expenses,Refuse Collection,18/03/2025,VI-133836,"346,078.08",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Recruitment Advertising,21/03/2025,VI-134080,"1,635.25",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,25/03/2025,VI-133327,"1,200.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Community Health,Community Safety,Supplies and Services,Grants & Contributions,25/03/2025,VC-004090,-675.00,Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
The Environment,Street Scene,Premises Expenses,Electricity,26/03/2025,VI-134171,"328,676.22",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134531,"3,706.50",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-133806,"2,385.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,28/03/2025,VI-133527,"3,690.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,19/03/2025,VI-112555,"2,807,186.34",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,17/03/2025,VI-112569,"11,916,172.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,04/03/2025,VI-132498,"974,775.12",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,28/03/2025,VI-134343,"974,858.68",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Furniture and Equipment,12/03/2025,VI-133240,"5,000.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,07/03/2025,VI-132734,500.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,28/03/2025,VI-131931,625.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,21/03/2025,VI-133366,"4,600.00",Revenue,Suffolk Mind,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,17/03/2025,VI-112542,"2,090,245.00",Revenue,Suffolk Police & Crime Commissioner,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134491,"7,500.00",Revenue,Suffolk Wildlife Trust,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,05/03/2025,VI-132644,910.50,Revenue,Sunhigh Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,05/03/2025,VI-132707,"13,295.72",Revenue,Survey Monkey Europe Unlimited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/03/2025,VI-133476,"5,980.00",Revenue,Swell Music CIC,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133316,"4,140.34",Revenue,T A K Building Maintenance Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/03/2025,VI-134413,441.09,Revenue,Taylor Properties Trading Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134559,"4,500.00",Revenue,The Nest Farms,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/03/2025,VI-133827,"7,500.00",Revenue,Thorpeness Croquet Club,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Stationery,21/03/2025,VI-132028,517.50,Revenue,Thomas Stoner Supplies Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134369,"1,406.35",Revenue,Three Bears Playgroup,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,25/03/2025,VI-133841,700.00,Revenue,Tide Medical Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,25/03/2025,VI-133842,500.00,Revenue,Tide Medical Ltd,,,,,,,,,,,,,,,,,,
