Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,11/03/2025,VI-132911,"10,237.50",Capital,Bristow Holland Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-134095,"2,362.50",Capital,Bristow Holland Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,19/03/2025,VI-133930,504.63,Revenue,Broadland Housing Association Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,07/03/2025,VI-132700,762.98,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,07/03/2025,VI-132701,393.12,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,21/03/2025,VI-133870,656.40,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,21/03/2025,VI-133871,"2,493.00",Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,,,,
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,14/03/2025,VI-132336,"4,500.00",Revenue,Brown & Co Property and Business Consultants LLP,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Telephone Calls/Data/Broadband,28/03/2025,VI-134442,"5,387.54",Revenue,British Telecommunications plc,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,18/03/2025,VI-133008,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,18/03/2025,VI-133013,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,25/03/2025,VI-133730,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,12/03/2025,VI-133393,"2,400.00",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134130,650.00,Revenue,Bungay Town Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134139,"1,607.00",Revenue,Bungay Town Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,25/03/2025,VI-134084,630.00,Revenue,Bungay High School,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,21/03/2025,VI-134061,"10,000.00",Revenue,Bungay Community Support,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Software Maintenance,14/03/2025,VI-133563,620.29,Revenue,Bytes Software Services,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,18/03/2025,VI-133804,356.97,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,07/03/2025,VI-132721,375.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,,,,
