Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,28/06/2024,VI-116798,312.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,28/06/2024,VI-116800,381.60,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,11/06/2024,VI-115840,"4,550.00",Revenue,Greyfriars Project Management,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Consultants,14/06/2024,VI-115839,"4,725.00",Revenue,Greyfriars Project Management,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Transport Expenses,Vehicle Hire,14/06/2024,VI-116263,400.00,Revenue,Grebe Coaches Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/06/2024,VI-116587,"1,085.00",Revenue,Greengrow Cooperative,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Transfer Payments,Settlement Of Complaints,25/06/2024,VI-116586,"2,170.00",Revenue,Greenfields Ireland Ltd,,,,,,,,,,,,,,,
Leader of the Council,Growth Programme Partnership,Supplies and Services,Consultants,12/06/2024,VI-115171,"1,380.00",Revenue,Groundwork East,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,21/06/2024,VI-116228,"2,132.43",Revenue,G T Rochester Plant Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,07/06/2024,VI-114829,300.00,Revenue,Gunton St Peter with St Benedict,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,07/06/2024,VI-115169,"7,437.50",Revenue,HACH Property Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,28/06/2024,VI-116774,450.00,Revenue,Hainstone Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/06/2024,VI-115191,"2,326.11",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/06/2024,VI-115196,379.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,04/06/2024,VI-115197,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,04/06/2024,VI-115200,888.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,04/06/2024,VI-115210,682.20,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,04/06/2024,VI-115211,"2,401.82",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,04/06/2024,VI-115212,477.12,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,05/06/2024,VI-113940,"2,675.95",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,05/06/2024,VI-113944,544.33,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,05/06/2024,VI-114398,"2,270.88",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,05/06/2024,VI-114794,"2,700.50",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,05/06/2024,VI-114798,722.85,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,07/06/2024,VI-115599,745.55,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,07/06/2024,VI-115598,268.20,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,11/06/2024,VI-115779,310.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,11/06/2024,VI-115782,510.12,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VC-003533,-596.40,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VI-115902,477.12,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,11/06/2024,VI-115787,793.66,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VI-115914,"1,992.22",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VI-115915,584.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,11/06/2024,VI-115784,"2,448.88",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,11/06/2024,VI-115785,619.41,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VC-003534,-477.12,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VI-115903,381.70,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/06/2024,VI-115909,603.38,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,12/06/2024,VI-115198,"1,819.35",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,14/06/2024,VI-116316,745.55,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,14/06/2024,VI-116317,"2,414.24",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,14/06/2024,VI-116318,661.56,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,18/06/2024,VI-116359,"2,571.89",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,18/06/2024,VI-116360,584.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/06/2024,VI-116373,448.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,19/06/2024,VI-116369,898.73,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,25/06/2024,VI-116609,898.73,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,25/06/2024,VI-116617,584.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,25/06/2024,VI-116618,"2,612.58",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,25/06/2024,VI-116371,"2,620.71",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,25/06/2024,VI-116372,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,25/06/2024,VI-116606,"1,743.05",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,25/06/2024,VI-116608,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,26/06/2024,VI-116605,517.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,28/06/2024,VI-116370,976.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,21/06/2024,VI-116566,"14,085.00",Revenue,Halesworth Town Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,21/06/2024,VI-116567,"13,545.00",Revenue,Halesworth Town Council,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,28/06/2024,VI-116761,"21,353.00",Revenue,Halo Service Solutions Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Ext Provided Services,04/06/2024,VI-113498,500.00,Revenue,Hammonds Accident Repair Centre,,,,,,,,,,,,,,,
Community Health,Food and Safety,Supplies and Services,Other Ext Provided Services,04/06/2024,VI-112816,500.00,Revenue,Hammonds Accident Repair Centre,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,07/06/2024,VI-115493,"7,000.00",Revenue,Hamson Barron Smith,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Qualification Training,21/06/2024,VI-116562,250.00,Revenue,Harrington Morgan Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,18/06/2024,VI-116414,"2,250.00",Revenue,Haydens Aboricultural,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,05/06/2024,VI-115216,375.00,Revenue,Optima Health,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,26/06/2024,VI-114725,"3,171.02",Revenue,Heales Health Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,26/06/2024,VI-116030,"3,214.16",Revenue,Heales Health Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,14/06/2024,VI-116010,300.00,Revenue,Highfield ABC,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,05/06/2024,VI-115460,"4,257.50",Revenue,Hi-Spec Facilities Services Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/06/2024,VI-116530,250.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,24/06/2024,VI-116768,391.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,07/06/2024,VI-115495,"792,394.24",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,07/06/2024,VI-115726,"10,940.86",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Ext Provided Services,11/06/2024,VI-115320,510.00,Revenue,Holiday Inn,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,25/06/2024,VI-116592,"13,367.00",Revenue,Home Adapt,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Employee Expenses,Technical Training,18/06/2024,VI-116180,"1,000.00",Revenue,Lexton Consulting Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,25/06/2024,VI-116538,"2,310.00",Revenue,Housing Reviews Centre Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Employee Expenses,Technical Training,26/06/2024,VI-116701,750.00,Revenue,Housing Systems Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,18/06/2024,VI-116403,"13,975.00",Revenue,Houghton and Son Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,14/06/2024,VI-116039,390.00,Revenue,HPWR Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,07/06/2024,VI-115538,"7,475.00",Revenue,Icarus Collective Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,General Purchases,11/06/2024,VI-115384,"1,476.42",Revenue,ID&C Band,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,14/06/2024,VI-116041,396.00,Revenue,Identity Web Design,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Consultants,25/06/2024,VI-116262,550.00,Revenue,IDOX Software Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,18/06/2024,VC-003531,-355.00,Revenue,Igenix Ltd T/A Animal Warden Services,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,18/06/2024,VI-115831,"3,850.74",Revenue,Igenix Ltd T/A Animal Warden Services,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Grants & Contributions,25/06/2024,VI-116564,471.79,Revenue,Ilketshall St Andrew Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Qualification Training,19/06/2024,VI-116399,"1,296.75",Revenue,ILX Group Plc,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,External Printing,07/06/2024,VI-115512,"6,873.65",Revenue,Impact Signs,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,11/06/2024,VI-115531,"5,000.00",Capital,Ingleton Wood,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,11/06/2024,VI-115963,719.50,Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,12/06/2024,VI-116009,439.96,Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,26/06/2024,VI-116721,549.95,Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Holding Account - Cash In,Grant,14/06/2024,VI-116218,"23,750.00",Revenue,Inspire Suffolk Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/06/2024,VI-116216,"35,000.00",Revenue,Inspire Suffolk Ltd,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Corporate Subscriptions,18/06/2024,VI-115976,615.00,Revenue,Institute of Licensing,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Consultants,14/06/2024,VI-114462,668.10,Revenue,Intalect Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,14/06/2024,VI-116255,300.00,Revenue,Ipswich Town Football Club,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,14/06/2024,VI-116124,"44,785.20",Revenue,Ipswich and District Citizens Advice Bureau,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Employee Expenses,Technical Training,19/06/2024,VI-116465,250.00,Revenue,Ipswich & Suff Council for Racial Equal,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Conference Fees,11/06/2024,VI-115629,307.00,Revenue,IW Group Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Conference Fees,11/06/2024,VI-115634,419.00,Revenue,IW Group Services Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/06/2024,VI-116027,"7,151.82",Revenue,J C Building Services,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,07/06/2024,VI-115596,350.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,11/06/2024,VI-115918,475.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,21/06/2024,VI-116565,480.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Equipment Hire,14/06/2024,VI-116202,"1,460.00",Revenue,Jewson,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,04/06/2024,VI-115069,326.77,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/06/2024,VI-115387,"44,901.00",Capital,John Grose Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/06/2024,VI-115388,"44,901.00",Capital,John Grose Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,04/06/2024,VI-115189,"4,768.00",Revenue,Johns Slater and Haward Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,25/06/2024,VI-116488,"2,600.00",Revenue,KBC Commercial Finance,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,18/06/2024,VI-101096,487.50,Revenue,11KBW Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,21/06/2024,VI-116453,"1,750.00",Revenue,Keating Chambers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,26/06/2024,VI-116555,"2,502.50",Revenue,Keating Chambers,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,25/06/2024,VI-116645,"4,453.56",Revenue,Kent County Council,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Grants & Contributions,14/06/2024,VI-112035,582.12,Revenue,Kesgrave Town Council,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Grants & Contributions,14/06/2024,VI-112037,946.70,Revenue,Kesgrave Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,14/06/2024,VI-115776,400.00,Revenue,Kettleburgh Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,14/06/2024,VI-115990,"523,310.44",Capital,Kier Construction - Eastern,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,28/06/2024,VI-116688,"234,811.18",Capital,Kier Construction - Eastern,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,12/06/2024,VI-116047,"14,778.00",Revenue,Kingsley House Hotel,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,07/06/2024,VI-114831,375.00,Revenue,Kirkley & Pakefield Community Sports and Social,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Transport Expenses,Repairs & Service,25/06/2024,VI-116646,393.48,Revenue,Klipspringer Instrumentation,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,05/06/2024,VI-115391,"2,360.00",Revenue,Knockout Challenge Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,18/06/2024,VI-116040,"2,458.01",Revenue,Koris Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,21/06/2024,VI-116452,600.00,Revenue,Landmark Chambers,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Supplies and Services,Other Ext Provided Services,12/06/2024,VI-115892,262.00,Revenue,Language Line Services,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,04/06/2024,VI-115190,"1,655.00",Revenue,The Landscape Partnership Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VC-003431,-719.20,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VI-114101,669.20,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VI-114898,416.00,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-116289,"3,498.21",Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,21/06/2024,VI-116113,"10,411.26",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,25/06/2024,VC-003605,-854.17,Revenue,LEC Hire,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Transport Expenses,Fuel,25/06/2024,VI-115420,"1,196.62",Revenue,LEC Hire,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Hardware Maintenance,25/06/2024,VI-116160,"22,896.29",Revenue,Legrand Electric Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,04/06/2024,VI-115254,250.00,Revenue,Leiston Quakers,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Furniture and Equipment,14/06/2024,VI-116125,"2,933.40",Revenue,Lets Connect IT Solutions Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,07/06/2024,VI-115537,"2,925.00",Revenue,Lexden Consultancy Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,07/06/2024,VI-115536,"3,087.50",Revenue,Lexden Consultancy Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,07/06/2024,VI-115534,"4,062.50",Revenue,Lexden Consultancy Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,07/06/2024,VI-115535,"1,718.75",Revenue,Lexden Consultancy Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,25/06/2024,VI-116590,"3,367.98",Revenue,LGS Homes (Suffolk) Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,14/06/2024,VI-116613,"11,598.62",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,14/06/2024,VI-116614,"2,235.72",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,03/06/2024,VI-115830,285.45,Revenue,Lloyds Banking Group,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,11/06/2024,VI-115827,"1,280.00",Revenue,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,14/06/2024,VI-116127,"11,833.00",Revenue,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116192,"7,500.00",Capital,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,21/06/2024,VI-116493,893.64,Revenue,London Road Baptist Church,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,25/06/2024,VI-116621,"53,254.55",Revenue,Lowestoft Vision,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,14/06/2024,VI-116151,529.17,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,14/06/2024,VI-116186,"1,641.73",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,14/06/2024,VI-116297,"10,241.85",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,14/06/2024,VI-116298,431.52,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,18/06/2024,VI-116363,"1,046.43",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,18/06/2024,VI-116365,"14,593.61",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,18/06/2024,VI-116405,"1,655.20",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,18/06/2024,VI-116364,431.52,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Premises Expenses,Rents Payable,18/06/2024,VI-116271,516.67,Revenue,Marina Theatre Trust,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Corporate Subscriptions,07/06/2024,VC-003419,"-5,589.60",Revenue,Maritime Cargo Processing plc,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Corporate Subscriptions,07/06/2024,VI-115585,"10,643.20",Revenue,Maritime Cargo Processing plc,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,07/06/2024,VI-115577,"6,400.00",Revenue,March Web Ltd,,,,,,,,,,,,,,,
