Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,31/05/2024,VI-114871,840.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,24/05/2024,VI-115241,378.97,Capital,British Gas,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113482,395.57,Capital,British Gas Ltd - Metering Centrica,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/05/2024,VI-114282,438.00,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/05/2024,VI-114283,593.40,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,24/05/2024,VI-114755,391.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,20/05/2024,VI-113846,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,20/05/2024,VI-113848,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,28/05/2024,VI-114300,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,24/05/2024,VI-114760,300.00,Revenue,Bucklesham & Foxhall Village Hall,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,17/05/2024,VI-114322,"9,475.00",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,14/05/2024,VI-113673,"8,000.00",Revenue,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,29/05/2024,VI-114896,967.12,Revenue,Bunzl Cleaning & Hygiene Supplies,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,21/05/2024,VI-114405,"1,000.00",Revenue,Bungay Cricket Club,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,03/05/2024,VI-113305,"21,670.35",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,03/05/2024,VI-113304,"6,549.60",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,03/05/2024,VI-113250,"247,232.40",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,03/05/2024,VI-113245,"50,590.80",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,15/05/2024,VI-113246,"1,512.00",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Software Maintenance,17/05/2024,VI-114351,471.42,Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,10/05/2024,VI-113486,"2,187.00",Capital,Cadent Gas Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,10/05/2024,VI-113773,432.79,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,21/05/2024,VI-114416,317.84,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,24/05/2024,VI-114649,344.57,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Machine Repair & Maintenance,24/05/2024,VI-114574,251.00,Revenue,Campbell Associates,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,10/05/2024,VI-113513,"1,497.50",Capital,Canham Consulting Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,14/05/2024,VI-113874,592.02,Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,15/05/2024,VI-113233,"14,089.22",Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/05/2024,VI-115172,504.90,Revenue,Carlton Colville Town Council,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,21/05/2024,VI-114527,"1,885.00",Revenue,Carr Road Distribution Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Hardware Purchases,10/05/2024,VI-113318,865.16,Revenue,Cartridge Save Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Current Liabilities,Creditors - Contract Retention,08/05/2024,VI-109630,"25,706.69",Revenue,RG Carter Southern Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,24/05/2024,VI-114599,"1,300.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,24/05/2024,VI-114600,624.00,Revenue,Carrington West,,,,,,,,,,,,,,,
