Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,Consultants,45681,VI-129604,6827,Revenue,HAT Projects Ltd
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,45674,VI-129508,244627.66,Revenue,Haven Health Medical Care
Corporate Services,Miscellaneous Property,Premises Expenses,Legionella,45671,VI-129492,735,Revenue,Heatlink Services Ltd
Corporate Services,Human Resources,Employee Expenses,Medical Fees,45674,VI-127951,3004.8,Revenue,Heales Health Services Ltd
Corporate Services,Human Resources,Employee Expenses,Medical Fees,45678,VI-129892,1348.5,Revenue,Heales Health Services Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,45678,VI-129965,1700,Revenue,Helping Cards
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45667,VI-129282,4428.57,Capital,Hem Des LLP
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45664,VI-128874,4682.81,Revenue,Hi-Spec Facilities Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45664,VI-128875,4773.48,Revenue,Hi-Spec Facilities Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45678,VI-129835,4026.21,Revenue,Hi-Spec Facilities Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45685,VI-130451,6110.54,Revenue,Hi-Spec Facilities Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45685,VI-130452,3972.1,Revenue,Hi-Spec Facilities Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45685,VI-130453,4245.85,Revenue,Hi-Spec Facilities Services Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,45673,VI-130092,745,Revenue,Her Majesty's Court and Tribunal Service
Leader of the Council,Legal,Supplies and Services,Legal Fees,45681,VI-130599,286,Revenue,Her Majesty's Court and Tribunal Service
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45671,VI-129463,936412.6,Revenue,HM Revenue & Customs
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45674,VI-129708,10856,Revenue,HM Revenue & Customs
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,45667,VI-129315,280,Revenue,Homebase
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45664,VI-128858,6137.2,Revenue,Home Adapt Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45664,VI-128843,3350,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45664,VI-128902,4525,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45674,VI-129684,4345,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45678,VI-129173,4620,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45685,VI-130243,4420,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45688,VI-130704,1730,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45688,VI-130707,3105,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45667,VI-128290,660,Revenue,Housing Reviews Centre Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45681,VI-127582,1650,Revenue,Housing Reviews Centre Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45664,VI-126930,2482,Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45667,VI-128877,2925.2,Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45671,VI-128441,1822,Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45678,VI-128944,1157.4,Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45688,VI-130623,400,Revenue,HQN Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Technical Training,45688,VC-004031,-275,Revenue,HQN Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Analysts/Vets Fees,45674,VI-128711,508.75,Revenue,The H R Branch
Community Health,Corporate Health and Safety,Employee Expenses,Technical Training,45667,VI-129256,560,Revenue,HSE Science and Research Centre
Community Health,Corporate Health and Safety,Employee Expenses,Technical Training,45667,VI-129259,560,Revenue,HSE Science and Research Centre
Corporate Services,Human Resources,Supplies and Services,Miscellaneous Other Services,45667,VI-129474,560,Revenue,HSE Science and Research Centre
Community Health,Port Health Authority,Supplies and Services,Clothing & Uniforms,45685,VI-130369,1102.8,Revenue,Hudson Group Ltd
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,45671,VI-129285,3588.33,Revenue,Igenix Ltd T/A Animal Warden Services
Excluded,Holding Accounts,Supplies and Services,Software Maintenance,45671,VI-128712,301,Revenue,IJL Web Solutions
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45667,VI-128893,299.9,Capital,Insight Direct (UK) Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45674,VI-129664,359.88,Capital,Insight Direct (UK) Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45678,VI-129888,1068.49,Capital,Insight Direct (UK) Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45681,VI-130138,809.5,Capital,Insight Direct (UK) Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45665,VI-129000,20000,Revenue,Inspire Suffolk Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45667,VI-129295,35000,Revenue,Inspire Suffolk Ltd
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,45681,VI-130240,253,Revenue,IPROW
Community Health,Port Health Authority,Employee Expenses,Qualification Training,45674,VC-004007,-1415.83,Revenue,International Correspondance Schools Ltd
Corporate Services,Miscellaneous Property,Supplies and Services,Software Maintenance,45678,VI-127944,668.1,Revenue,Intalect Ltd
Corporate Services,Miscellaneous Property,Supplies and Services,Software Maintenance,45678,VI-129749,668.1,Revenue,Intalect Ltd
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Minor Improvements,45686,VI-130588,7200,Revenue,Ipswich Borough Council
Leader of the Council,Democratic Services,Supplies and Services,Other Civic Expenses,45688,VI-130766,300,Revenue,Ipswich Borough Council
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45678,VI-129312,44785.2,Revenue,Ipswich and District Citizens Advice Bureau
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Employee Expenses,Technical Training,45672,VI-129612,1288,Revenue,ITS Training (UK) Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45667,VI-128982,4758.08,Revenue,J C Building Services
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Holding Account - Cash Out,Capital Expenditure,45685,VI-129853,26000,Capital,J D Services (Norfolk) Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45665,VI-128996,350,Revenue,Jennings of Lowestoft
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,45681,VI-130158,1540,Revenue,Jennings of Lowestoft
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,45681,VI-130159,1860,Revenue,Jennings of Lowestoft
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,45688,VI-130763,5000,Revenue,Phil Jones Associates Ltd
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,45674,VI-128842,3960,Revenue,J & R Services Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,45686,VI-130547,350,Revenue,Keating Chambers
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Grants & Contributions,45688,VI-130660,500,Revenue,Kelsale & District Wildlife Action Group
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45667,VI-129224,4755.22,Revenue,Kent County Council
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45678,VI-129854,6058.02,Revenue,Kent County Council
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,45667,VI-128716,3225,Revenue,Coastal Marine Support Ltd - [Kerr's Quays]
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45681,VI-130045,1000,Revenue,Kessingland COE Primary Academy Diocese Nor M T
Community Health,Port Health Authority,Supplies and Services,Machine Repair & Maintenance,45667,VI-129127,379.12,Revenue,Klipspringer Instrumentation
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45678,VI-129717,1565.57,Revenue,Koris Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,45667,VI-128463,378.76,Revenue,Landmark Fencing Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Vandalism,45671,VI-128449,541.08,Revenue,Landmark Fencing Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45674,VI-128027,410.9,Revenue,Landmark Fencing Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45674,VI-128028,426.72,Revenue,Landmark Fencing Ltd
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,45678,VI-127978,10488.26,Revenue,LDA Design Consultancy Limited
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,45670,VI-129711,17289.27,Revenue,Legal and General Assurance Society Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,External Printing,45681,VI-130219,1110,Revenue,Leiston Press
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,External Printing,45688,VI-130639,252,Revenue,Leiston Press
Planning and Coastal Management,Coastal Management,Supplies and Services,Software Purchases,45685,VI-130457,3610,Revenue,Leica Geosystems Limited
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,45681,VI-129807,519.2,Revenue,Lets Connect IT Solutions Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45685,VI-130400,290,Revenue,Level 2 Youth Project
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45688,VI-130648,1830,Revenue,Level 2 Youth Project
Community Health,Community Safety,Supplies and Services,Grants & Contributions,45674,VI-129566,1020,Revenue,Littoralis Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Clothing & Uniforms,45664,VI-128517,522.8,Revenue,L & J Workwear Ltd
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,45672,VI-130574,1954.71,Revenue,Lloyds Bank Group
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,45672,VI-130575,5467.87,Revenue,Lloyds Bank Group
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,45664,VI-128846,6356,Revenue,Rossi Long Consulting Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45665,VI-129001,960,Revenue,Lowestoft Time Bank CIC
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45678,VC-004018,-960,Revenue,Lowestoft Time Bank CIC
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45678,VC-004019,-980,Revenue,Lowestoft Time Bank CIC
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45678,VI-129983,850,Revenue,Lowestoft North Cliff Community Garden
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,45688,VI-130324,632.64,Revenue,Macfarlane Group UK Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45686,VI-130554,6400,Revenue,Martlesham Parish Council
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,45664,VI-127815,4765.5,Revenue,Marineserv UK Ltd
Community Health,Port Health Authority,Supplies and Services,Consultants,45667,VI-128880,7400,Revenue,March Web Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45672,VI-129051,25842.5,Revenue,MENTA - Mid Anglian Enterpirse Agency Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,45678,VI-129050,22330.31,Revenue,MENTA - Mid Anglian Enterpirse Agency Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45667,VI-129277,3500,Revenue,MEPK Architects Ltd
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,45667,VI-128896,517.2,Revenue,Mid Suffolk District Council
Excluded,Holding Accounts,Supplies and Services,Grants & Contributions,45688,VI-130758,300000,Revenue,Mid Suffolk District Council
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,45677,VI-113637,3808170,Revenue,"Dept Levelling Up, Housing & Communities"
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45688,VI-130600,1050,Revenue,Mind Body and Sea Cic
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45667,VI-128998,1078.57,Revenue,MLL Telecom Ltd
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,45678,VI-129466,723.2,Revenue,Algeco UK Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,45667,VI-128288,1584,Revenue,Mountain Builders
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,45681,VI-129841,740,Revenue,Mountain Builders
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45679,VI-130131,3395,Revenue,Mountfield Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Clothing & Uniforms,45667,VI-129146,1318.45,Revenue,Munnings Supplies Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45667,VI-129299,4148.58,Revenue,Musical Lifelines
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,45688,VC-004027,-8923.97,Revenue,The National Leaflet Company
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,45688,VI-130654,8950.74,Revenue,The National Leaflet Company
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,45674,VI-129571,621,Revenue,Need 2 Store Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,45672,VI-129619,318,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,45672,VI-128921,817.56,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,45679,VI-130134,318,Revenue,Newsquest Media Group Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,45686,VI-130571,540.6,Revenue,Newsquest Media Group Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45681,VI-130111,1875,Revenue,Next Thing Education Camps
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,45671,VI-129394,750,Revenue,Nicholas Everitt Park Trust
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Water ,45678,VI-129882,1055.19,Revenue,Nicholas Everitt Park Trust
Leader of the Council,Legal,Supplies and Services,Legal Fees,45681,VI-130255,9780.86,Revenue,Norfolk County Council
Deputy Leader and Housing,Private Sector Housing,Third Party Payments,Other Agencies,45685,VI-129669,21306.24,Revenue,Norfolk County Council
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45664,VI-128807,686.5,Capital,Norse Eastern Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,45671,VI-129457,950,Revenue,Norse Eastern Ltd
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,45674,VI-129766,6701.23,Revenue,North Norfolk District Council
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,45671,VI-129500,919.99,Revenue,Northumbrian Water Ltd
Deputy Leader and Housing,Housing Needs,Employee Expenses,Medical Fees,45667,VI-127611,400,Revenue,NowMedical
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,45671,VI-127076,8000,Capital,NPS Property Consultants Ltd
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,45664,VI-127959,39338.32,Revenue,M S Oakes Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45688,VI-130650,3092.18,Capital,M S Oakes Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Vandalism,45664,VI-126072,450,Revenue,Odd Bods exterior cleaning specialist Ltd
Community Health,Port Health Authority,Supplies and Services,Stationery,45681,VI-130163,350.2,Revenue,Office AZ Limited
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45667,VI-127274,4764,Capital,Onesite Steel Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,45664,VI-127419,7560,Revenue,Orchard Information Systems Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,45667,VI-129045,5218.41,Revenue,Orchard Information Systems Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,45674,VC-003998,-1343.91,Revenue,Orchard Information Systems Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,45674,VI-127418,3467.94,Revenue,Orchard Information Systems Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,45685,VI-130354,1096.7,Revenue,Orwell Housing Association
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45688,VI-130649,6000,Revenue,Oulton Broad Water Sports Centre
Financial Resources and Value for Money,Industrial Estates,Holding Account - Cash Out,Capital Expenditure,45664,VI-128685,1475,Capital,Overton Surveying
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45667,VI-129049,1230.49,Revenue,Owl Architects
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,45664,VI-128835,4250,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45664,VI-128833,3025,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45664,VI-128832,1034.99,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45664,VI-128831,2124,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45664,VI-128534,1034.99,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45664,VI-128532,265.5,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,45664,VI-128531,4250,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45664,VI-128528,3025,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45667,VI-128834,1765.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45674,VI-129516,345,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45674,VI-129515,1210,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45674,VI-129514,2420,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45674,VI-129513,796.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45674,VI-129510,531,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,45674,VI-129517,2550,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45674,VI-129509,828.61,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129512,1034.99,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129893,1858.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129895,3630,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129896,2069.97,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,45678,VI-129897,4250,Revenue,The Oyster Partnership
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45678,VI-129894,2207.43,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,45678,VI-129511,3400,Revenue,The Oyster Partnership
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,45688,VI-130420,4250,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45688,VI-130418,2420,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45688,VI-130417,1858.5,Revenue,The Oyster Partnership
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45688,VI-130416,689.99,Revenue,The Oyster Partnership
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,45664,VI-128328,830.6,Revenue,Panks Engineers Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45685,VI-130342,259.05,Revenue,Parker Developments (East Anglia) Ltd
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Planned Maintenance,45686,VI-130544,612.71,Revenue,T Partridge Electrical Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45686,VI-130340,1855.64,Revenue,T Partridge Electrical Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45671,VI-129452,4800,Revenue,Parkrun Limited
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,45688,VI-130634,773,Revenue,PATROL
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,45685,VI-130352,1964.8,Revenue,Pearce and Kemp Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,45664,VI-128883,496.05,Revenue,Pennington Choices Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Asbestos,45667,VI-129172,482.63,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,45679,VI-129589,14766.33,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,45681,VI-129820,2308.13,Revenue,Pennington Choices Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Asbestos,45681,VI-130156,278.54,Revenue,Pennington Choices Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,45685,VI-130397,45815,Revenue,Perfect Circle JV Ltd
The Environment,Waste Management,Supplies and Services,External Printing,45686,VI-130561,1805,Revenue,PermiServ Ltd
The Environment,Waste Management,Supplies and Services,External Printing,45686,VI-130560,1862,Revenue,PermiServ Ltd
The Environment,Waste Management,Supplies and Services,External Printing,45686,VI-130559,1237.22,Revenue,PermiServ Ltd
The Environment,Waste Management,Supplies and Services,External Printing,45688,VI-130558,731.28,Revenue,PermiServ Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45688,VI-130647,18910,Revenue,PHS Home Solutions Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45688,VI-130614,14524,Revenue,PHS Home Solutions Ltd
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,45671,VI-128895,4406.69,Revenue,Pier Marketing Limited
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,45667,VI-127530,3444,Revenue,Pitkin & Ruddock Limited
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,45674,VI-129583,6790,Revenue,Places for People
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Third Party Payments,Private Contractors,45667,VI-129008,11845.09,Revenue,Places for people
Planning and Coastal Management,Planning,Employee Expenses,Qualification Training,45667,VI-128775,600,Revenue,PlaceChangers
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,45667,VI-127606,2760,Revenue,Philip Pointer
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Machine Repair & Maintenance,45681,VI-126923,310,Revenue,Philip Pointer
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,45685,VI-125832,390,Revenue,Philip Pointer
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,45686,VI-129890,628,Revenue,Philip Pointer
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45688,VI-130351,528,Revenue,Philip Pointer
Community Health,Port Health Authority,Premises Expenses,Electricity,45671,VI-129391,953.14,Revenue,Port of Felixstowe
Community Health,Port Health Authority,Premises Expenses,Electricity,45671,VI-129393,1500,Revenue,Port of Felixstowe
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,45681,VI-130271,1744,Capital,Precision Pipework Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129561,1365.18,Revenue,4Principles Construction Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Fighting Equipment,45671,VI-128977,1499.54,Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Door Entry/Security,45681,VI-129860,3731.2,Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Emergency Lighting,45685,VI-130461,2217,Revenue,Protect and Detect Systems Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45678,VI-129724,912,Revenue,Provide Care Solutions Ltd
Housing Revenue Account,HRA Special Services,Premises Expenses,Cleaning Materials,45674,VI-129688,553.08,Revenue,R J Pryce and Co Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45667,VI-129211,4041.4,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45667,VI-129201,2731.41,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45667,VI-128863,12834.8,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45678,VI-129730,6116.6,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45688,VI-130756,6675,Revenue,Public Analyst Scientific Services
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45688,VI-130687,12898.17,Revenue,Public Analyst Scientific Services
