Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/06/2024,DENTON TRAVEL,9146983,revenue,1MK60,Ind Day Care LD,300.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,12/06/2024,DENTON TRAVEL,9145349,revenue,1MK60,Ind Day Care LD,360.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,12/06/2024,DENTON TRAVEL,9145351,revenue,1MK60,Ind Day Care LD,360.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,12/06/2024,DENTON TRAVEL,9145352,revenue,1MK60,Ind Day Care LD,550.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,12/06/2024,DENTON TRAVEL,9145326,revenue,1MK60,Ind Day Care LD,460.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,27/06/2024,DENTON TRAVEL,9156016,revenue,1MK60,Ind Day Care LD,400.00
Children & Families,Children's Social Care,Revenue Expenditure,26/06/2024,DENTON TRAVEL,9155187,revenue,1MC20,In-House Foster Carer Costs,27147.00
Children & Families,Children's Social Care,Revenue Expenditure,13/06/2024,DENTON TRAVEL,9147026,revenue,1MC20,In-House Foster Carer Costs,26973.20
Children & Families,Children's Social Care,Revenue Expenditure,27/06/2024,DENTON TRAVEL,9155915,revenue,1MC20,In-House Foster Carer Costs,27677.98
Children & Families,Education,Revenue Expenditure,26/06/2024,DENTON TRAVEL,9155195,revenue,1E212,Transport Special,62969.99
Children & Families,Education,Revenue Expenditure,05/06/2024,DENTON TRAVEL,9140712,revenue,1E212,Transport Special,62597.91
Children & Families,Education,Revenue Expenditure,18/06/2024,DENTON TRAVEL,9149915,revenue,1E212,Transport Special,62059.05
Children & Families,Education,Revenue Expenditure,18/06/2024,DENTON TRAVEL,9150500,revenue,1E212,Transport Special,63073.93
