Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Community Support,Revenue Expenditure,10/01/2025,AKARI CARE,9298494,revenue,1MG20,Residential Care OP,#N/A,,7933.92
Adult Social Care & Prevention,Community Support,Revenue Expenditure,10/01/2025,AKARI CARE,9298495,revenue,1MG20,Residential Care OP,#N/A,,3966.98
Adult Social Care & Prevention,Community Support,Revenue Expenditure,10/01/2025,AKARI CARE,9298483,revenue,1MG20,Residential Care OP,#N/A,,4099.20
Adult Social Care & Prevention,Community Support,Revenue Expenditure,10/01/2025,AKARI CARE,9298493,revenue,1MG20,Residential Care OP,#N/A,,8198.39
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,16/01/2025,AKW MEDI-CARE LTD,9301829,revenue,1KR12,DDA,#N/A,,780.13
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,16/01/2025,AKW MEDI-CARE LTD,9296409,revenue,1KR12,DDA,#N/A,,285.09
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/01/2025,AKW MEDI-CARE LTD,9284446,revenue,1KR12,DDA,#N/A,,1151.01
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/01/2025,AKW MEDI-CARE LTD,9293595,revenue,1KR12,DDA,#N/A,,280.64
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/01/2025,AKW MEDI-CARE LTD,9288380,revenue,1KR12,DDA,#N/A,,657.77
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/01/2025,AKW MEDI-CARE LTD,9293596,revenue,1KR12,DDA,#N/A,,266.66
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/01/2025,AKW MEDI-CARE LTD,9286436,revenue,1KR12,DDA,#N/A,,535.03
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/01/2025,AKW MEDI-CARE LTD,9286435,revenue,1KR12,DDA,#N/A,,264.66
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/01/2025,AKW MEDI-CARE LTD,9282670,revenue,1KR12,DDA,#N/A,,327.35
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/01/2025,AKW MEDI-CARE LTD,9286433,revenue,1KR12,DDA,#N/A,,290.20
