Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PERCY HEDLEY CENTRE,9102232,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Income,09/04/2024,PERCY HEDLEY CENTRE,9102124,revenue,1MG20,Residential Care OP,-675.20
ASC & Integrated Services,Adult Social Care,Revenue Income,09/04/2024,PERCY HEDLEY CENTRE,9102124,revenue,1MK20,Residential Care LD,-2346.20
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PERCY HOUSE,9102100,revenue,1MM20,Residential Care MH,5485.28
Operations & Reg Services,Operations,Revenue Expenditure,17/04/2024,PERMATT FORK LIFT TRUCKS LTD,9093974,revenue,1KESY,External Hires,563.33
"Children, Education and Skills",Education,Revenue Expenditure,24/04/2024,PEST ARREST,9111848,revenue,1EA04,Heaton ASB,300.00
Operations & Reg Services,Operations,Revenue Expenditure,24/04/2024,PEST ARREST,9111847,revenue,1KE1U,Shieldfield Centre R&M,325.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PHILIP CUSSINS HOUSE,9102136,revenue,1MG20,Residential Care OP,16202.80
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,PHILIPS COURT NURSING HOME,9111030,revenue,1MG10,Nursing Care OP,4492.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,PHILIPS COURT NURSING HOME,9111030,revenue,1MM10,Nursing Care MH,9101.22
Place,Development Management,Revenue Expenditure,03/04/2024,PHOENIX COACHES (NE) LTD T/A LIBERTY COA,9097384,revenue,1V034,North East Community Forest,440.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,30/04/2024,PHOENIX EYE LTD,9105475,revenue,1KJ31,Security - Manned Guards,1560.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,30/04/2024,PHOENIX EYE LTD,9110078,revenue,1KJ31,Security - Manned Guards,12114.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,30/04/2024,PHOENIX EYE LTD,9105474,revenue,1KJ31,Security - Manned Guards,12114.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,19/04/2024,PHOENIX EYE LTD,9107072,revenue,1KJ31,Security - Manned Guards,1560.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,16/04/2024,PHOENIX EYE LTD,9107046,revenue,1KF07,Banqueting Suite,709.80
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,16/04/2024,PHOENIX EYE LTD,9107074,revenue,1KJ31,Security - Manned Guards,10857.60
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,16/04/2024,PHOENIX EYE LTD,9080439,revenue,1KJ31,Security - Manned Guards,10857.60
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,16/04/2024,PHOENIX EYE LTD,9107073,revenue,1KJ31,Security - Manned Guards,2620.80
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,17/04/2024,PHOENIX EYE LTD,9090837,revenue,1KVWC,Minor Works Contracts,4976.40
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,02/04/2024,PHOENIX EYE LTD,9094805,revenue,1KVWC,Minor Works Contracts,4976.40
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,11/04/2024,PHOENIX EYE LTD,9089996,revenue,1KVWC,Minor Works Contracts,4976.40
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,11/04/2024,PHOENIX EYE LTD,9092065,revenue,1KVWC,Minor Works Contracts,4767.60
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,11/04/2024,PHOENIX EYE LTD,9098070,revenue,1KVWC,Minor Works Contracts,4889.40
Place,Transport,Revenue Expenditure,19/04/2024,PHOENIX HEALTH & SAFETY,9104226,revenue,1KE12,Road Activities Permit Scheme,1495.00
Public Health Service,Public Health,Revenue Expenditure,09/04/2024,PHOENIX HOUSE,9102242,revenue,1ML09,PH - Drugs and alcohol,7014.43
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,10/04/2024,PHOENIX SOFTWARE LTD,9102378,revenue,1MB30,Long Term Social Work Teams,336.77
Operations & Reg Services,ICT,Revenue Expenditure,17/04/2024,PHOENIX SOFTWARE LTD,9102712,revenue,1CX50,Technical Refresh,2055.20
Operations & Reg Services,ICT,Revenue Expenditure,10/04/2024,PHOENIX SOFTWARE LTD,9102391,revenue,1CX50,Technical Refresh,383.45
Operations & Reg Services,ICT,Revenue Expenditure,24/04/2024,PHOENIX SOFTWARE LTD,9108533,revenue,1CX50,Technical Refresh,1114328.36
Operations & Regulatory Services ,Operations,Revenue Expenditure,17/04/2024,PIRTEK (TYNE & WEAR),9093994,revenue,3KES1,City Transport Stock,371.18
Operations & Regulatory Services ,Operations,Revenue Expenditure,19/04/2024,PIRTEK (TYNE & WEAR),9094052,revenue,3KES1,City Transport Stock,303.44
ASC & Integrated Services,Integrated Services,Revenue Expenditure,19/04/2024,PLACES FOR PEOPLE LIVING+,9094218,revenue,1VH26,Housing Advice Centre,1139.11
"Children, Education and Skills",Education,Revenue Income,12/04/2024,PLANTPOTS PLAYGROUP,9104488,revenue,1E220,School Effectiveness,1928.00
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PLANTPOTS PLAYGROUP,9100625,revenue,1E201,ISB PVI Nurseries,21206.25
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PLANTPOTS PLAYGROUP,9100821,revenue,1E201,ISB PVI Nurseries,74002.50
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PLANTPOTS PLAYGROUP,9100824,revenue,1E201,ISB PVI Nurseries,497.25
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PLANTPOTS PLAYGROUP,9100624,revenue,1EEP5,2Yr Old Learning & Childcare,10515.38
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PLANTPOTS PLAYGROUP,9100825,revenue,1EEP5,2Yr Old Learning & Childcare,15773.07
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,25/04/2024,PLANTPOTS PLAYGROUP,9112174,revenue,1E20C,SEN EY Panel Inclusion Fund,1687.50
