Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
NPower Ltd,Electricity,Utilities,457.11,91.422,548.532,45135
NPower Ltd,Electricity,Utilities,498.74,99.748,598.488,45135
NPower Ltd,Electricity,Utilities,602.04,120.408,722.448,45135
NPower Ltd,Electricity,Utilities,830.03,166.006,996.036,45135
NPower Ltd,Electricity,Utilities,872.28,174.456,1046.7359999999999,45135
NPower Ltd,Electricity,Utilities,890.13,178.026,1068.156,45135
NPower Ltd,Electricity,Utilities,1022.6,204.52,1227.1200000000001,45135
NPower Ltd,Electricity,Utilities,1505.92,301.184,1807.104,45135
NPower Ltd,Electricity,Utilities,2481.81,496.362,2978.172,45135
NPower Ltd,Electricity,Utilities,14603,730.15,15333.15,45135
NPower Ltd,Electricity,Utilities,22101.74,4420.47,26522.210000000003,45135
NPower Ltd,Electricity,Utilities,13919.4,695.97,14615.369999999999,45160
NPower Ltd,Electricity,Utilities,24074.91,4815.01,28889.92,45160
NPower Ltd,Electricity,Utilities,15016.24,750.81,15767.05,45160
NPower Ltd,Electricity,Utilities,34039.05,6807.81,40846.86,45160
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,2607.76,521.552,3129.3120000000004,45180
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,2982.3,596.46,3578.76,45173
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,4113.8,822.76,4936.56,45161
NR Ltd,Agency Staff,Brent SNT Childrens,4165.05,833.01,4998.06,45159
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,4421.31,884.262,5305.572,45169
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,4957.49,991.498,5948.987999999999,45146
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,10339.75,2067.95,12407.7,45176
NR Ltd,Agency Staff,Brent SNT Childrens,13608.71,2721.742,16330.452,45180
NR Ltd,Agency Staff,Brent SNT Childrens,14752.03,2950.406,17702.436,45173
NR Ltd,Agency Staff,Brent SNT Childrens,10768.34,2153.67,12922.01,45161
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,4165.05,833.01,4998.06,45161
NR Ltd,Agency Staff,Brent SNT Childrens,15288.21,3057.642,18345.852,45161
NR Ltd,Agency Staff,Brent SNT Childrens,15441.97,3088.394,18530.363999999998,45169
NR Ltd,Agency Staff,Brent SNT Childrens,15449.85,3089.97,18539.82,45146
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,21120.42,4224.084,25344.503999999997,45176
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,24387.96,4877.592,29265.552,45170
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,26097.18,5219.436,31316.616,45135
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,26814.71,5362.942,32177.652,45121
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,28975.2,5795.04,34770.24,45131
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,30670.48,6134.096,36804.576,45114
NR Ltd,Agency Staff,Brent SNT Childrens,30772.01,6154.402,36926.412,45176
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,32012.19,6402.438,38414.628,45112
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,33682.35,6736.47,40418.82,45187
NR Ltd,Agency Staff,P-DSG Transport Educ - Ops,36596.04,7319.208,43915.248,45196
NR Ltd,Agency Staff,Brent SNT Childrens,64192.77,12838.554,77031.324,45176
NR Ltd,Agency Staff,Brent SNT Childrens,83950.79,16790.158,100740.94799999999,45135
NR Ltd,Agency Staff,Brent SNT Childrens,84266.19,16853.238,101119.428,45121
NR Ltd,Agency Staff,Brent SNT Childrens,84519.35,16903.87,101423.22,45170
NR Ltd,Agency Staff,Brent SNT Childrens,88694.72,17738.944,106433.664,45187
NR Ltd,Agency Staff,Brent SNT Childrens,89584.62,17916.924,107501.544,45112
NR Ltd,Agency Staff,Brent SNT Childrens,89608.28,17921.656,107529.936,45131
NR Ltd,Agency Staff,Brent SNT Childrens,89718.67,17943.734,107662.404,45114
NR Ltd,Agency Staff,Brent SNT Childrens,92305.14,18461.028,110766.168,45196
NSEP CIC,Computer Software,Community Safety Services,16387,3277.4,19664.4,45184
NSSL Holding Ltd,Supptd Accommodation,Mental Health  - S75,3795.56,0,3795.56,45153
NSSL Holding Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-948.88,0,-948.88,45153
NSSL Holding Ltd,Supptd Accommodation,Mental Health  - S75,3926.44,0,3926.44,45191
NSSL Holding Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-981.6,0,-981.6,45191
NSSL Holding Ltd,Supptd Accommodation,Mental Health  - S75,4057.33,0,4057.33,45162
NSSL Holding Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1014.32,0,-1014.32,45162
O2 Telefonica UK Ltd,Computer Purchases,IT Operations Service Management,582,116.4,698.4,45146
O2 Telefonica UK Ltd,Computer leases(ICT),IT Operations Service Management,1592.98,318.596,1911.576,45155
O2 Telefonica UK Ltd,Computer leases(ICT),IT Operations Service Management,2138.66,427.732,2566.392,45162
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,8796.44,1759.288,10555.728000000001,45131
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,8967.73,1793.546,10761.276,45131
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,9204.54,1840.91,11045.45,45146
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,7.5,0,7.5,45146
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,9308.35,1861.67,11170.02,45181
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,30,0,30,45181
O2 Telefonica UK Ltd,Agency Staff,IT Operations Service Management,9426.81,1885.362,11312.171999999999,45156
O2 Telefonica UK Ltd,Computer Purchases,Cap- IT,8949.5,1789.9,10739.4,45176
Oak House Children's Home Limited,Residential Placemnt,Childrens Placements,21000,0,21000,45114
Oak House Children's Home Limited,Residential Placemnt,Childrens Placements,21700,0,21700,45114
Oak House Children's Home Limited,Residential Placemnt,Childrens Placements,21700,0,21700,45148
Oak Housing Limited,Hotel rooms,NRPF,657,0,657,45182
Oak Housing Limited,Hotel rooms,NRPF,93,0,93,45182
Oak Housing Limited,Hotel rooms,Integrated Care,810,0,810,45135
Oak Housing Limited,Hotel rooms,Integrated Care,837,0,837,45168
Oak Housing Limited,Hotel rooms,Integrated Care,837,0,837,45194
Oak Housing Limited,Hotel rooms,NRPF,900,0,900,45181
Oak Housing Limited,Hotel rooms,NRPF,1080,0,1080,45170
Oak Housing Limited,Hotel rooms,NRPF,884,0,884,45173
Oak Housing Limited,Hotel rooms,NRPF,232,0,232,45173
Oak Housing Limited,Hotel rooms,NRPF,1116,0,1116,45194
Oak Housing Limited,Hotel rooms,Section 47 Team,3060,0,3060,45135
Oak Lee Montessori School Ltd,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,27838.86,0,27838.86,45187
Oakington Manor School,Grants and Subscript,CLA Pupil Premium Grant,500,0,500,45154
Oakland Primecare Ltd,Residential Placemnt,Long Term Care,7334.28,0,7334.28,45131
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,820,0,820,45145
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,952,0,952,45141
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,272,0,272,45141
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,272,0,272,45147
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,952,0,952,45147
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,952,0,952,45180
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,272,0,272,45180
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,1599,0,1599,45170
Oasis Care & Training Agency,Domiciliary Care,Children With Disabilities Client Costs,1742.5,0,1742.5,45189
OHara Bros. Surfacing Ltd,Private Contractors,Parking Services Overheads,42848,8569.6,51417.6,45166
One Enterprise Ltd,Consultants Fees,Affordable Housing Programme,1262.5,252.5,1515,45170
One Enterprise Ltd,Consultants Fees,Affordable Housing Programme,1737.5,347.5,2085,45120
One Enterprise Ltd,Consultants Fees,Affordable Housing Programme,686.5,137.3,823.8,45112
One Enterprise Ltd,Consultants Fees,Affordable Housing Programme,1288.5,257.7,1546.2,45112
One Enterprise Ltd,Consultants Fees,Affordable Housing Programme,2687.5,537.5,3225,45112
One2One Cars,Trans (Private Hire),P-DSG Transport Educ - Ops,3587.5,717.5,4305,45142
One2One Cars,Trans (Private Hire),P-DSG Transport Educ - Ops,6299.5,1259.9,7559.4,45126
One2One Cars,Trans (Private Hire),Brent SNT Childrens,34111.5,6822.3,40933.8,45142
One2One Cars,Trans (Private Hire),Brent SNT Childrens,60733.8,12146.76,72880.56,45125
Onecare UK Ltd - ISF,Domiciliary Care,Children With Disabilities Client Costs,500.5,0,500.5,45196
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,504.36,0,504.36,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,539.5,0,539.5,45160
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,542.48,0,542.48,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,542.48,0,542.48,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,542.48,0,542.48,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,543.8,0,543.8,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,543.8,0,543.8,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,543.8,0,543.8,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,547.9,0,547.9,45169
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,549.05,0,549.05,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,553.77,0,553.77,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,556.04,0,556.04,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,560.26,0,560.26,45133
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,561.79,0,561.79,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,574.04,0,574.04,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,576.85,0,576.85,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,577.56,0,577.56,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,584.3,0,584.3,45134
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,584.82,0,584.82,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,587.8,0,587.8,45134
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,588.24,0,588.24,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,588.98,0,588.98,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,592.6,0,592.6,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,596.12,0,596.12,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,601.91,0,601.91,45134
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,607.64,0,607.64,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,609.88,0,609.88,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,619.52,0,619.52,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,622.84,0,622.84,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,622.84,0,622.84,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,622.84,0,622.84,45139
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,626.84,0,626.84,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,627.48,0,627.48,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,630.8,0,630.8,45133
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,633.06,0,633.06,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,638.48,0,638.48,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,647.4,0,647.4,45134
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,658,0,658,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,672.3,0,672.3,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,685.92,0,685.92,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,685.92,0,685.92,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,685.92,0,685.92,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,685.92,0,685.92,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,697.2,0,697.2,45160
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,703.06,0,703.06,45169
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,706.68,0,706.68,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,714.64,0,714.64,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,714.64,0,714.64,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,714.64,0,714.64,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,719.12,0,719.12,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,719.12,0,719.12,45139
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,725.81,0,725.81,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,732.08,0,732.08,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,737.1,0,737.1,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,740.19,0,740.19,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,748.49,0,748.49,45133
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,752,0,752,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,759.61,0,759.61,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,765.09,0,765.09,45139
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,767.91,0,767.91,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,774.88,0,774.88,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,774.88,0,774.88,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,774.88,0,774.88,45134
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,774.88,0,774.88,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,776.2,0,776.2,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,776.2,0,776.2,45133
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,776.2,0,776.2,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,776.2,0,776.2,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,776.2,0,776.2,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,776.2,0,776.2,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,784.5,0,784.5,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,794.26,0,794.26,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,795.65,0,795.65,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,805.28,0,805.28,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,816.39,0,816.39,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,850.9,0,850.9,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,851.92,0,851.92,45139
Onecare UK Ltd - ISF,Domiciliary Care,Children With Disabilities Client Costs,858,0,858,45196
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,863.2,0,863.2,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,863.2,0,863.2,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,873.22,0,873.22,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,873.22,0,873.22,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,873.22,0,873.22,45169
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,878.85,0,878.85,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,882.36,0,882.36,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,882.36,0,882.36,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,884.78,0,884.78,45169
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,888.93,0,888.93,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,929.6,0,929.6,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,929.6,0,929.6,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,929.6,0,929.6,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,929.6,0,929.6,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,929.6,0,929.6,45139
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,930.64,0,930.64,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,933.42,0,933.42,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,935.33,0,935.33,45139
Onecare UK Ltd - ISF,Domiciliary Care,Children With Disabilities Client Costs,946,0,946,45196
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,952.84,0,952.84,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,952.84,0,952.84,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,972.59,0,972.59,45134
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,974.08,0,974.08,45133
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,975.4,0,975.4,45134
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,975.4,0,975.4,45139
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,986.58,0,986.58,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,987.4,0,987.4,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,996,0,996,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,996,0,996,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,996,0,996,45139
Onecare UK Ltd - ISF,Domiciliary Care,Self funders Personalisation - Adult Soc,999.83,0,999.83,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1007.28,0,1007.28,45139
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1008,0,1008,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1012.6,0,1012.6,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1033.78,0,1033.78,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1051.49,0,1051.49,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1062.4,0,1062.4,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1062.4,0,1062.4,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1062.4,0,1062.4,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1088.96,0,1088.96,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1095.53,0,1095.53,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1099.9,0,1099.9,45133
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1152,0,1152,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1158.68,0,1158.68,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1163.41,0,1163.41,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1211.8,0,1211.8,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1224.41,0,1224.41,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1230.06,0,1230.06,45134
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1230.35,0,1230.35,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1247.45,0,1247.45,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1248.27,0,1248.27,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1252.78,0,1252.78,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1272.07,0,1272.07,45169
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1300.68,0,1300.68,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1359.67,0,1359.67,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1385.64,0,1385.64,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1388.49,0,1388.49,45191
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,1394.4,0,1394.4,45133
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,1394.4,0,1394.4,45134
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,1394.4,0,1394.4,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1394.4,0,1394.4,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1394.4,0,1394.4,45160
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1402.7,0,1402.7,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1433.13,0,1433.13,45169
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1512,0,1512,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1512,0,1512,45191
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1593.6,0,1593.6,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1593.6,0,1593.6,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1593.6,0,1593.6,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1633.44,0,1633.44,45169
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1692.86,0,1692.86,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1701.16,0,1701.16,45133
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1701.16,0,1701.16,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,1747.1,0,1747.1,45169
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1890,0,1890,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,2537.46,0,2537.46,45131
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-634.35,0,-634.35,45131
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,2624.96,0,2624.96,45191
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-656.23,0,-656.23,45191
Onecare UK Ltd - ISF,Reablmnt Care Client,Personalisation,1982.42,0,1982.42,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,2712.45,0,2712.45,45162
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-678.11,0,-678.11,45162
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,2058.4,0,2058.4,45134
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,2058.4,0,2058.4,45139
Onecare UK Ltd - ISF,Domiciliary Care,Personalisation,2109.86,0,2109.86,45169
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,5396.15,0,5396.15,45153
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-2806,0,-2806,45153
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,3148.41,0,3148.41,45153
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-472.24,0,-472.24,45153
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,5582.23,0,5582.23,45191
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-2902.76,0,-2902.76,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,3256.97,0,3256.97,45191
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-488.53,0,-488.53,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,5768.31,0,5768.31,45162
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-2999.51,0,-2999.51,45162
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,2811.47,0,2811.47,45153
Onecare UK Ltd - ISF,Supptd Accommodation,Working Together - Learning Disability,2850,0,2850,45131
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,3365.53,0,3365.53,45162
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Mental Health  - S75,-504.82,0,-504.82,45162
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,2908.41,0,2908.41,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Mental Health  - S75,3005.36,0,3005.36,45162
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,3009.6,0,3009.6,45139
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,3009.6,0,3009.6,45139
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,3009.6,0,3009.6,45160
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,3009.6,0,3009.6,45169
Onecare UK Ltd - ISF,Supptd Accommodation,Working Together - Learning Disability,3328.67,0,3328.67,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Long Term Care,3759.9,0,3759.9,45191
Onecare UK Ltd - ISF,Rec Cost Ext Non-Vat,Long Term Care,-375.81,0,-375.81,45191
Onecare UK Ltd - ISF,Supptd Accommodation,Working Together - Learning Disability,3439.62,0,3439.62,45162
Onecare UK Ltd - ISF,Supptd Accommodation,Working Together - Learning Disability,3439.63,0,3439.63,45131
Onecare UK Ltd - ISF,Domiciliary Care,Working Together - Learning Disability,3496,0,3496,45133
Onecare UK Ltd - ISF,Supptd Accommodation,Long Term Care,3885.23,0,3885.23,45131
Onecare UK Ltd - ISF,Supptd Accommodation,Long Term Care,3885.23,0,3885.23,45162
