Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Redacted Personal Data,Carer's Service,Personalisation,160.76,0,160.76,45034
Redacted Personal Data,Carer's Service,Personalisation,155.57,0,155.57,45062
Redacted Personal Data,Carer's Service,Personalisation,160.76,0,160.76,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-80.64,0,-80.64,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-60.38,0,-60.38,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1338.4,0,1338.4,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1295.23,0,1295.23,45062
Redacted Personal Data,Adoption Allowances,Permanency Team,208.67,0,208.67,45022
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45034
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45041
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45044
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45051
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45062
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45069
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45071
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45083
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45090
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45097
Redacted Personal Data,Adoption Allowances,Permanency Team,162.3,0,162.3,45104
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,996.43,0,996.43,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,964.28,0,964.28,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,996.43,0,996.43,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-583.19,0,-583.19,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-528.9,0,-528.9,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-546.53,0,-546.53,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,2400.29,0,2400.29,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,2322.85,0,2322.85,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,2400.29,0,2400.29,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-446.24,0,-446.24,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-406.25,0,-406.25,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-419.78,0,-419.78,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1801.1,0,1801.1,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1743,0,1743,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1801.1,0,1801.1,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-106.69,0,-106.69,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-88.58,0,-88.58,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-91.54,0,-91.54,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,417.17,0,417.17,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,403.72,0,403.72,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,417.17,0,417.17,45096
Redacted Personal Data,Soc. Serv Client DP,Fostering,40,0,40,45027
Redacted Personal Data,Soc. Serv Client DP,Fostering,40,0,40,45034
Redacted Personal Data,Soc. Serv Client DP,Fostering,519,0,519,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1150.69,0,1150.69,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45020
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45027
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45034
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45041
Redacted Personal Data,Section 17,Asylum Client Expenditure,96.2,0,96.2,45047
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45054
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45062
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45068
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45076
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45082
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45090
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45104
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,25,0,25,45104
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45020
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45027
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45034
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45041
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45047
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45054
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45062
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45068
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45076
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45082
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45090
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45096
Redacted Personal Data,Travel Exps (public),Asylum Client Expenditure,11.6,0,11.6,45104
Redacted Personal Data,Carer's Service,Personalisation,160.76,0,160.76,45034
Redacted Personal Data,Carer's Service,Personalisation,155.57,0,155.57,45062
Redacted Personal Data,Carer's Service,Personalisation,160.76,0,160.76,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-573.91,0,-573.91,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-519.68,0,-519.68,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-537.01,0,-537.01,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1286.5,0,1286.5,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1245,0,1245,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1286.5,0,1286.5,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,10,0,10,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,2.86,0,2.86,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1735.89,0,1735.89,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1310.59,0,1310.59,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1268.32,0,1268.32,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1310.59,0,1310.59,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,4867,0,4867,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,4710,0,4710,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,4867,0,4867,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,21.7,0,21.7,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,21,0,21,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,21.7,0,21.7,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,709.01,0,709.01,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,686.15,0,686.15,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,709.01,0,709.01,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-417.18,0,-417.18,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-375.05,0,-375.05,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-387.54,0,-387.54,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,624.43,0,624.43,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,604.28,0,604.28,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,624.43,0,624.43,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,399.83,0,399.83,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-169.99,0,-169.99,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-152.4,0,-152.4,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-157.48,0,-157.48,45096
Redacted Personal Data,Carer's Service,Working Together - Learning Disability,176.04,0,176.04,45034
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1864.16,0,1864.16,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1804.03,0,1804.03,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1864.16,0,1864.16,45096
Redacted Personal Data,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,17184.6,0,17184.6,45076
Redacted Personal Data,Rents,Car Parks Pinner,4953.9,825.65,5779.55,45100
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-95.59,0,-95.59,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-80.4,0,-80.4,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-83.08,0,-83.08,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,367.57,0,367.57,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,355.72,0,355.72,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,367.57,0,367.57,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-505.89,0,-505.89,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,3791.91,0,3791.91,45096
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-369.95,0,-369.95,45035
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-336.13,0,-336.13,45062
Redacted Personal Data,Adts & Soc - Net PBs,Personalisation,-347.33,0,-347.33,45096
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,643.25,0,643.25,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,622.5,0,622.5,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,643.25,0,643.25,45096
Redacted Personal Data,Foster Payments,Permanency Team,211.24,0,211.24,45022
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45034
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45041
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45044
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45051
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45062
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45069
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45071
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45083
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45090
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45097
Redacted Personal Data,Foster Payments,Permanency Team,164.3,0,164.3,45104
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1235,0,1235,45062
Redacted Personal Data,Foster Payments,Permanency Team,226.29,0,226.29,45022
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45034
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45041
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45044
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45051
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45062
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45069
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45071
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45083
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45090
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45097
Redacted Personal Data,Foster Payments,Permanency Team,176,0,176,45104
Redacted Personal Data,Rec Cost Ext Non-Vat,Long Term Care,-1115.66,0,-1115.66,45037
Redacted Personal Data,Rec Cost Ext Non-Vat,Long Term Care,266.86,0,266.86,45069
Redacted Personal Data,Residential Placemnt,Long Term Care,6973.11,0,6973.11,45037
Redacted Personal Data,Residential Placemnt,Long Term Care,9571.2,0,9571.2,45069
Redacted Personal Data,Residential Placemnt,Long Term Care,6949.15,0,6949.15,45100
Redacted Personal Data,Soc. Serv Client DP,Children Looked After Team 1,410,0,410,45029
Redacted Personal Data,Soc. Serv Client DP,Children Looked After Team 1,460,0,460,45068
Redacted Personal Data,Soc. Serv Client DP,Children Looked After Team 1,530,0,530,45085
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,588.11,0,588.11,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,569.15,0,569.15,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,588.11,0,588.11,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,695.73,0,695.73,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,673.28,0,673.28,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,695.73,0,695.73,45096
Redacted Personal Data,Foster Payments,Fostering,444.86,0,444.86,45022
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45034
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45041
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45051
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45062
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45069
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45071
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45083
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45090
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45097
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45104
Redacted Personal Data,Soc. Serv Client DP,Fostering,13,0,13,45027
Redacted Personal Data,Soc. Serv Client DP,Fostering,519,0,519,45044
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-96.52,0,-96.52,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-81.3,0,-81.3,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-84.01,0,-84.01,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1970.14,0,1970.14,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1906.58,0,1906.58,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1970.14,0,1970.14,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,308.75,0,308.75,45034
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-76.5,0,-76.5,45019
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45043
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45050
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45057
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45064
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45071
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45078
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45085
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45092
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45099
Redacted Personal Data,Adts & Soc - Net PBs,Shared Lives,-59.5,0,-59.5,45106
Redacted Personal Data,Residential Placemnt,Shared Lives,648.64,0,648.64,45019
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45043
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45050
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45057
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45064
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45071
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45078
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45085
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45092
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45099
Redacted Personal Data,Residential Placemnt,Shared Lives,504.5,0,504.5,45106
Redacted Personal Data,Respite Costs,Shared Lives: Other Local Authorities,1937.5,0,1937.5,45036
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,1235,0,1235,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,441.09,0,441.09,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,426.85,0,426.85,45062
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,441.09,0,441.09,45096
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,410,0,410,45034
Redacted Personal Data,Soc. Serv Client DP,Children With Disabilities Client Costs,820.8,0,820.8,45096
Redacted Personal Data,Carer's Service,Personalisation,160.76,0,160.76,45034
Redacted Personal Data,Carer's Service,Personalisation,155.57,0,155.57,45062
Redacted Personal Data,Carer's Service,Personalisation,160.76,0,160.76,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-213.61,0,-213.61,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-194.62,0,-194.62,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-201.1,0,-201.1,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,421.82,0,421.82,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,408.21,0,408.21,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,421.82,0,421.82,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-353.93,0,-353.93,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-322.55,0,-322.55,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-333.29,0,-333.29,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1240,0,1240,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1200,0,1200,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,1240,0,1240,45096
Redacted Personal Data,Adoption Allowances,Permanency Team,228.86,0,228.86,45022
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45041
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45044
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45051
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45062
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45069
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45071
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45083
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45090
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45097
Redacted Personal Data,Adoption Allowances,Permanency Team,178,0,178,45104
Redacted Personal Data,Soc. Serv Client DP,Fostering,1038,0,1038,45034
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1476.75,0,1476.75,45035
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1429.12,0,1429.12,45062
Redacted Personal Data,Soc Care Persnl Budg,Personalisation,1476.75,0,1476.75,45096
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-122.6,0,-122.6,45035
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-106.55,0,-106.55,45062
Redacted Personal Data,Adts & Soc - Net PBs,Working Together - Learning Disability,-110.09,0,-110.09,45096
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2409.14,0,2409.14,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2819.43,0,2819.43,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,2657.14,0,2657.14,45096
Redacted Personal Data,Foster Payments,Fostering,444.86,0,444.86,45022
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45034
Redacted Personal Data,Foster Payments,Fostering,426,0,426,45041
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45044
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45062
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45069
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45071
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45083
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45090
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45097
Redacted Personal Data,Foster Payments,Fostering,346,0,346,45104
Redacted Personal Data,Soc. Serv Client DP,Fostering,1557,0,1557,45051
Redacted Personal Data,Soc. Serv Client DP,Fostering,519,0,519,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,466.51,0,466.51,45035
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,451.45,0,451.45,45062
Redacted Personal Data,Soc Care Persnl Budg,Working Together - Learning Disability,466.51,0,466.51,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45020
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45027
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45034
Redacted Personal Data,Section 17,Asylum Client Expenditure,61.05,0,61.05,45041
Redacted Personal Data,Section 17,Asylum Client Expenditure,96.2,0,96.2,45047
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45054
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45062
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45068
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45076
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45082
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45090
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45096
Redacted Personal Data,Section 17,Asylum Client Expenditure,67.2,0,67.2,45104
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45062
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45068
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45076
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45082
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45090
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,5.71,0,5.71,45096
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45020
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45027
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45034
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45041
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45047
Redacted Personal Data,Soc. Serv Client DP,Asylum Client Expenditure,20,0,20,45054
