Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Personal Data - Name Redacted,2324.4.CPMT.38910,45302,Allocations & Lettings (GF),Temporary Accommodation,1477.38
LBHF,Personal Data - Name Redacted,2324.4.CPMT.38913,45302,Allocations & Lettings (GF),Temporary Accommodation,1444.92
LBHF,Personal Data - Name Redacted,2324.4.CPMT.38916,45302,Allocations & Lettings (GF),Temporary Accommodation,1341.29
LBHF,Mountgold rentals LLP,2324.4.CPMT.38949,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39043,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39044,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39045,45302,Allocations & Lettings (GF),Temporary Accommodation,1529.52
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39066,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39074,45302,Allocations & Lettings (GF),Temporary Accommodation,1781.55
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39150,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39217,45302,Allocations & Lettings (GF),Temporary Accommodation,1166.52
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39880,45302,Allocations & Lettings (GF),Temporary Accommodation,1445.05
LBHF,Ocean Media Group Ltd,2324.4.CPMT.399,45302,Head of Resident Involvement,"Newspapers, Periodicals and Publications",3042
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39912,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Abber Limited,2324.4.CPMT.39917,45302,Allocations & Lettings (GF),Temporary Accommodation,1446.96
LBHF,Personal Data - Name Redacted,2324.4.CPMT.39971,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40007,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40010,45302,Allocations & Lettings (GF),Temporary Accommodation,1347.02
LBHF,Indigo Lodge Limited,2324.4.CPMT.4012,45302,Wormwood Scrubs,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1195
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40163,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40166,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40169,45302,Allocations & Lettings (GF),Temporary Accommodation,1461.74
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40257,45302,Allocations & Lettings (GF),Temporary Accommodation,1633.98
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40289,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40290,45302,Allocations & Lettings (GF),Temporary Accommodation,1239.83
LBHF,Roca Project Ltd,2324.4.CPMT.40343,45302,Allocations & Lettings (GF),Temporary Accommodation,1216.67
LBHF,Roca Project Ltd,2324.4.CPMT.40344,45302,Allocations & Lettings (GF),Temporary Accommodation,1216.67
LBHF,Roca Project Ltd,2324.4.CPMT.40345,45302,Allocations & Lettings (GF),Temporary Accommodation,1477.38
LBHF,Roca Project Ltd,2324.4.CPMT.40346,45302,Allocations & Lettings (GF),Temporary Accommodation,1825
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40493,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40554,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Villachase Ltd,2324.4.CPMT.40571,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Villachase Ltd,2324.4.CPMT.40572,45302,Allocations & Lettings (GF),Temporary Accommodation,1208.02
LBHF,Villachase Ltd,2324.4.CPMT.40573,45302,Allocations & Lettings (GF),Temporary Accommodation,1328.77
LBHF,Villachase Ltd,2324.4.CPMT.40574,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Villachase Ltd,2324.4.CPMT.40575,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Villachase Ltd,2324.4.CPMT.40576,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Villachase Ltd,2324.4.CPMT.40577,45302,Allocations & Lettings (GF),Temporary Accommodation,1173.21
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40678,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40679,45302,Allocations & Lettings (GF),Temporary Accommodation,1390.48
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40684,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40687,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40688,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40689,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40690,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Whitton Properties Ltd,2324.4.CPMT.40723,45302,Allocations & Lettings (GF),Temporary Accommodation,2085.71
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40751,45302,Allocations & Lettings (GF),Temporary Accommodation,1375.01
LBHF,Brent Housing Ltd,2324.4.CPMT.40754,45302,Allocations & Lettings (GF),Temporary Accommodation,1549.98
LBHF,Brent Housing Ltd,2324.4.CPMT.40755,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40793,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40796,45302,Allocations & Lettings (GF),Temporary Accommodation,2320.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40799,45302,Allocations & Lettings (GF),Temporary Accommodation,1825
LBHF,Personal Data - Name Redacted,2324.4.CPMT.40800,45302,Allocations & Lettings (GF),Temporary Accommodation,1390.48
LBHF,Personal Data - Name Redacted,2324.4.CPMT.41010,45302,Allocations & Lettings (GF),Temporary Accommodation,1716.37
LBHF,Anchor Tutors,2324.4.CPMT.4148,45302,SEND and Inclusion,SEN - Secondary,2952
LBHF,Anchor Tutors,2324.4.CPMT.4152,45302,SEND and Inclusion,SEN - Primary,9468
LBHF,Anchor Tutors,2324.4.CPMT.4153,45302,SEND and Inclusion,SEN - Primary,-1578
LBHF,Anchor Tutors,2324.4.CPMT.4156,45302,SEND and Inclusion,SEN - Primary,864
LBHF,Anchor Tutors,2324.4.CPMT.4158,45302,SEND and Inclusion,SEN - Primary,4968
LBHF,Anchor Tutors,2324.4.CPMT.4159,45302,SEND and Inclusion,SEN - Primary,-828
LBHF,Anchor Tutors,2324.4.CPMT.4160,45302,SEND and Inclusion,SEN - Primary,3024
LBHF,Anchor Tutors,2324.4.CPMT.4161,45302,SEND and Inclusion,SEN - Primary,-504
LBHF,Anchor Tutors,2324.4.CPMT.4162,45302,SEND and Inclusion,SEN - Primary,7758
LBHF,Anchor Tutors,2324.4.CPMT.4163,45302,SEND and Inclusion,SEN - Primary,-1293
LBHF,Anchor Tutors,2324.4.CPMT.4164,45302,SEND and Inclusion,SEN - Primary,1476
LBHF,Anchor Tutors,2324.4.CPMT.4182,45302,SEND and Inclusion,Element 3 - Top-up Funding,1368
LBHF,Anchor Tutors,2324.4.CPMT.4184,45302,SEND and Inclusion,Element 3 - Top-up Funding,3024
LBHF,Anchor Tutors,2324.4.CPMT.4185,45302,SEND and Inclusion,Element 3 - Top-up Funding,-504
LBHF,Anchor Tutors,2324.4.CPMT.4186,45302,SEND and Inclusion,Element 3 - Top-up Funding,9918
LBHF,Anchor Tutors,2324.4.CPMT.4187,45302,SEND and Inclusion,Element 3 - Top-up Funding,-1653
LBHF,Anchor Tutors,2324.4.CPMT.4188,45302,SEND and Inclusion,Element 3 - Top-up Funding,1584
LBHF,Anchor Tutors,2324.4.CPMT.4190,45302,SEND and Inclusion,Element 3 - Top-up Funding,3330
LBHF,Anchor Tutors,2324.4.CPMT.4191,45302,SEND and Inclusion,Element 3 - Top-up Funding,-555
LBHF,Anchor Tutors,2324.4.CPMT.4192,45302,SEND and Inclusion,Element 3 - Top-up Funding,2592
LBHF,Anchor Tutors,2324.4.CPMT.4194,45302,SEND and Inclusion,Element 3 - Top-up Funding,1440
LBHF,Anchor Tutors,2324.4.CPMT.4198,45302,SEND and Inclusion,Element 3 - Top-up Funding,1728
LBHF,Anchor Tutors,2324.4.CPMT.4200,45302,SEND and Inclusion,Element 3 - Top-up Funding,4464
LBHF,Anchor Tutors,2324.4.CPMT.4201,45302,SEND and Inclusion,Element 3 - Top-up Funding,-744
LBHF,Personal Data - Name Redacted,2324.4.CPMT.42111,45302,Allocations & Lettings (GF),Temporary Accommodation,1620.34
LBHF,Anchor Tutors,2324.4.CPMT.4222,45302,SEND and Inclusion,SEN - Secondary,864
LBHF,Anchor Tutors,2324.4.CPMT.4224,45302,SEND and Inclusion,SEN - Secondary,6336
LBHF,Anchor Tutors,2324.4.CPMT.4225,45302,SEND and Inclusion,SEN - Secondary,-1056
LBHF,Anchor Tutors,2324.4.CPMT.4226,45302,SEND and Inclusion,SEN - Secondary,3600
LBHF,Anchor Tutors,2324.4.CPMT.4227,45302,SEND and Inclusion,SEN - Secondary,-600
LBHF,Anchor Tutors,2324.4.CPMT.4228,45302,SEND and Inclusion,SEN - Secondary,5364
LBHF,Anchor Tutors,2324.4.CPMT.4229,45302,SEND and Inclusion,SEN - Secondary,-894
LBHF,Anchor Tutors,2324.4.CPMT.4232,45302,SEND and Inclusion,SEN - Secondary,1224
LBHF,Anchor Tutors,2324.4.CPMT.4234,45302,SEND and Inclusion,SEN - Secondary,1152
LBHF,Anchor Tutors,2324.4.CPMT.4236,45302,SEND and Inclusion,SEN - Secondary,4788
LBHF,Anchor Tutors,2324.4.CPMT.4237,45302,SEND and Inclusion,SEN - Secondary,-798
LBHF,Anchor Tutors,2324.4.CPMT.4238,45302,SEND and Inclusion,SEN - Secondary,1548
LBHF,Anchor Tutors,2324.4.CPMT.4240,45302,SEND and Inclusion,SEN - Secondary,1728
LBHF,Anchor Tutors,2324.4.CPMT.4242,45302,SEND and Inclusion,SEN - Secondary,792
LBHF,Anchor Tutors,2324.4.CPMT.4264,45302,SEND and Inclusion,SEN - Secondary,9720
LBHF,Anchor Tutors,2324.4.CPMT.4265,45302,SEND and Inclusion,SEN - Secondary,-1620
LBHF,Personal Data - Name Redacted,2324.4.CPMT.42829,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Manor Park Trust,2324.4.CPMT.42867,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.42881,45302,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.42934,45302,Allocations & Lettings (GF),Temporary Accommodation,2112
LBHF,Personal Data - Name Redacted,2324.4.CPMT.43062,45302,Allocations & Lettings (GF),Temporary Accommodation,2112.48
LBHF,Idverde Ltd,2324.4.CPMT.4387,45302,Capital - Environmental Improvements,Capital - Contractors - Refurbishment and Restora,62500
LBHF,Idverde Ltd,2324.4.CPMT.4393,45302,Capital - Misc Estate Works,Capital - Contractors - Refurbishment and Restora,29840
LBHF,Personal Data - Name Redacted,2324.4.CPMT.43978,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44015,45302,Allocations & Lettings (GF),Temporary Accommodation,1477.38
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44020,45302,Allocations & Lettings (GF),Temporary Accommodation,1403.51
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44139,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44140,45302,Allocations & Lettings (GF),Temporary Accommodation,1477.38
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44149,45302,Allocations & Lettings (GF),Temporary Accommodation,1825
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44172,45302,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44173,45302,Allocations & Lettings (GF),Temporary Accommodation,1207.98
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44174,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44328,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44402,45302,Allocations & Lettings (GF),Temporary Accommodation,532.73
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44418,45302,Allocations & Lettings (GF),Temporary Accommodation,857.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44422,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Trinity Healthcare Plus Ltd,2324.4.CPMT.44499,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,4207.32
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44513,45302,Allocations & Lettings (GF),Temporary Accommodation,757.2
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44515,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.5
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44636,45302,Allocations & Lettings (GF),Temporary Accommodation,1112.38
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44640,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44710,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Hargrave & Mason Ltd,2324.4.CPMT.44737,45302,Allocations & Lettings (GF),Temporary Accommodation,1247.08
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44748,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44845,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44848,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44851,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Greenmantle Property Ltd,2324.4.CPMT.44870,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44919,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44939,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44983,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45017,45302,Allocations & Lettings (GF),Temporary Accommodation,1390.48
LBHF,Brachiate Limited,2324.4.CPMT.45113,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Rank Securities Ltd,2324.4.CPMT.45116,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,HCP Staffing Services Ltd,2324.4.CPMT.4518,45302,Disabled Children's Team,Care Packages,665.46
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45225,45302,Allocations & Lettings (GF),Temporary Accommodation,1325.74
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45304,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45307,45302,Allocations & Lettings (GF),Temporary Accommodation,1846.73
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45339,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45589,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45669,45302,Allocations & Lettings (GF),Temporary Accommodation,869.05
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45670,45302,Allocations & Lettings (GF),Temporary Accommodation,869.05
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45671,45302,Allocations & Lettings (GF),Temporary Accommodation,869.05
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45713,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45782,45302,Allocations & Lettings (GF),Temporary Accommodation,1368.75
LBHF,Personal Data - Name Redacted,2324.4.CPMT.45851,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.46063,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.46064,45302,Allocations & Lettings (GF),Temporary Accommodation,1474.99
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.46078,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,3764.29
LBHF,Personal Data - Name Redacted,2324.4.CPMT.46084,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.46115,45302,Allocations & Lettings (GF),Temporary Accommodation,1447.19
LBHF,Personal Data - Name Redacted,2324.4.CPMT.46132,45302,Allocations & Lettings (GF),Temporary Accommodation,1207.98
LBHF,Mountgold Lettings Ltd,2324.4.CPMT.46135,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Mountgold Lettings Ltd,2324.4.CPMT.46136,45302,Allocations & Lettings (GF),Temporary Accommodation,1199.94
LBHF,Mountgold Lettings Ltd,2324.4.CPMT.46137,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Mountgold Lettings Ltd,2324.4.CPMT.46138,45302,Allocations & Lettings (GF),Temporary Accommodation,2320.01
LBHF,Sun Estates Property Management Limited,2324.4.CPMT.4621,45302,Allocations & Lettings (GF),Temporary Accommodation,1564.81
LBHF,CARE U CARE,2324.4.CPMT.46229,45302,Care and Assessment Services,Home Care,3203.19
LBHF,CARE U CARE,2324.4.CPMT.46230,45302,Care and Assessment Services,Home Care,3203.2
LBHF,CARE U CARE,2324.4.CPMT.46231,45302,Care and Assessment Services,Home Care,4404.4
LBHF,CARE U CARE,2324.4.CPMT.46232,45302,Care and Assessment Services,Home Care,4404.4
LBHF,CARE U CARE,2324.4.CPMT.46233,45302,Care and Assessment Services,Home Care,2695.97
LBHF,CARE U CARE,2324.4.CPMT.46234,45302,Care and Assessment Services,Home Care,3467.2
LBHF,CARE U CARE,2324.4.CPMT.46235,45302,Care and Assessment Services,Home Care,2802.8
LBHF,CARE U CARE,2324.4.CPMT.46236,45302,Care and Assessment Services,Home Care,2002
LBHF,CARE U CARE,2324.4.CPMT.46237,45302,Care and Assessment Services,Home Care,3769.04
LBHF,CARE U CARE,2324.4.CPMT.46238,45302,Care and Assessment Services,Home Care,3769.04
LBHF,CARE U CARE,2324.4.CPMT.46239,45302,Care and Assessment Services,Home Care,1278.7
LBHF,CARE U CARE,2324.4.CPMT.46241,45302,Care and Assessment Services,Home Care,3968.91
LBHF,CARE U CARE,2324.4.CPMT.46242,45302,Care and Assessment Services,Home Care,1020.58
LBHF,CARE U CARE,2324.4.CPMT.46243,45302,Care and Assessment Services,Home Care,3968.91
LBHF,CARE U CARE,2324.4.CPMT.46244,45302,Care and Assessment Services,Home Care,2802.8
LBHF,CARE U CARE,2324.4.CPMT.46245,45302,Care and Assessment Services,Home Care,3326.4
LBHF,CARE U CARE,2324.4.CPMT.46246,45302,Care and Assessment Services,Home Care,2402.4
LBHF,CARE U CARE,2324.4.CPMT.46247,45302,Care and Assessment Services,Home Care,2151.6
LBHF,CARE U CARE,2324.4.CPMT.46248,45302,Care and Assessment Services,Home Care,4404.4
LBHF,CARE U CARE,2324.4.CPMT.46249,45302,Care and Assessment Services,Home Care,1161.6
LBHF,CARE U CARE,2324.4.CPMT.46250,45302,Care and Assessment Services,Home Care,3739.98
LBHF,CARE U CARE,2324.4.CPMT.46252,45302,Care and Assessment Services,Home Care,1006.05
LBHF,CARE U CARE,2324.4.CPMT.46253,45302,Care and Assessment Services,Home Care,2716.35
