Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Research & development,Chief Scientific Adviser,EMBODY ORTHOPAEDIC LIMITED,INV-2228,44361,Invention for Innovation (I4I),W12 0BZ,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Research & development,Chief Scientific Adviser,EMBODY ORTHOPAEDIC LIMITED,INV-2227,45290,Invention for Innovation (I4I),W12 0BZ,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,28324,456555.6,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,28324,0.6,,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Outsourcing Contract,Chief Scientific Adviser,LGC LTD,51152203,1773451.18,Central Commissioning Function,TW11 0LY,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Outsourcing Contract,Chief Scientific Adviser,LGC LTD,51152202,117041,Central Commissioning Function,TW11 0LY,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Additions-other equity,Chief Scientific Adviser,NHS PROPERTY SERVICES LTD,Loan Drawdown,30000000,,WF3 1WE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Service charge - ICT,Chief Scientific Adviser,MOZAIC SERVICES LTD,2548,10680,,EC4N 7AF,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Service charge - ICT,Chief Scientific Adviser,MOZAIC SERVICES LTD,2548,172080.36,,EC4N 7AF,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Research & development,Chief Scientific Adviser,XIM LIMITED,dhsc 042,127731,Invention for Innovation (I4I),SO16 7NP,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Research & development,Chief Scientific Adviser,NHS BLOOD AND TRANSPLANT (NHSBT),9667810,100000,,LS15 7TW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Research & development,Chief Scientific Adviser,CANSENSE GROUP LTD,CSG 00021 2023,40241.36,Invention for Innovation (I4I),SO16 7NP,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,YORKSHIRE AMBULANCE SERVICE NHS TRUST,ASI0043566,25000,Research Capability Funding - Standard,WF2 0XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,YORK UNIVERSITY OF,ASI0043547,146619,Research Design Service (RDS),YO10 5DD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,YORK UNIVERSITY OF,ASI0043468,54538.58,Health Services and Delivery Research,YO10 5DD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,YORK UNIVERSITY OF,ASI0043467,38480.29,Public Health Research,YO10 5DD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ASI0043568,25000,Research Capability Funding - Standard,WR5 1DD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY OF WARWICK,ASI0043521,121971,Invention for Innovation (I4I),CV4 8UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ASI0043575,523942,Bio-Medical Research Centres,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ASI0043516,56781,Clinical Research Facilities,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ASI0043478,108000,Patient Recruitment Centres,LE5 4QF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ASI0043580,133740,Bio-Medical Research Centres,BS1 9JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ASI0043574,439251,Bio-Medical Research Centres,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ASI0043499,177545,Clinical Research Facilities,SO16 6YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ASI0043586,565598,Bio-Medical Research Centres,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ASI0043525,42465,Patient Safety Translational Research Centres (PSTRCs),B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ASI0043502,215883,Clinical Research Facilities,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON UCL,ASI0043559,82410,Invention for Innovation (I4I),WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON UCL,ASI0043520,103471,Invention for Innovation (I4I),WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ASI0043576,1671601,Bio-Medical Research Centres,NW1 2BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ASI0043527,52774,Patient Safety Translational Research Centres (PSTRCs),NW1 2BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ASI0043500,164763,Clinical Research Facilities,NW1 2BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ASI0043470,57188,Experimental Cancer Medical Centres,NW1 2BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ASI0043579,512862,Bio-Medical Research Centres,SW3 6JJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ASI0043494,52877,Clinical Research Facilities,SW3 6JJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043590,177006,Bio-Medical Research Centres,NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043522,57116,Patient Safety Translational Research Centres (PSTRCs),NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043511,93804,Clinical Research Facilities,NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043479,108000,Patient Recruitment Centres,NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ASI0043471,28020,Medtech and in-vitro disgnotic Cooperatives (MIC),NE7 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,TESSA JOWELL BRAIN CANCER MISSION C.I.C.,ASI0043573,28750,Tessa Jowell Brain Cancer Mission,N6 5TR,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,ASI0043466,100000,Programme Grants (PG),NW3 5BA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,STRATHCLYDE UNIVERSITY OF,ASI0043555,35993,Health and work,G1 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SOUTHAMPTON UNIVERSITY OF,ASI0043549,139876,Research Design Service (RDS),SO17 1BJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SOUTHAMPTON UNIVERSITY OF,ASI0043545,138405,Research Design Service (RDS),SO17 1BJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SOUTHAMPTON UNIVERSITY OF,ASI0043475,66749.14,Health Services and Delivery Research,SO17 1BJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ASI0043582,839051,Bio-Medical Research Centres,BR3 3BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ASI0043517,108019,Clinical Research Facilities,BR3 3BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043583,107355,Bio-Medical Research Centres,S5 7AU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043554,26301,Infrastructure equipment call,S5 7AU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043510,119058,Clinical Research Facilities,S5 7AU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,ROYAL FREE LONDON NHS FOUNDATION TRUST,ASI0043495,82775,Clinical Research Facilities,NW3 2QG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ASI0043537,286596,Bio-Medical Research Centres,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ASI0043535,108000,Patient Recruitment Centres,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,QUEEN MARY UNIVERSITY OF LONDON,ASI0043530,103755,Invention for Innovation (I4I),E1 2AX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ASI0043465,70814.04,HTA Commissioned,CB23 3RE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ASI0043589,1544012,Bio-Medical Research Centres,OX3 9DU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,OXFORD HEALTH NHS FOUNDATION TRUST,ASI0043581,617134,Bio-Medical Research Centres,OX4 4XN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,OXFORD HEALTH NHS FOUNDATION TRUST,ASI0043490,69987,Clinical Research Facilities,OX4 4XN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ASI0043577,257844,Bio-Medical Research Centres,NG5 1PB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ASI0043488,44881,Clinical Research Facilities,NG5 1PB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,ASI0043526,74543,Patient Safety Translational Research Centres (PSTRCs),M5 5ap,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ASI0043570,25000,Research Capability Funding - Standard,N18 1QX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,ASI0043556,25000,Research Capability Funding - Standard,SS14 3HG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NEWCASTLE UNIVERSITY,ASI0043548,166895,RSS Public Health Hub,NE1 7RU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NEWCASTLE UNIVERSITY,ASI0043544,143149,Research Design Service (RDS),NE1 7RU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ASI0043584,348243,Bio-Medical Research Centres,EC1V 2PD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ASI0043489,109254,Clinical Research Facilities,EC1V 2PD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ASI0043591,649033,Bio-Medical Research Centres,M13 0ZY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ASI0043528,41630,UK Clinical Research Facility Network (UK CRF),M13 0ZY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ASI0043505,271123,Clinical Research Facilities,M13 0ZY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LOUGHBOROUGH UNIVERSITY,ASI0043486,46400,AI and Racial & Ethnic Inequalities in Health & Care,LE11 3TU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ASI0043493,86815,Clinical Research Facilities,L9 7AL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LEICESTER UNIVERSITY OF,ASI0043542,140758,Research Design Service (RDS),LE1 7RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LEICESTER UNIVERSITY OF,ASI0043533,83816,Invention for Innovation (I4I),LE1 7RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LEEDS TEACHING HOSPITAL NHS TRUST,ASI0043588,348460,Bio-Medical Research Centres,LS9 7TF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LEEDS TEACHING HOSPITAL NHS TRUST,ASI0043504,146180,Clinical Research Facilities,LS9 7TF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,LANCASTER UNIVERSITY,ASI0043540,133000,Research Design Service (RDS),LA1 4YW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,KINGS COLLEGE LONDON,ASI0043541,113860,Research Design Service (RDS),WC2R 2LS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,KINGS COLLEGE LONDON,ASI0043518,77968,Invention for Innovation (I4I),WC2R 2LS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,KINGS COLLEGE LONDON,ASI0043509,25000,Royal Colleges Education - credentialing,WC2R 2LS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,KEELE UNIVERSITY OF,ASI0043514,223658,Invention for Innovation (I4I),ST5 5BG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,IMPERIAL COLLEGE LONDON,ASI0043543,151361,Research Design Service (RDS),SW7 2AZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ASI0043585,1691233,Bio-Medical Research Centres,W12 0HS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ASI0043523,28718,Patient Safety Translational Research Centres (PSTRCs),W12 0HS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ASI0043491,192293,Clinical Research Facilities,W12 0HS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ASI0043538,109083,Invention for Innovation (I4I),SE1 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ASI0043498,204049,Clinical Research Facilities,SE1 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ASI0043519,593326,Bio-Medical Research Centres,WC1N 3JH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ASI0043508,80553,Clinical Research Facilities,WC1N 3JH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,EXETER UNIVERSITY OF,ASI0043469,60199.6,Health Services and Delivery Research,EX4 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,ELRHA,ASI0043564,54638,Research for Health in Humanitarian Crisis - R2HC Phase 3,EC1M 4AR,Small,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,EAST & NORTH HERTFORDSHIRE NHS TRUST,ASI0043565,25000,Research Capability Funding - Standard,BS1 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,ASI0043569,25000,Research Capability Funding - Standard,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,ASI0043480,25000,Research Capability Funding - Standard,PL26 6AD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ASI0043578,2219804,Bio-Medical Research Centres,CB2 0QQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ASI0043529,53351,Invention for Innovation (I4I),CB2 0QQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ASI0043506,258384,Clinical Research Facilities,CB2 0QQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ASI0043572,25000,Research Capability Funding - Standard,HP7 0JD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043524,84175,Patient Safety Translational Research Centres (PSTRCs),BD9 6RJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043476,108000,Patient Recruitment Centres,BD9 6RJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0043477,108000,Patient Recruitment Centres,FY3 8NR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,BIRMINGHAM UNIVERSITY OF,ASI0043546,140474,Research Design Service (RDS),B15 2TT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,BARTS HEALTH NHS TRUST,ASI0043587,398458,Bio-Medical Research Centres,E1 8PR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0043501,32979,Clinical Research Facilities,L12 2AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NHS CORNWALL AND THE ISLES OF SCILLY ICB,ASI0043562,44000,Research Capability Funding - Standard,PL31 2FR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NHS CORNWALL AND THE ISLES OF SCILLY ICB,ASI0043562,25000,Research Capability Funding - Standard,PL31 2FR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NHS HUMBER & NORTH YORKSHIRE ICB,ASI0043561,76000,Research Capability Funding - Standard,HU10 6DT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Research & development,Chief Scientific Adviser,NHS HUMBER & NORTH YORKSHIRE ICB,ASI0043561,37500,Research Capability Funding - Standard,HU10 6DT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Research & development,Chief Scientific Adviser,SONRAI ANALYTICS,INV-0128,234950.31,AI Call,BT7 1NF,Small,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Research & development,Chief Scientific Adviser,CARISTO DIAGNOSTICS LIMITED,INV-0265,105210,AI Call,OX2 0HP,Small,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,Chief Scientific Adviser,AVANADE UK LIMITED,3004046590,34533,,EC4M 6XH,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,Chief Scientific Adviser,AVANADE UK LIMITED,3004046159,66168,,EC4M 6XH,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Research & development,Chief Scientific Adviser,DEM DX LIMITED,856,110824.3,AI Call,N7 8LB,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Research & development,Chief Scientific Adviser,ADVANCED GLOBAL HEALTH LIMITED,11575,75071,Invention for Innovation (I4I),SE1 0HS,Small,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Research & development,Chief Scientific Adviser, ICOMETRIX,CLTRIALS_PAssistMS_,89689,AI Call,3012,Small,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,29196,144000,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,29194,53212.67,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,29192,1903225.2,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,28593,53212.67,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,27650,463200,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Chief Scientific Adviser,PA CONSULTING SERVICES LTD,27649,121824,NIHR Research Information Systems (G-Cloud icl Health Data F,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Chief Scientific Adviser,AVANADE UK LIMITED,3004045989,66168,,EC4M 6XH,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Research & development,Chief Scientific Adviser,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ASI0043452,-166832.7,HTA Other Therapeutic Interventions,BR3 3BX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Research & development,Chief Scientific Adviser,EMBERS THE DRAGON LTD,NIHRPDA04,289806,Invention for Innovation (I4I),SE16 2XB,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Research & development,Chief Scientific Adviser,EAST LONDON UNIVERSITY OF,ASI0043453,-82013.36,Public Health Research,E16 2RD,Govn,,,
