Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F40019,46753.27,January Quit Smoking Campaign - TV,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39998,316.43,January Quit Smoking Campaign - RADIO ASBOF,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39998,319592.53,January Quit Smoking Campaign - RADIO,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39997,155083,January Quit Smoking Campaign - PARTNERSHIPS,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39941,41146.09,January Quit Smoking Campaign - VOD,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39594,36.3,Stoptober Paid Search - ASBOF,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39594,36761.12,Stoptober Paid Search,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F34018,39.72,Stoptober OLV - ASBOF,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F34018,40469.09,Stoptober OLV,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F34018,2240.78,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),SOCIAL FINANCE LIMITED,2687,52726.5,IPS technical support & fidelity reviews,SE11 5HJ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),MERCATEO UK LIMITED,1080048276,39900,Smoking Cessation - National Swap to Stop - UNITE,WC2B 5AH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),WAVEMAKER LIMITED,M38005,43719.25,CVD_23-24_Wavemaker _Media Planning Phase 1,SE1 9ET,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),MULLENLOWE LONDON,9052021976,62605.11,January Quit Smoking Campaign - Agency Fees,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Other programme expenditure,Office For Health Improvement & Disparities (OHID),NCSCT COMMUNITY INTEREST COMPANY,103156,46750,Stop Smoking Training Yr1/3- Q3,DT1 1RD,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,03/01/2024,Secondees in invoiced costs,Office For Health Improvement & Disparities (OHID),BIRMINGHAM UNIVERSITY OF,71271171,31850,PO558774 offset against credit note 71271158,B15 2TT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,03/01/2024,Secondees in invoiced costs,Office For Health Improvement & Disparities (OHID),BIRMINGHAM UNIVERSITY OF,71271158,-31850,PO558774 offset against invoice 71271171,B15 2TT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,THE PHOENIX PARTNERSHIP LEEDS LTD,GPITF-SCP41,40000,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,LS18 5TN,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,THE PHOENIX PARTNERSHIP LEEDS LTD,GPITF47,3576607.53,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,LS18 5TN,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,THE PHOENIX PARTNERSHIP LEEDS LTD,15236,37046.98,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,LS18 5TN,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,EGTON MEDICAL INFORMATION SYSTEMS LTD,SINV00026285,105123.6,GPIF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,LS19 6BA,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,EGTON MEDICAL INFORMATION SYSTEMS LTD,SINV00025926,3861538.7,GPIF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,LS19 6BA,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,EGTON MEDICAL INFORMATION SYSTEMS LTD,FIN000602,16613.82,GPES various extracts run costs Q3&4 FY2324,LS19 6BA,Large,,,
