Transparency Report - December 2024,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Amount
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,775.40"
05/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
05/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
05/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
09/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,102.14"
09/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,972.03"
09/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,052.12"
09/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,460.76"
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£285.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,135.00"
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,885.00"
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£985.00
16/12/2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,100.00"
16/12/2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£850.00
16/12/2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£420.00
16/12/2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£850.00
03/12/2024,Travis Perkins Trading Co Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£340.00
03/12/2024,Glazerite Windows Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£616.33
10/12/2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£288.82
12/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£541.76
12/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£535.80
12/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£520.00
13/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£542.17
13/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£865.00
13/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£536.37
13/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£560.00
13/12/2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£322.54
24/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£380.00
24/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£584.87
24/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£535.03
24/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£535.15
24/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
24/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
26/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£547.49
26/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£535.20
26/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£885.00
26/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£560.83
26/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£534.97
26/12/2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£554.45
26/12/2024,Glazerite Windows Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£499.97
26/12/2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£261.76
28/12/2024,Howden Joinery Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,"£1,027.85"
02/12/2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£740.00
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£310.00
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£260.00
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£275.00
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,620.00"
02/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,200.00"
02/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£480.00
02/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£460.00
02/12/2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,238.00"
02/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,508.34"
02/12/2024,Metro Rod Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£401.34
02/12/2024,Access Security (Luton) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,650.00"
02/12/2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£480.00
02/12/2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,460.00"
02/12/2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£850.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£850.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£560.00
02/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
02/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£675.00
02/12/2024,Angle Scaffolding Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,084.00"
02/12/2024,Angle Scaffolding Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,214.00"
02/12/2024,Ivorybridge Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£375.00
02/12/2024,Ivorybridge Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£520.00
02/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,730.45"
05/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£260.00
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£310.00
05/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
05/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,800.00"
05/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£4,800.00"
05/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£825.00
05/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£940.00
05/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£495.00
05/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,842.36"
05/12/2024,Dalrod,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£492.29
05/12/2024,Dalrod,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,410.00"
05/12/2024,Ivorybridge Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£315.00
05/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
05/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£660.00
05/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,736.50"
05/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,290.00"
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£750.00
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
09/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
09/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,500.00"
09/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£720.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£485.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£325.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£648.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£678.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£485.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£345.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£485.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
09/12/2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£648.00
09/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
09/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
09/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
09/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£570.00
09/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
09/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£625.00
09/12/2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£8,808.00"
12/12/2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,768.00"
12/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,015.35"
12/12/2024,Colt Property Improvements Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,772.00"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£8,775.89"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,598.00"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,694.00"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£6,836.00"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,802.00"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£4,810.00"
12/12/2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£275.00
12/12/2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
12/12/2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
12/12/2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
12/12/2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
12/12/2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£729.50
12/12/2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
12/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£795.00
12/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£654.00
12/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£260.00
12/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£270.00
12/12/2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,280.00"
12/12/2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,532.00"
16/12/2024,Ivorybridge Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£589.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,440.00"
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£340.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,400.00"
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£850.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,075.00"
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£520.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£750.00
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,700.00"
16/12/2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,990.00"
16/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,430.00"
18/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
18/12/2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
