Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46302083333,9804818295,624.72,Revenue,Redacted personal data,148086.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46302083333,9804818304,1067.8,Revenue,Redacted personal data,148577.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46302083333,9804818311,576.0,Revenue,Redacted personal data,148649.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46303240741,9804818333,861.0,Revenue,Redacted personal data,149383.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46304398148,9804818376,1119.89,Revenue,Redacted personal data,150133.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Direct Payments,45691.463055555556,9804818383,518.14,Revenue,Redacted personal data,150321.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46306712963,9804818436,578.75,Revenue,Redacted personal data,152131.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46306712963,9804818454,1415.48,Revenue,Redacted personal data,152370.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46306712963,9804818461,647.33,Revenue,Redacted personal data,152507.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45691.46306712963,9804818471,927.08,Revenue,Redacted personal data,152603.0
