OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,23/06/2023,5348888,4185.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,23/06/2023,5348890,3410.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,23/06/2023,5348949,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,23/06/2023,5348952,3410.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,23/06/2023,5348953,715.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,23/06/2023,5348567,560.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,23/06/2023,5348957,2128.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,23/06/2023,5350182,945.00,0.00,CATERING/PROVISIONS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,23/06/2023,5350184,2914.00,0.00,CATERING/PROVISIONS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,23/06/2023,5350186,1395.00,0.00,CATERING/PROVISIONS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,23/06/2023,5350187,1395.00,0.00,CATERING/PROVISIONS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,23/06/2023,5350188,495.00,0.00,CATERING/PROVISIONS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,23/06/2023,5350189,1395.00,0.00,CATERING/PROVISIONS,Suppliers - Accomodation (Housing)
