Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,12-Jul-24,51501128745,"£39,387.36",Npower Ltd,Environment & Property,Assistant Director Highways and Transport,Electricity
Milton Keynes City Council,12-Jul-24,51501125077,"£52,194.24",Milton Keynes YMCA Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501116094,"£58,640.05",Satellite Applications catapult,Planning and Placemaking,Transport Projects,Other Indirect Staff Expenses
Milton Keynes City Council,12-Jul-24,51501128928,"£154,213.14",Willmott Dixon Construction Ltd,Environment & Property,Land Development,"New Construction, Conversion and Renovation"
Milton Keynes City Council,12-Jul-24,51501124490,"£209,548.77",Access UK Limited t/a Adam,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501124921,"£234,410.39",Access UK Limited t/a Adam,Children's Services,"Access to Education, Employment and Training",Home to School - Contract
Milton Keynes City Council,12-Jul-24,51501116134,"£327,161.40","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority and NHS Trust Payments
Milton Keynes City Council,12-Jul-24,51501124529,"£339,027.66",Willmott Dixon Construction Ltd,Environment & Property,Land Development,"New Construction, Conversion and Renovation"
Milton Keynes City Council,12-Jul-24,51501116132,"£614,514.07","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority and NHS Trust Payments
Milton Keynes City Council,15-Jul-24,51501122544,"-£8,583.55",Rainbow Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,15-Jul-24,51501111304,-£690.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501127290,£511.20,B Kent Electrical Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,15-Jul-24,51501117409,£520.00,The Woad Farm Project,Children's Services,High Needs Block,SEN Funding
Milton Keynes City Council,15-Jul-24,51501119807,£526.36,Bunzl UK Ltd T/a Bunzl Cleaning & Hygiene Supplies,Customer and Community Services,Head of Service - Regulatory,Cleaning and Domestic Supplies
Milton Keynes City Council,15-Jul-24,51501129700,£540.00,Play Included C.I.C.,Children's Services,Safeguarding,Staff Training & Development
