Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Education & Skills,Consultancy & Advisory Services,Supplies & Services,Other Grants (Expenses),School of Coding Ltd,17/10/2023,"1,124.75"
Education & Skills,SEND (0-25),Supplies & Services,Health & Safety Expenses,Schuchmann LLP,13/10/2023,"3,453.00"
Prosperity & Investment,Regeneration & Investment,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,09/10/2023,"2,036.78"
Prosperity & Investment,Regeneration & Investment,Premises-Related Expenditure,Electricity,SCOTTISH POWER PLC,17/10/2023,735.02
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Sub Contractors,Security Wise Ltd,20/10/2023,138.00
Education & Skills,Education & Skills,Capital Expenditure,Payments to Contractor,Security Wise Ltd,03/10/2023,170.00
Neighbourhood & Enforcement Services,Enforcement,Supplies & Services,Security Services,Security Wise Ltd,04/10/2023,150.00
Neighbourhood & Enforcement Services,Enforcement,Supplies & Services,Security Services,Security Wise Ltd,12/10/2023,"1,177.00"
Neighbourhood & Enforcement Services,Enforcement,Supplies & Services,Security Services,Security Wise Ltd,12/10/2023,150.00
Neighbourhood & Enforcement Services,Enforcement,Supplies & Services,Security Services,Security Wise Ltd,12/10/2023,138.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,13/10/2023,"2,212.00"
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,03/10/2023,279.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,25/10/2023,120.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,03/10/2023,167.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,20/10/2023,130.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,20/10/2023,114.00
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,Security Wise Ltd,20/10/2023,111.00
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,Security Wise Ltd,20/10/2023,130.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,24/10/2023,124.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,24/10/2023,111.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,24/10/2023,170.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,Security Wise Ltd,24/10/2023,115.00
Prosperity & Investment,Regeneration & Investment,Premises-Related Expenditure,R&M -Building Other,Security Wise Ltd,02/10/2023,596.00
Prosperity & Investment,Regeneration & Investment,Capital Expenditure,Compensation,Security Wise Ltd,27/10/2023,150.00
Policy & Governance,Governance & Legal Services,Employees,Agency Supply Costs,Sellick Partnership,20/10/2023,"2,191.88"
Policy & Governance,Governance & Legal Services,Employees,Agency Supply Costs,Sellick Partnership,20/10/2023,"2,191.88"
Policy & Governance,Governance & Legal Services,Employees,Agency Supply Costs,Sellick Partnership,20/10/2023,"2,191.88"
Policy & Governance,Governance & Legal Services,Supplies & Services,Hospitality,SERCO LEISURE OPERATING LTD,10/10/2023,608.95
Education & Skills,Education & Skills,Capital Expenditure,Payments to Contractor,Services in Design Ltd,05/10/2023,943.75
Prosperity & Investment,BiT,Capital Expenditure,Payments to Contractor,Services in Design Ltd,05/10/2023,943.75
Prosperity & Investment,Regeneration & Investment,Capital Expenditure,Engineers Fees,SEVERN PARTNERSHIP LTD,31/10/2023,"1,201.00"
Children큦 Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Supplies & Services,Other Services,Share Foundation,30/10/2023,102.92
Neighbourhood & Enforcement Services,Waste & Neighbourhood Services,Premises-Related Expenditure,Grounds Maintenance - Other,S SIGNS LTD,30/10/2023,"1,060.00"
"Communities, Customer & Commercial Services",Culture & Events,Supplies & Services,Artistes Fees,S Productions Limited,16/10/2023,"52,500.00"
Education & Skills,Consultancy & Advisory Services,Employees,Training Exp큦 (Facilitators),S Bason Ltd,20/10/2023,"2,194.20"
"Communities, Customer & Commercial Services",Culture & Events,Supplies & Services,Artistes Fees,ShowStoppers,16/10/2023,820.00
