Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45330,2494.76
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,2494.76
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Acta-Assist,45371,2485.59
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Hoist & Shower Chair Company Ltd,45348,2480
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,ISW Care (ISW Care Limited),45371,2476.77
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parent-Infant Relationship & Perinatal Mental Health,Institute of Health Visiting,45350,2475
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45342,2469.11
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,East Crompton St James s Childcare Village Ltd,45377,2465.1
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Hansen Psychological Consultancy & Associates Ltd,45336,2462.3
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Maintenance - Contract,T&C Motor Panels Ltd,45328,2459.76
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Comms - Postages,Financial Data Management,45314,2458.71
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Payments To Carers/Volunteers/Providers,Prospero Recruitment Ltd,45376,2457.6
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Aldridge Education t/a Utc Media City,45362,2454.66
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Castings Services Ltd,45316,2454.2
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Chances Mentoring Limited,45370,2450
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Womble Bond Dickinson (UK) LLP,45362,2447.7
Place,Environmental Services,Environmental Services,Waste Management Service,Agency Staff,JSL Drive Limited t/a Driver Hire Ltd (Manchester North/Oldham),45294,2439.87
Place,Environmental Services,Environmental Services,Waste Management Service,Agency Staff,JSL Drive Limited t/a Driver Hire Ltd (Manchester North/Oldham),45337,2439.87
Place,Environmental Services,Environmental Services,Waste Management Service,Agency Staff,JSL Drive Limited t/a Driver Hire Ltd (Manchester North/Oldham),45352,2439.87
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Transport For Greater Manchester,45377,2438.95
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Payments To Carers/Volunteers/Providers,Staying Put,45306,2438.64
People,Leisure Services,Leisure Services,Leisure Services,Services - Professional Fees,Oldham Athletic Community Trust,45334,2433.06
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45303,2431.25
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,My Ability,45376,2431
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,CBRE Ltd,45335,2425
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,New Bridge Horizons,45376,2412
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Safecote Limited,45293,2412
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,Softcat Limited,45307,2410.84
Place,Economy,Economy,Estates,Services - Professional Fees,Rushton Electronic Solutions Ltd,45310,2405.75
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45343,2404.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Proactive Care (Manchester) Ltd t/a Proactive Care,45336,2400
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Samantha Buckley,45358,2400
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Trafficare Ltd,45345,2398.95
People,Children´s Services,Children´s Social Care,Children´s Services Intergration,Services - Professional Fees,Candlin MB Associates Limited,45316,2397
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Direct HealthCare Group Ltd,45301,2396.48
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45317,2392.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45317,2392.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45317,2392.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45362,2391.7
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45365,2379
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Outlook Training Ltd,45303,2376
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45295,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45295,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45295,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45348,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45348,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45351,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45358,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45358,2375
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Agency Staff,Permanent Futures Ltd,45369,2375
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Interpreter/Translation Services,Language Empire Ltd,45303,2374.38
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,First Choice Homes Ltd (FCHO),45322,2363.47
Place,Environmental Services,Capital - Environment,Capital - Env - Parks,Construction - Main Contractor,Landscape Engineering Ltd,45358,2363.45
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45308,2362.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45320,2362.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45338,2362.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45362,2362.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45371,2362.5
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45378,2362.5
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,MC & MA Stewart (Haulage) Ltd,45323,2360
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,County Travels,45293,2360
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Channings Childcare Ltd t/a Prospect House Nursery,45349,2352.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,St Annes Pre School,45349,2352.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Holts Playgroup / Little Clovers Day Nursery,45349,2352.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Vicki Bartram,45349,2352.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Shooting Stars Nursery TA The Daycare Ltd,45349,2352.9
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Pavement Testing Services Ltd,45293,2340
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45335,2340
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Retained DSG,Medlock Valley Primary School,45377,2336.4
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45302,2331.96
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45330,2331.96
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,2331.96
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Crompton House School,45303,2329.24
Place,Economy,Economy,Facilities Management,Operational Materials,Alliance Disposables Ltd,45356,2325.85
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Melanie Trippier,45349,2325.67
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Panoramic Associates Ltd,45313,2325
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Panoramic Associates Ltd,45342,2325
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,S Williamson T/A Smart Minibus,45324,2323.44
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45308,2322.64
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rowan Ashworth Ltd,45306,2320
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rowan Ashworth Ltd,45355,2320
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Saddleworth Plant Hire Ltd (SPH Ltd),45316,2320
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45296,2315.8
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45362,2315.8
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45370,2315
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Wolseley UK Ltd,45343,2314.48
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45365,2314.37
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Bespoke Refrigeration and Air Conditioning Ltd,45331,2312.5
People,Children´s Services,"Education, Skills & Early Years",School Support Services,Services - Professional Fees,National Governors Association,45358,2310
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Advanced Security Systems UK Ltd,45322,2307.7
People,Children´s Services,Children´s Social Care,Children in Care,Payments To Carers/Volunteers/Providers,Advanced Child Care Assessments Ltd,45363,2307.7
Place,Economy,Economy,Estates,Gas Oil,Standard Fuel Oils Ltd,45374,2306.57
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Optima Health and Social Care Ltd,45317,2305.88
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Fees - Other,Bloom Procurement Services Ltd,45372,2305.32
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45316,2301.71
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,G Travel,45362,2300
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Payments To Carers/Volunteers/Providers,Advanced Child Care Assessments Ltd,45373,2294.8
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Manchester Communication Academy,45329,2289
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Moston Lane Primary School,45364,2289
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45322,2288.93
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Payments To Carers/Volunteers/Providers,Giggle And Grow Ltd Glodwick,45363,2288
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Services - Professional Fees,Signum4 Limited t/a G R Labels4Signs,45330,2287.67
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Pendle Community High School & College/Lancashire Council,45362,2284
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45320,2282.28
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45329,2281.5
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,First Choice Homes Ltd (FCHO),45322,2280.1
Place,Economy,Economy,Estates,Hygiene Services,PHS Group Ltd,45362,2276.88
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,CH Medical (P85011),45336,2275
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Transformation and Reform,Admin - Agency Staff,Panoramic Associates Ltd,45316,2275
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,ABC Industrial Doors Ltd,45329,2271
People,Children´s Services,Children´s Social Care,Childrens Safeguarding,Computing - Purchase Of Software,Berrick Computing Ltd,45372,2270
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Pennine Social Care Ltd,45322,2265.5
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,JLH Painters & Decorators,45373,2260
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Structec (NW) Ltd,45322,2258.49
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Other Employee expenses,People Asset Management Limited,45370,2255
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Skills 4 All Ltd,45294,2255
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45348,2254.66
Place,Economy,Economy,Estates,Maintenance Contracts,Workspace Technology Ltd,45366,2253.64
Place,Economy,Economy,Estates,Gas Oil,Standard Fuel Oils Ltd,45301,2253.6
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45300,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45307,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45313,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45320,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45323,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45329,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45335,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45343,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45348,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45355,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45362,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45362,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45371,2253.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Young People First Limited,45371,2253.3
Place,Environmental Services,Environmental Services,Waste Management Service,Agency Staff,JSL Drive Limited t/a Driver Hire Ltd (Manchester North/Oldham),45377,2252.19
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Subscriptions,Contemporary Art Society,45343,2250
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,First Choice Homes Ltd (FCHO),45345,2250
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45336,2250
Place,Economy,Economy,Creating a Better Place,Agency Staff,Vivid Resourcing Ltd,45334,2250
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Operational Materials,WFEL Fairey Band,45356,2250
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Saddleworth Cookery School,45344,2250
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Training Expenses,MHR International UK Ltd,45363,2250
Place,Economy,Economy,Planning,Services - Professional Fees,CP Viability Ltd,45372,2250
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Grants,Raise Tuition CIC,45344,2250
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45313,2248.79
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Ambercare Northwest Ltd,45303,2247
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,Taranto Systems Ltd,45350,2246.05
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Ambrose Nursery Ltd,45349,2245.95
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,S Lord ta Kidz Matter Ltd,45349,2245.95
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Play Grow and Learn Ltd t/a Buttercup Corner Day Nursery,45352,2244
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Services - Professional Fees,Pennine Social Care Ltd,45358,2235
Place,Economy,Economy,Planning,Legal Expenses,Oldham MBC Legal Imprest Account,45363,2234.4
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Comms - Postages,Financial Data Management,45300,2234.26
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,2230.58
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Cornerhouse Day Nursery Ltd,45296,2230
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Weightmans LLP,45327,2227.5
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,Taranto Systems Ltd,45295,2227.44
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Broxap Ltd,45307,2225
Place,Economy,Economy,Town Centre and Markets,Water Services,"Water Plus, Water PLC + Severn Trent",45295,2220.3
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Apollo Home Healthcare Limited,45376,2218
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Maintenance - Contract,Dennis Eagle Ltd,45336,2216.31
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Compass Fostering North Limited,45320,2214.93
Place,Economy,Economy,Estates,Gas,Standard Fuel Oils Ltd,45324,2214.3
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Services - Professional Fees,Vivup,45371,2211.5
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Jack In A Box Playgroup,45349,2211
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Easibathe Ltd,45343,2209.38
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45355,2209.33
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Assistance To Families Grants,GMX Cars Ltd,45334,2206.46
Place,Environmental Services,Environmental Services,Public Protection,Services - Payments To Contractors,Cirrus Research Plc,45328,2206
Place,Economy,Economy,Planning,Office Expenses,M-four,45329,2205
Corporate Services,Corporate Services,Legal Services,Legal,Services - Professional Fees,The Chartered Institute Of Legal Executives (Cilex),45364,2205
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Advanced Child Care Assessments Ltd,45334,2200
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Mace Consult Limited,45362,2200
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Mace Consult Limited,45362,2200
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Mace Consult Limited,45362,2200
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Greenbank Medical Practice,45336,2200
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Saddleworth Environmental Education,45376,2200
People,Children´s Services,Children´s Social Care,Children in Care,Payments To Carers/Volunteers/Providers,ABL Health Ltd,45365,2200
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,AFJ Limited,45315,2200
Corporate Services,Corporate Services,Communications and Research,Communications and Research,Services - Professional Fees,Creative Communicators Ltd,45342,2200
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,UPS Building and Maintenance Limited,45356,2199.8
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45370,2199.25
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45350,2198.21
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Cripps Builders,45335,2195
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Heritage Project Management,45357,2193.75
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Compass Forest School,45343,2192.5
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Keywest Partnership Ltd,45309,2189.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45306,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45306,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45316,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45316,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45337,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45349,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45349,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45358,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45362,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45363,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45367,2187.99
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45376,2187.99
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45369,2185.61
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Keywest Partnership Ltd,45334,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45306,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45313,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45322,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45328,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45336,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45348,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45351,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45358,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45363,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45369,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45372,2183
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,The Oyster Partnership,45376,2183
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Oldham Event Centre Ltd,45376,2181.25
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,Taranto Systems Ltd,45324,2180.99
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,F R Sharrock Ltd,45301,2180.48
Place,Youth & Communities,Community Services,Stronger Communities,Asylum Seekers,First Choice Homes Ltd (FCHO),45366,2179.28
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Payments To Carers/Volunteers/Providers,Staying Put,45358,2177.35
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Payments To Contractors,Civica,45371,2177
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Retained DSG,Cranmer Education Trust TA Mayfield Primary School,45303,2176.2
People,Community Health and Adult Social Care,Mental Health,Mental Health,Payments To Carers/Volunteers/Providers,Child Action Northwest,45315,2175.56
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Bloom Procurement Services Ltd,45355,2175
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45296,2165.63
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45322,2165.63
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Bloom Procurement Services Ltd,45362,2165.63
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,TXM Healthcare Limited,45320,2162.5
People,Children´s Services,Preventative Services,Troubled Families,Services - Professional Fees,Cornerstone Design & Marketing Limited,45348,2160
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,Causeway Technologies Limited,45307,2160
Place,Environmental Services,Environmental Services,Fleet Management,Tyres,ProFit Tyre Group Ltd,45377,2157.5
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45299,2156.8
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45307,2156.8
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45316,2156.8
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45343,2156
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45363,2156
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Hoist & Shower Chair Company Ltd,45338,2150
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Retained DSG,Oasis Academy Clarksfield,45376,2148.5
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Cripps Builders,45348,2146
Place,Economy,Economy,Town Centre and Markets,Refuse Collection,Wheeldon Brothers Waste Ltd,45350,2144.56
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45303,2144.52
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45303,2144.52
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45320,2144.52
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45320,2144.52
