SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period April 2023,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Accomplish Group Lifestyles Ltd,"2,011.20",26/04/2023,AG25,R4043,Adult Social Care,Social Support : Support For Social Isolation / Other - Supported Living
Accomplish Group Lifestyles Ltd,"2,181.16",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,181.16",26/04/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"2,181.16",26/04/2023,AG25,R4043,Adult Social Care,Social Support : Support For Social Isolation / Other - Supported Living
Accomplish Group Lifestyles Ltd,"2,209.20",26/04/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"2,577.40",26/04/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"2,577.40",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,577.40",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,651.43",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,019.80",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,019.80",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,019.80",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,172.12",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
