SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period July 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Lodge Tyre Company Ltd,526,19/07/2024,TB02,H0101,Operational In-House Services,Stock / Stock Adjustment Account - Stock - Hawthorne Road Depot - Vehicle Maintenance
Lodge Tyre Company Ltd,526,19/07/2024,TB02,H0101,Operational In-House Services,Stock / Stock Adjustment Account - Stock - Hawthorne Road Depot - Vehicle Maintenance
Supplier Name Redacted,526.5,02/07/2024,YL58,R2440,Education Excellence,Music Service - Fees - Music
Delta Care Ltd,526.95,16/07/2024,AN10,R4051,Adult Social Care,Mental Health Support - Older People 65+ - Domiciliary Care
ICare GB Ltd,526.95,15/07/2024,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
The Care Worker Agency,526.95,17/07/2024,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Icare solutions Manchester,526.95,23/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Ornate Healthcare,526.95,17/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Local Solutions,526.95,15/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Care Concern Nw Ltd,526.95,12/07/2024,AP05,R4059,Adult Social Care,Physical Support - Adults 18-64 - Re-Enablement
The Play Inspection Company Ltd,527.64,10/07/2024,SG23,R1081,Operational In-House Services,Green Sefton Service - Facilities & Resources - Play Areas-Maintenance
OX IT Solutions Limited,528,01/07/2024,YS92,R2655,Children's Social Care,Childrens & Families Administration - Computer Costs
Bloomcare,528.2,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Bloomcare,528.2,18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
CRAIGNAIR CARE LTD,528.2,18/07/2024,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes
Childwall Table & Chair Hire Ltd,528.5,15/07/2024,BT22,R2498,Economic Growth and Housing,Southport Airshow - Major Events
Warrencare Ltd,528.9,12/07/2024,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
The Helping Hand Company (Ledbury) Ltd,531.2,16/07/2024,AE32,R2052,Adult Social Care,"NHS  Equipment, Aids & Adaptations - Aids, Appliances And Adaptations"
SLC Property,531.25,30/06/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
Supplier Name Redacted,532.67,28/06/2024,SG61,R3031,Operational In-House Services,Green Sefton Service - Land Management - Vehicles - Repairs And Maintenance
Choices Activity And,532.72,18/07/2024,AM10,R4053,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AM10,R4053,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
Choices Activity And,532.72,18/07/2024,AP10,R4053,Adult Social Care,Physical Support - Older People 65+ - Day Care
