Detail Spend Analysis by Account ,,,
,,,
,,,
17/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,-11
17/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,-11
23/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205
23/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205
23/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205
24/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,455
27/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205
02/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205
03/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,22
03/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,35
08/03/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,33
08/03/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,57
09/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,-22
10/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,-24
04/01/2023,DISCOUNT STORES,ARGOS LTD,70
05/01/2023,ELECTRONIC SALES,CURRYS ONLINE,25.98
06/01/2023,FLORISTS,Sweeney's Florist,42
09/01/2023,LAWN AND GARDEN SUPPLY STORES,JA JONES,16.8
11/01/2023,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,MASTER LOCK AND SAFE M,69.5
12/01/2023,VARIETY STORES,POUNDSTRETCHER 725,6
16/01/2023,VARIETY STORES,POUNDSTRETCHER 725,5.98
19/01/2023,HARDWARE STORES,HOME BARGAINS FORMBY,12.93
19/01/2023,DISCOUNT STORES,POUNDLAND LTD,12
20/01/2023,DISCOUNT STORES,POUNDLAND LTD,15
31/01/2023,"BUILDING MATERIALS, LUMBER STORES",TOOLSTATION LTD,67.3
02/02/2023,FUNERAL SERVICE AND CREMATORIES,ANDREW ROUGHLEY INDEPE,200
02/02/2023,FUNERAL SERVICE AND CREMATORIES,ANDREW ROUGHLEY INDEPE,65
08/02/2023,"BUILDING MATERIALS, LUMBER STORES",TOOLSTATION LTD,16.2
08/02/2023,"BUILDING MATERIALS, LUMBER STORES",MKM BUILDING (SOUTHPOR,46.74
09/02/2023,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,THE RANGE,2.59
10/02/2023,DISCOUNT STORES,WWW.THEWORKS.CO.UK,4.49
28/02/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,25
16/03/2023,VARIETY STORES,POUNDSTRETCHER 725,4
29/03/2023,LAWN AND GARDEN SUPPLY STORES,WWW.JAJONES.CO.UK,123
31/03/2023,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,MASTER LOCK AND SAFE M,102
17/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,76
17/03/2023,"BUILDING MATERIALS, LUMBER STORES",SERVICE SUPPLY NETWORK,324.88
23/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,193.95
03/01/2023,COMPUTER NETWORK/INFORMATION SERVICES,123 REG LTD 003354913,34.78
04/01/2023,ADVERTISING SERVICES,FACEBK GGFHEKKDX2,8.64
06/01/2023,ADVERTISING SERVICES,FACEBK MQBJ5L7DY2,49.99
07/01/2023,ADVERTISING SERVICES,LinkedIn 8620040854,12.41
10/01/2023,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",SHUTTERSTOCK IRELAND L,59
11/01/2023,COMPUTER NETWORK/INFORMATION SERVICES,123 REG LTD 003605509,10.74
13/01/2023,ADVERTISING SERVICES,LinkedIn 8638438574,83.59
13/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.ICO.ORG.UK,"2,900.00"
23/01/2023,COMPUTER NETWORK/INFORMATION SERVICES,FORFRONT LTD,367.77
25/01/2023,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",Canva 03676-13430326,129.9
28/01/2023,PHOTOGRAPHIC STUDIOS,CANVA I03679-13668987,22.97
31/01/2023,ADVERTISING SERVICES,FACEBK ENE2QLBDX2,161.75
31/01/2023,ADVERTISING SERVICES,FACEBK T5SR7MXNQ2,24.21
02/02/2023,ADVERTISING SERVICES,LinkedIn 8706335074,14.77
06/02/2023,ADVERTISING SERVICES,FACEBK M3QLWK7CY2,119.93
07/02/2023,ADVERTISING SERVICES,FACEBK 5FNA7MK5J2,12
08/02/2023,ADVERTISING SERVICES,LinkedIn 8725730504,23.82
10/02/2023,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",SHUTTERSTOCK IRELAND L,59
11/02/2023,COMPUTER NETWORK/INFORMATION SERVICES,123 REG LTD 004567270,10.74
11/02/2023,ADVERTISING SERVICES,FACEBK DXRUCMX5J2,12
14/02/2023,ADVERTISING SERVICES,LINKEDIN-874 5530514,46.85
15/02/2023,ADVERTISING SERVICES,FACEBK K4M6XMB5J2,7.08
20/02/2023,COMPUTER NETWORK/INFORMATION SERVICES,123 REG LTD 004867780,34.78
20/02/2023,ADVERTISING SERVICES,LinkedIn 8765502314,22.56
22/02/2023,COMPUTER NETWORK/INFORMATION SERVICES,FORFRONT LTD,367.77
25/02/2023,ADVERTISING SERVICES,FACEBK SB7AXNT5J2,17
28/02/2023,ADVERTISING SERVICES,FACEBK 6VA93MBNQ2,11.76
28/02/2023,ADVERTISING SERVICES,FACEBK 5DEHTMTDX2,50
01/03/2023,ADVERTISING SERVICES,LINKEDIN 802350474,19.56
01/03/2023,ADVERTISING SERVICES,FACEBK 9FYPVMX5J2,25
06/03/2023,ADVERTISING SERVICES,FACEBK LX545M3DY2,50
06/03/2023,PHOTOGRAPHIC STUDIOS,CANVA I03710-25580630,22.97
07/03/2023,ADVERTISING SERVICES,LINKEDIN ADS 825320564,76.39
10/03/2023,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",SHUTTERSTOCK IRELAND L,59
11/03/2023,COMPUTER NETWORK/INFORMATION SERVICES,123 REG LTD 005547083,10.74
11/03/2023,ADVERTISING SERVICES,FACEBK 4JEZJPF5J2,40
15/03/2023,ADVERTISING SERVICES,FACEBK DD2URNB5J2,35.88
15/03/2023,COMPUTER NETWORK/INFORMATION SERVICES,FORFRONT LTD,366.95
15/03/2023,ADVERTISING SERVICES,LINKEDIN ADS 853296814,26.44
19/03/2023,ADVERTISING SERVICES,FACEBK 5BU5ENX5J2,60
21/03/2023,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,SITEGROUND HOSTING,17.99
21/03/2023,ADVERTISING SERVICES,LinkedIn Ads 887216103,71.99
27/03/2023,ADVERTISING SERVICES,LinkedIn Ads 811270623,73.24
28/03/2023,PHOTOGRAPHIC STUDIOS,CANVA I03738-22720627,22.97
30/03/2023,ADVERTISING SERVICES,LinkedIn Ads 812996771,110.84
31/03/2023,ADVERTISING SERVICES,FACEBK PX855QF5J2,90
21/02/2023,DIGITAL GOODS SOFTWARE APPLICATIONS,Wix.com 1041120317,122.4
05/03/2023,DIGITAL GOODS SOFTWARE APPLICATIONS,Wix.com 1043371885,475.2
19/01/2023,DISCOUNT STORES,ARGOS RICE LANE,49.99
19/01/2023,DISCOUNT STORES,ARGOS LIVERPOOL,239.95
19/01/2023,DISCOUNT STORES,ARGOS LIVERPOOL,10
23/01/2023,MISCELLANEOUS GENERAL MERCHANDISE,SP RANDALLS CANDLES,152.1
23/01/2023,MISCELLANEOUS GENERAL MERCHANDISE,THEREFSTOP.CO.UK,116.54
23/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,SUPPLIES FOR CANDLES,10.78
27/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WIRRAL MBC,35
30/01/2023,DISCOUNT STORES,ARGOS RICE LANE,49.99
08/02/2023,DISCOUNT STORES,ARGOS RICE LANE,49.99
09/02/2023,MISCELLANEOUS GENERAL MERCHANDISE,SP RANDALLS CANDLES,59.86
09/02/2023,"FIREPLACE, FIREPLACE SCREENS & ACCESSORIES STORES",VOLSOM LTD,5.42
09/02/2023,"FIREPLACE, FIREPLACE SCREENS & ACCESSORIES STORES",VOLSOM LTD,84.05
09/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,SUPPLIES FOR CANDLES,13.43
09/02/2023,MISCELLANEOUS GENERAL MERCHANDISE,SCENTS SOAPS & CANDLES,52.15
