,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","194,654.58","194,654.58"
24/01/2024,"GROCERY STORES, SUPERMARKETS",ASDA SUPERSTORE,288.00,,
07/02/2024,"BUYING/SHOPPING CLUBS, SERVICES",Costco Wholesale #104,134.15,,
07/02/2024,"GROCERY STORES, SUPERMARKETS",ICELAND,50.00,,
08/02/2024,MOTION PICTURE THEATERS,PLAZA COMMUNITY CINEMA,360.00,,
09/02/2024,"GAME, TOY, AND HOBBY SHOPS",SMYTHS TOYS BROMBOROUG,19.97,,
22/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-6793064-12,21.49,,
28/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-5422605-22,22.36,,
29/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-0521385-75,159.96,,
29/02/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,SURFTURF.CO.UK,794.00,,
01/03/2024,ELECTRONIC SALES,CURRYS ONLINE,588.98,,
01/03/2024,ELECTRONIC SALES,CURRYS ONLINE,199.98,,
01/03/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,22.70,,
05/03/2024,DISCOUNT STORES,ARGOS,29.99,,
08/03/2024,MOTION PICTURE THEATERS,PLAZA COMMUNITY CINEMA,450.00,,
11/03/2024,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",IKEA LTD 140 WARRINGTO,143.75,,
15/03/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-7168465-54,188.52,,
20/03/2024,"BUILDING MATERIALS, LUMBER STORES",SCREWFIX DIR LTD,149.99,,
26/03/2024,MOTION PICTURE THEATERS,PLAZA COMMUNITY CINEMA,450.00,,
28/03/2024,"BUYING/SHOPPING CLUBS, SERVICES",Costco Wholesale #104,49.95,,
28/03/2024,MISCELLANEOUS GENERAL MERCHANDISE,T J MORRIS LTD,49.99,,
29/03/2024,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,36.25,,
19/01/2024,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk,-59.99,,
04/02/2024,TRAVEL AGENCIES AND TOUR OPERATORS,EXPEDIA 72752637368225,119.70,,
27/01/2024,PREMIER INN,PREMIER INN,168.98,,
03/01/2024,FLORISTS,Sweeney's Florist,37.00,,
08/01/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,75.00,,
15/01/2024,HOUSEHOLD APPLIANCE STORES,MACHINE MART LTD,16.18,,
18/01/2024,"BUILDING MATERIALS, LUMBER STORES",TRAVIS PERKINS TRADING,75.60,,
23/01/2024,RECORD SHOPS,Prime Video ZI13G2RE5,4.49,,
31/01/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-4871351-42,83.99,,
05/02/2024,LAWN AND GARDEN SUPPLY STORES,JA JONES,81.00,,
05/02/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,80.00,,
21/02/2024,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.RYMAN.CO.UK,54.94,,
22/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-0119626-42,17.57,,
29/02/2024,FUNERAL SERVICE AND CREMATORIES,ANDREW ROUGHLEY INDEPE,120.00,,
29/02/2024,LAWN AND GARDEN SUPPLY STORES,JA JONES,31.20,,
17/03/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-0586329-61,45.49,,
20/03/2024,RECORD SHOPS,Prime Video 2L0JN49N5,1.99,,
22/03/2024,POSTAL SERVICES-GOVERNMENT ONLY,ROYAL MAIL GROUP LTD,4.80,,
13/02/2024,"FUEL DISPENSER, AUTOMATED",ASDA PETROL/UPT 4643,25.15,,
