SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period August 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Support With Memory & Cognition - Older People 65+,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Social Support : Support For Social Isolation / Other,R4041,Adult Social Care,Social Support : Support For Social Isolation / Other - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Support With Memory & Cognition - Older People 65+,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Physical Support - Adults 18-64,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Mental Health Support - Older People 65+,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,800.00",15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,970.20",15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",15/08/2024,Mental Health Support - Older People 65+,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",15/08/2024,Physical Support - Adults 18-64,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Mental Health Support - Older People 65+,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Support With Memory & Cognition - Older People 65+,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Support With Memory & Cognition - Older People 65+,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Mental Health Support - Older People 65+,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"4,010.30",15/08/2024,Support With Memory & Cognition - Older People 65+,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbey Healthcare Westmoreland Ltd,"3,401.72",15/08/2024,Learning Disability Support -Adults 18-64,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Abbey Wood Park Nursing Home,"1,631.48",15/08/2024,Mental Health Support - Older People 65+,R4047,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Nursing Homes
Abbey Wood Park Nursing Home,"2,977.44",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbey Wood Park Nursing Home,"3,344.44",15/08/2024,Mental Health Support - Older People 65+,R4047,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Nursing Homes
Abbey Wood Park Nursing Home,"6,384.00",15/08/2024,Mental Health Support - Older People 65+,R4049,Adult Social Care,Mental Health Support - Older People 65+ - Nursing- Short Term
Abbeydale Nursing Home,"4,288.04",15/08/2024,Support With Memory & Cognition - Adults 18-64,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho
Abbeydale Nursing Home,"5,544.00",15/08/2024,Support With Memory & Cognition - Adults 18-64,R4049,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Nursing- Short Term
Abbeyfield North Mersey,848.8,15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"1,385.52",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
