SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-�500 for period April 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Accomplish Group Lifestyles Ltd,774.18,25/04/2024,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,794.22,25/04/2024,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,860.2,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,860.2,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,860.2,25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,903.21,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,903.21,25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,903.21,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,903.21,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,075.17",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,154.29",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,154.29",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,154.29",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,290.30",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,720.40",25/04/2024,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,731.45",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,806.42",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,806.42",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,806.42",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,806.42",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
