Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Net Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,Fiveways Special School,Brake Bros Foodservice Ltd,2023-05-22 00:00:00,SC01-000011283|SC-ISC-100005673|S0002536|5638671882,547.03,Catering - Catering
Somerset Council,2023-09-30 00:00:00,Fiveways Special School,Praestantia Technology Ltd,2023-05-22 00:00:00,SC01-000011283|SC-ISC-100005688|S0012756|5638671897,2545,Fees & Hired - Prof/Tech Serv Non-Curric
Somerset Council,2023-09-30 00:00:00,Berkley Primary School,Cleaning Enterprise Ltd,2023-05-22 00:00:00,SC01-000011297|SC-ISC-100005699|S0007597|5638672517,1267.58,Cleaning & Domestic Supplies - Contract Cleaning
Somerset Council,2023-09-30 00:00:00,ASC MH Home Care,Lily Caring Angels Limited,2023-05-22 00:00:00,SC01-000011298|7378|S0010822|5638987896,1400,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Charlton Mackrell Primary Sch,Bristol Water PLC,2023-05-22 00:00:00,SC01-000011300|SC-ISC-100005710|S0003884|5638672663,980.7,Water - Water Charges / Sewer
Somerset Council,2023-09-30 00:00:00,Fairmead Special School,Computeam Limited,2023-05-22 00:00:00,SC01-000011310|SC-ISC-100005739|S0012949|5638674236,1969,School Suspense - Equipment ICT- DFCG
Somerset Council,2023-09-30 00:00:00,Fairmead Special School,Teaching Personnel Ltd,2023-05-22 00:00:00,SC01-000011310|SC-ISC-100005758|S0002959|5638674256,1423.5,Employee Agency
Somerset Council,2023-09-30 00:00:00,Fairmead Special School,Teaching Personnel Ltd,2023-05-22 00:00:00,SC01-000011310|SC-ISC-100005759|S0002959|5638674256,1429.91,Employee Agency
Somerset Council,2023-09-30 00:00:00,Special Independent,Saints Taxis,2023-05-22 00:00:00,SC01-000011324|SC-IST-100000553|S0010581|5638679423,859.5,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Special Independent,Justaxis,2023-05-22 00:00:00,SC01-000011324|SC-IST-100000557|S0002442|5638679428,908.5,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,North Bristol,FAIRVIEW MINIBUSES LTD,2023-05-22 00:00:00,SC01-000011326|SC-ICT-100000481|S0002350|5638662745,780,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,Sedgemoor M'stream CIN,FAIRVIEW MINIBUSES LTD,2023-05-22 00:00:00,SC01-000011326|SC-ICT-100000483|S0002350|5638662745,562.5,Car Allowances - Vehicle Mileage Allowance - Volunteers
Somerset Council,2023-09-30 00:00:00,NHS Somerset,JNC Executive Travel Ltd,2023-05-22 00:00:00,SC01-000011326|SC-ICT-100000493|S0007415|5638679455,735,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,LD Transport Mdp,JNC Executive Travel Ltd,2023-05-22 00:00:00,SC01-000011326|SC-ICT-100000499|S0007415|5638679455,1900,Car Allowances - Vehicle Mileage Allowance - Volunteers
Somerset Council,2023-09-30 00:00:00,School Transport(CLA)-Taunton,Friends Taxis Limited,2023-05-22 00:00:00,SC01-000011326|SC-ICT-100000501|S0013915|5638679457,980.12,Car Allowances - Vehicle Mileage Allowance - Volunteers
Somerset Council,2023-09-30 00:00:00,School Transport(CLA)-Sedgemoo,GL Taxis Ltd,2023-05-22 00:00:00,SC01-000011326|SC-ICT-100000503|S0042404|5638679459,552,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Berrow Primary School,SOMERSET COUNTY COUNCIL,2023-05-22 00:00:00,SC01-000011328|SC-ISC-100005791|S0002850|5639104518,576.08,Equip Furn Mat - Equipment - Teaching (schools only)
