Month,Supplier,Account Code,Transaction Ref,£
May,HARMLESS CIC,External Training Courses,AAAplkAAFAADFTvAAP,796.5
May,HARMLESS CIC,External Training Courses,AAAplkAAFAADFTvAAR,796.5
May,HARMLESS CIC,External Training Courses,AAAplkAAMAACdHPAAL,855
May,HMCTS - MAGISTRATE,Court Fees,AAAplkAAFAADFL5AAC,7459
May,IMARA,Partnership Grants,AAAplkAAMAACdIjAAa,25698.4
May,IMARA,Partnership Grants,AAAplkAAFAADFTAAAN,3416.66
May,IMARA,Partnership Grants,AAAplkAAFAADFTAAAP,902.46
May,IMARA,Partnership Grants,AAAplkAAFAADFTAAAR,1277.31
May,INSIGHT DIRECT (UK) LTD - THE ATRIUM,Hardware - Purchase,AAAplkAAFAADFQaAAS,5877.6
May,Integrated Building Management Systems Ltd,Reactive Building Works,AAAplkAAFAADFRiAAO,550
May,Jawaid Khaliq Boxing & Fitness Academy,Partnership Grants,AAAplkAAFAADFMVAAD,1200
May,JGP Resourcing Ltd,Employment Advertising,AAAplkAAMAACdPsAAT,1200
May,Juno Women's Aid,Commissioned Services,AAAplkAAFAADKyGAAA,23019
May,Juno Women's Aid,Commissioned Services,AAAplkAAFAADKyGAAC,13214.55
May,KAPLAN FINANCIAL LTD,Prof. Training & Exam Fees,AAAplkAAFAADFHgAAJ,1363.17
May,KAPLAN FINANCIAL LTD,Prof. Training & Exam Fees,AAAplkAAFAADFHgAAG,850.38
May,KEELA INTERNATIONAL LTD,Uniform,AAAplkAAFAADK17AAJ,793.22
May,Knowledge Exchange Group Ltd,External Training Courses,AAAplkAAMAACdIGAAT,798
May,KRTS International Ltd,Commissioned Services,AAAplkAAFAADK2SAAa,660
May,Laurelle Brown Training and Consultancy,Partnership Contributions,AAAplkAAFAADFHkAAS,600
May,Lindum Group Ltd,Building Works - Main Contract,AAAplkAAFAADFH4AAZ,6400
May,LINK TREASURY SERVICES LTD - LONDON,Treasury Costs,AAAplkAAMAACdPuAAa,5455
May,LION LABORATORIES LTD,Operational Consum Equip/Mtn,AAAplkAAFAADK2PAAY,870
May,Livingstone House,Commissioned Services,AAAplkAAMAACdPuAAd,3500
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADKycAAc,3437.2
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADKycAAf,3703.88
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADFIYAAD,4431.74
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADFNdAAA,11782.46
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADFNdAAD,7774.04
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADFNdAAG,1620.99
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAFAADKtnAAX,4366.1
May,M & E ACCIDENT REPAIR CENTRE LTD,Accident Repair,AAAplkAAMAACdQeAAA,3659.43
May,MACILDOWIE ASSOCIATES LTD,Agency/Temp Staff,AAAplkAAMAACdMaAAG,1904.76
May,MACILDOWIE ASSOCIATES LTD,Agency/Temp Staff,AAAplkAAMAACdMaAAJ,2142.86
May,MACOI LTD,Furniture,AAAplkAAFAADKvEAAC,856.68
May,MACOI LTD,Furniture,AAAplkAAMAACdIzAAf,22334.4
May,MARSHALL MOTOR GROUP LTD,Vehicle Maintenance,AAAplkAAMAACdQOAAH,916.9
May,MAYOR'S OFFICE FOR POLICING & CRIME - PO,External Training Courses,AAAplkAAFAADKyJAAK,1500
May,MAYOR'S OFFICE FOR POLICING & CRIME - SSCL140,Subscriptions,AAAplkAAFAADKtSAAA,18621.25
May,MAYOR'S OFFICE FOR POLICING & CRIME - SSCL140,Home Office Charges,AAAplkAAFAADKsVAAW,10281.06
May,MAZARS LLP,Internal Audit Fee,AAAplkAAFAADKuaAAF,13950
May,MC PRODUCTS UK LTD,Uniform,AAAplkAAFAADKtnAAA,3877.5
May,MC PRODUCTS UK LTD,Uniform,AAAplkAAFAADFRiAAL,1915
May,MC PRODUCTS UK LTD,Uniform,AAAplkAAMAACdH2AAG,863
May,Mertrux Ltd,Vehicle Maintenance,AAAplkAAFAADFHpAAQ,1828.95
May,Mertrux Ltd,Vehicle Maintenance,AAAplkAAMAACdIYAAF,1455.11
May,MICHAEL LUPTON ASSOCIATES LTD,Uniform,AAAplkAAFAADKyGAAK,503.12
May,MICHAEL LUPTON ASSOCIATES LTD,Uniform,AAAplkAAFAADKyGAAL,1257.8
May,MICHAEL LUPTON ASSOCIATES LTD,Uniform,AAAplkAAFAADKyGAAN,2012.48
May,MICHAEL LUPTON ASSOCIATES LTD,Uniform,AAAplkAAFAADKyGAAP,3018.72
May,MICHAEL LUPTON ASSOCIATES LTD,Uniform,AAAplkAAFAADK17AAS,2515.6
May,MISTERTON PARISH COUNCIL,Service Charge,AAAplkAAFAADKt3AAd,1558.87
May,Mitie Care and Custody Limited,Healthcare in Custody,AAAplkAAFAADFV9AAU,87918.92
May,Mitie Care and Custody Limited,Healthcare in Custody,AAAplkAAFAADKykAAA,87918.92
May,MIVEN LTD,Rent,AAAplkAAFAADFRiAAV,108428.42
May,MIVEN LTD,Water Services,AAAplkAAFAADFRiAAU,677.47
May,MLL TELECOM,Network Services,AAAplkAAMAACdMOAAe,1522.4
May,MORRIS VERMAPORT LTD,Reactive Building Works,AAAplkAAFAADFIoAAU,626
May,MORRIS VERMAPORT LTD,Reactive Building Works,AAAplkAAFAADFI4AAU,754
May,Mountain Healthcare Ltd,Forensic Consumables,AAAplkAAMAACdJjAAa,699.6
May,Mr Robert Cohen,Legal Costs,AAAplkAAFAADFMFAAA,850
May,Newstead Miners Welfare & Community Centre,Hire of Rooms/Premises,AAAplkAAFAADFNNAAd,2580
May,Nice Systems Uk Ltd,Software - Purchase,AAAplkAAFAADFTwAAA,23250.72
May,Nice Systems Uk Ltd,Software - Purchase,AAAplkAAFAADFTwAAC,23516.09
May,NITON EQUIPMENT LTD,Uniform,AAAplkAAFAADK10AAE,600
May,NITON EQUIPMENT LTD,Uniform,AAAplkAAFAADK10AAG,600
May,NITON EQUIPMENT LTD,Uniform,AAAplkAAFAADK10AAH,600
May,NITON EQUIPMENT LTD,Uniform,AAAplkAAFAADK10AAI,600
May,North Yorkshire Council,Professional Fees,AAAplkAAFAADK2VAAA,3500
May,North Yorkshire Council,Professional Fees,AAAplkAAFAADK2VAAD,6825
May,NOTTINGHAM CITY COUNCIL - CITY PLANS,Engagement,AAAplkAAFAADKynAAB,500
May,NOTTINGHAM CITY COUNCIL - LOXLEY HOUSE 1,Partnership Contributions,AAAplkAAMAACdRbAAO,18500
May,NOTTINGHAM CITY COUNCIL - RENTS,Rent,AAAplkAAFAADFHcAAA,8392
May,Nottingham Consultants Limited (NCL),Commissioned Services,AAAplkAAMAACdLwAAK,4166.67
May,Nottingham Forest Community Trust,Professional Fees,AAAplkAAFAADKtqAAa,25000
