Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
20/11/2023,II,4148844,1000,HC112700,Jigsaw Consultancy,202408,Strategic Finance,Third Party Payments,No
20/11/2023,II,4148845,1000,HC114016,Redacted,202408,Strategic Finance,Third Party Payments,Yes
20/11/2023,II,4148846,1000,HC102747,Redacted,202408,Strategic Finance,Third Party Payments,Yes
20/11/2023,II,4148848,417.52,HC132342,The Farmhouse Kitchen,202408,Schools,Supplies & Services,No
20/11/2023,II,4148849,649,HC130544,Morgana Systems Ltd,202408,Governance and Legal Services,Supplies & Services,No
20/11/2023,II,4148850,706.34,HC125271,Gorgemead Ltd t/a Cohens Chemist,202408,Public Health,Supplies & Services,No
20/11/2023,II,4148851,443.71,HC114281,ABC Drug Stores LTD,202408,Public Health,Supplies & Services,No
20/11/2023,II,4148855,720,HC120123,Horizon Training,202408,Schools,Supplies & Services,No
20/11/2023,II,4148856,728.83,HC114088,Asda Stores Ltd,202408,Public Health,Supplies & Services,No
20/11/2023,II,4148859,1482.61,HC101861,Clearview Cleaning Services,202408,Schools,Premises-Related Expenditure,No
24/11/2023,II,4148871,875,HC120625,Edge Training and Consultancy Ltd,202408,Transformation and Improvement,Supplies & Services,No
20/11/2023,II,4148887,2276.82,HC111508,Wigmore High School (Academy),202408,Schools,Supplies & Services,No
20/11/2023,II,4148889,502.65,HC132121,Carmichael Mediation Services Limited,202408,Commissioned Services,Supplies & Services,No
20/11/2023,II,4148890,7689,HC128185,Turning Point Services Ltd,202408,Public Health,Transfer Payments,No
20/11/2023,II,4148891,348514,HC128185,Turning Point Services Ltd,202408,Public Health,Transfer Payments,No
21/11/2023,II,4148896,2461.21,HC103878,Hereford Military Club,202408,"Highways, Environment and Waste",Support Services,No
22/11/2023,II,4148897,440,HC104994,Kentchurch Parish Council,202408,"Highways, Environment and Waste",Third Party Payments,No
20/11/2023,II,4148899,1795,HC201367,Howtech Installations Ltd,202408,Schools,Supplies & Services,No
20/11/2023,II,4148901,540,HC101648,CF Roberts (Electrical Contractors) Plc,202408,Schools,Premises-Related Expenditure,No
20/11/2023,II,4148902,100500,HC103959,Connexus Homes Ltd,202408,Integrated Commissioning,Capital Income,No
20/11/2023,II,4148903,4125,HC117490,Badenoch & Clark T/A Adecco,202408,"Highways, Environment and Waste",Third Party Payments,No
20/11/2023,II,4148904,2030,HC130093,AWC Legal Services Ltd,202408,Governance and Legal Services,Supplies & Services,No
20/11/2023,II,4148906,6460,HC126031,Forest Coaches Ltd,202408,"Highways, Environment and Waste",Transport-Related Expenditure,No
20/11/2023,II,4148913,9086,HC129007,Tile Hill Interim & Executive Ltd,202408,"Highways, Environment and Waste",Employees,No
20/11/2023,II,4148914,9086,HC129007,Tile Hill Interim & Executive Ltd,202408,"Highways, Environment and Waste",Employees,No
20/11/2023,II,4148915,12272,HC129007,Tile Hill Interim & Executive Ltd,202408,"Highways, Environment and Waste",Employees,No
22/11/2023,II,4148916,16107,HC129007,Tile Hill Interim & Executive Ltd,202408,"Highways, Environment and Waste",Employees,No
22/11/2023,II,4148917,8260,HC129007,Tile Hill Interim & Executive Ltd,202408,"Highways, Environment and Waste",Employees,No
20/11/2023,II,4148918,9779.25,HC129007,Tile Hill Interim & Executive Ltd,202408,"Highways, Environment and Waste",Employees,No
22/11/2023,II,4148919,640,HC120441,Little Swallows,202408,Schools,Supplies & Services,No
20/11/2023,II,4148937,600,HC107445,Whatley Recordon Solicitors,202408,Governance and Legal Services,Supplies & Services,No
20/11/2023,II,4148938,2500,HC128099,Redacted,202408,Towns Fund Delivery Board,Capital Expenditure,Yes
20/11/2023,II,4148942,3326,HC126298,WMRSASC,202408,Safeguarding and Family Support,Supplies & Services,No
20/11/2023,II,4148943,37579.01,HC101639,Central Roofing & Building Services Ltd,202408,Children & Young People Capital,Capital Expenditure,No
20/11/2023,II,4148946,939,HC113877,Albion Computers PLC,202408,Schools,Supplies & Services,No
20/11/2023,II,4148955,1095,HC117490,Badenoch & Clark T/A Adecco,202408,Chief Executive's Office,Employees,No
23/11/2023,II,4148956,875,HC120625,Edge Training and Consultancy Ltd,202408,Transformation and Improvement,Supplies & Services,No
20/11/2023,II,4148959,7675.59,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148960,7675.59,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148961,15078.01,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148962,7241.12,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148963,552.72,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148964,1268.63,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148965,7241.12,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148966,7675.59,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148967,7675.59,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148968,1285.55,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148969,7675.59,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
