Council Name,Date,TransNo,Amount £ (Excl VAT),Supplier name,Supplier Category,Expense Area,Expense Type,Expense Code
Royal Borough of Kingston,31/10/2023,70058267,"8,525.00",LHG Thornton Heath LTD,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,31/10/2023,70057942,"1,984.00",LHG Wembley LTD,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,01/11/2023,90284361,"14,638.20",LIAISE LODDON LTD,OPERATIONAL EQUIPMENT/MATERIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284330,"9,661.41",Lifeways Community Care Limited,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,03/11/2023,90278829,"139,539.23",LIME TREE PRIMARY,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281032,"4,960.50",LIME TREE PRIMARY,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281061,"2,139.38",LIME TREE PRIMARY,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,14/11/2023,90281108,"38,193.75",LIME TREE PRIMARY,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,23/11/2023,90283497,"11,167.00",LIME TREE PRIMARY,SCHOOL FUNDS,Schools,Miscellaneous Expenses,A49000
Royal Borough of Kingston,31/10/2023,70058508,"191,560.00",LINK ESTATES LIMITED,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,01/11/2023,90284052,"2,142.86",Anchor Hanover Group,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284464,"6,431.31",LIVING AMBITIONS LTD,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284491,"6,026.70",LIVING AMBITIONS LTD,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,25/07/2023,70057852,"6,285.00",LOCTA LIMITED,FINANCIAL / INSURANCE INSTNS,Corporate & Communities,Consultancy Services - Other,A44065
Royal Borough of Kingston,07/07/2023,70051794,"4,249.51",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Payments to Other Local Authorities,A51005
Royal Borough of Kingston,07/07/2023,70051794,"1,416.50",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,Payments to Other Local Authorities,A51005
