Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,08-Dec-23,51501015273,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015279,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015278,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015582,£843.60,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015580,£843.60,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015581,£843.60,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015460,£843.60,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015226,£843.60,Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015625,£843.60,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015413,£843.60,Blue Lotus Healthcare Ltd,Adult Services,"Assessment, Review and Hospital Discharge",Living support grants
Milton Keynes City Council,08-Dec-23,51501015918,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015914,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014292,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014293,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014297,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014454,£848.80,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014320,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014298,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014408,£848.80,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501012572,£850.12,Access UK Limited t/a Adam,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,08-Dec-23,51501015252,£854.15,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015496,£864.69,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501012513,£882.66,Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,08-Dec-23,51501015754,£885.78,Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015370,£886.08,Blessings Care Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015372,£886.08,Blessings Care Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015281,£887.37,Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,08-Dec-23,51501008167,£900.00,Hoey Ainscough Associates Ltd,Finance & Resources - Services,HR,Councillor Training & Development
Milton Keynes City Council,08-Dec-23,51501002361,£908.60,Dr Cakebread and Partners,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,08-Dec-23,51501015802,£911.56,Lumsden Living Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015803,£911.56,Lumsden Living Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015355,£914.40,Vital Healthcare Services Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015675,£927.96,Macintyre Care,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015793,£927.96,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015703,£927.96,Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015583,£927.96,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015584,£927.96,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015777,£927.96,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015461,£927.96,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015462,£927.96,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015509,£928.60,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015804,£934.92,Lumsden Living Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,08-Dec-23,51501005464,£947.11,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle Repairs and maintenance
Milton Keynes City Council,08-Dec-23,51501014545,£947.52,Thrift Activity Farm Ltd,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014540,£947.52,Thrift Activity Farm Ltd,Adult Services,Learning Disability,Homecare
