Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation,Expense Type
Milton Keynes City Council,05-Jan-24,51501027781,"£2,868.24",Blessings Care Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,05-Jan-24,51501027356,"£2,868.24",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027257,"£2,869.84",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501026740,"£2,870.43",Lettuce Property Management,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,05-Jan-24,51501027301,"£2,870.56",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028255,"£2,891.52",Linkage Community Trust,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,05-Jan-24,51501028215,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,05-Jan-24,51501028289,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028399,"£2,942.12",Greenswan Consultant Limited t/a Pinelodge Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028132,"£2,942.12",HC-One No 1 Limited t/a Highclere Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028260,"£2,942.12",SAH Nursing Homes Ltd Re: Rosalyn House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028292,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028254,"£2,942.12",Methodist Homes,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501027975,"£2,942.12",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028298,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028364,"£2,942.12",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028187,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028190,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028279,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028357,"£2,942.12",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028315,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028194,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028008,"£2,942.12",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028366,"£2,942.12",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028370,"£2,942.12",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028184,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027979,"£2,942.12",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027978,"£2,942.12",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028297,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028185,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027980,"£2,942.12",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028189,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028390,"£2,942.12",GCH (Hertfordshire) Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028129,"£2,942.12",HC-One No 1 Limited t/a Highclere Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028193,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028278,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028250,"£2,942.12",Methodist Homes,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028084,"£2,942.12",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028087,"£2,942.12",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028230,"£2,942.12",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028371,"£2,942.12",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028211,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028212,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028192,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028191,"£2,942.12",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028277,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028300,"£2,942.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028085,"£2,942.12",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Residential Care
