Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
21/02/2023,GI,3169095,452.25,HC115716,Mordiford Church of England Primary School,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169098,774.85,HC130804,Access to Music Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169099,710.25,HC104761,Herefordshire Marches Federation-Lord Scudamore,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169101,"4,933.00",HC124417,Redacted,202311,Dedicated Schools Grant,Support Services,Yes
21/02/2023,GI,3169102,960.96,HC103706,Hartpury College,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169104,"3,616.58",HC130994,Bridge School Malvern 16+ Provision,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169105,"3,616.58",HC130994,Bridge School Malvern 16+ Provision,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169106,"5,615.92",HC114610,New College Worcester,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169107,"5,615.92",HC114610,New College Worcester,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169108,823.5,HC105073,Kingstone & Thruxton Primary School (Academy),202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169109,514,HC104870,Kingstone High School (Academy),202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169112,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169113,"1,323.50",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169114,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169115,848.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169116,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169117,"1,437.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169118,452.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169121,710.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169122,710.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169124,796.75,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169125,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
