Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,06/09/2024,1600741942,24710,0,24710,Digital Advantage,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,601532985,7443.36,1240.56,6202.8,Ed Start Specialist Education Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742466,4032,672,3360,Eden Brown  Ltd T/A Eden Brown Syne,People (Adults),Other Professional Fees
Salford City Council,06/09/2024,601532767,2279.77,379.96,1899.81,Elis Uk Ltd,Place,Laundry
Salford City Council,06/09/2024,601533077,550,0,550,First Homes Partnership,People (Adults),Rents
Salford City Council,06/09/2024,601533020,43554,0,43554,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,06/09/2024,601532984,13333,0,13333,Forhousing Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,601532983,27589,0,27589,Forhousing Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,601533000,544.68,0,544.68,Foster Care Associates Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,601532986,629.95,0,629.95,Foster Care Associates Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,601532997,629.95,0,629.95,Foster Care Associates Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,601532886,1908,318,1590,G & A Taylor Hotels Ltd,People (Adults),Rents
Salford City Council,06/09/2024,601532885,4824,804,4020,G & A Taylor Hotels Ltd,People (Adults),Rents
Salford City Council,06/09/2024,601532768,1046.67,14.97,1031.7,G C Birchall Ltd T/A Birchall Cater,Place,Food and refreshments
Salford City Council,06/09/2024,1600741934,11998.2,1999.7,9998.5,G Jones Builders Ltd,Place,UV Day to Day Repairs
Salford City Council,06/09/2024,1600742074,54349.04,9058.17,45290.87,Galliford Try Construction North Lt,Capital Expenditure,External Fees - Other
Salford City Council,06/09/2024,1600742581,768,128,640,General Utilities North West Ltd,Place,Contractors
Salford City Council,06/09/2024,1600742576,1692,282,1410,General Utilities North West Ltd,Place,Contractors
Salford City Council,06/09/2024,1600742577,1692,282,1410,General Utilities North West Ltd,Place,Contractors
Salford City Council,06/09/2024,1600742579,2310,385,1925,General Utilities North West Ltd,Place,Contractors
Salford City Council,06/09/2024,1600742580,2310,385,1925,General Utilities North West Ltd,Place,Contractors
Salford City Council,06/09/2024,1600742125,98857,0,98857,Gmw Mental Health Nhs Ft,Public Health,Payments to Agencies
Salford City Council,06/09/2024,1600742014,250437,0,250437,Gmw Mental Health Nhs Ft,Public Health,Payments to Agencies
