Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,02/02/2023,1600703744,2377.34,396.22,1981.12,J Fletcher Engineers Ltd,Place Directorate,UV Heating Repairs
Salford City Council,02/02/2023,1600703746,2957.76,492.96,2464.80,J Fletcher Engineers Ltd,Place Directorate,UV Heating Repairs
Salford City Council,02/02/2023,1600703764,5430.00,905.00,4525.00,J Fletcher Engineers Ltd,Capital Expenditure,Works & Building
Salford City Council,02/02/2023,6003645972,963.43,42.43,921.00,K'S Chemist,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645975,1420.43,62.88,1357.55,Lloyds Pharmacy - Macdonald Health,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645973,1311.86,58.66,1253.20,Lloyds Pharmacy Ltd - 90 Liverpool,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645974,1914.46,100.57,1813.89,Lloyds Pharmacy Ltd -178 Liverpool,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645995,935.19,41.79,893.40,Lloyds Pharmacy Ltd In Sainsburys,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645976,1405.98,62.19,1343.79,Lloyds Pharmacy Ltd-Pendleton Gatew,Public Health,Payments to Agencies
Salford City Council,02/02/2023,601482561,96015.61,16002.60,80013.01,Nsl Ltd,Place Directorate,Contractors
Salford City Council,02/02/2023,601482490,1009.60,0.00,1009.60,Ordsall Health Surgery,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645979,1306.86,57.59,1249.27,Pct Healthcare Ltd (Bolt),Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645980,538.80,24.35,514.45,Pct Healthcare Ltd (Boot),Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645982,1356.73,59.84,1296.89,Pct Healthcare Ltd (Hult),Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645991,4603.04,217.53,4385.51,Pct Healthcare Ltd (Mars),Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645985,853.13,37.53,815.60,Pct Healthcare Ltd (Moor),Public Health,Payments to Agencies
