Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021132,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021134,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021135,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021136,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021137,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021138,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021139,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021140,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021141,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021152,29499.9,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021153,29499.9,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021154,29499.9,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021155,29499.9,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021173,19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021174,19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021175,19681.56,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021149,42622.58,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021150,42622.58,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021151,42622.58,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45408,2200021172,32789,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,DFG,Equipment,45387,2200214046,12140.27,Demux Video Services Ltd
Hampshire & Isle of Wight Constabulary,DFG,Sampling and Testing,45387,2200214075,126700,EX1 - Digital Forensic Services Ltd
Hampshire & Isle of Wight Constabulary,Diamond Building,Non System - Water - Metered,45397,3110121894,641.55,Ancala Water Services (Defence) Lt
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45391,3110121746,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45391,3110121747,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45397,3110121834,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45401,3110122045,2140,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45401,3110122068,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45401,3110122072,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT - Nuffield Health,Medical and Counselling Fees,45407,3110122366,542,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT EAP- Health Assured (Employee Sup,Medical and Counselling Fees,45390,2200214125,5673.85,Health Assured Limited
Hampshire & Isle of Wight Constabulary,DIRECT Health Screening,Medical and Counselling Fees,45383,3110121618,1485,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT Health Screening,Medical and Counselling Fees,45391,3110121745,725,One Time Vendor
Hampshire & Isle of Wight Constabulary,DIRECT- Psychological Screening Core,Medical and Counselling Fees,45384,2200213745,3200,NTA Psychological Screening Ltd
Hampshire & Isle of Wight Constabulary,DIRECT Vaccinations,Medical and Counselling Fees,45406,2200215247,1121,Solent NHS Trust    R1C receivables
Hampshire & Isle of Wight Constabulary,District CID North Head Office,Forensic and pathology testing,45398,3110121861,3000,One Time Vendor
Hampshire & Isle of Wight Constabulary,District CID North Head Office,Postage and Delivery,45383,2200214522,574,CROSS COUNTRY COURIERS
Hampshire & Isle of Wight Constabulary,District Police East HO,Equipment,45401,2200214928,955.4,JNE Security Ltd.
Hampshire & Isle of Wight Constabulary,District Police East HO,Forensic and pathology testing,45385,2200213886,516.3,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,District Police North HO,Equipment,45404,2200215055,1474.02,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,District Police North HO,Equipment,45405,2200215162,720,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police West HO,Equipment,45391,2200214245,1690,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police West HO,Equipment,45405,2200215154,690,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police West HO,Equipment,45411,2200215413,790,Redacted - Operational
Hampshire & Isle of Wight Constabulary,District Police West HO,Equipment,45412,2200215453,814.82,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45391,3110121750,714.24,One Time Vendor
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45392,2200214307,1883.35,Nestle Purina UK
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45392,2200214308,1883.35,Nestle Purina UK
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45397,2200214602,1538.36,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45399,2200214772,817.5,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45411,2200215443,671.67,Redacted - Operational
Hampshire & Isle of Wight Constabulary,DOG SUPPORT UNIT,Animal Fees and Expenses,45411,2200215429,2162.5,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Drone Project,Equipment,45408,2200215366,600,iRed Limited
Hampshire & Isle of Wight Constabulary,EASTERN PIC,Non System - Electricity,45401,3110122184,12674.74,NPOWER
Hampshire & Isle of Wight Constabulary,EASTERN PIC,Non System - Gas,45401,3110122117,4941.33,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,EASTERN PIC,Uniform Business Rates,45383,3500004177,47502,Portsmouth City Council
Hampshire & Isle of Wight Constabulary,EASTLEIGH NPO,Rent,45405,2200215152,7937.25,EASTLEIGH BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,EASTLEIGH NPO,Uniform Business Rates,45388,3500004215,2203.36,EASTLEIGH BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,ECU INV TEAM,Registration and Inspection Fees,45385,2200213870,17671.41,Experian Ltd
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Legal Costs,45393,3110121780,750,One Time Vendor
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Legal Costs,45398,2200214727,4539,Hampshire County Council
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Legal Costs,45398,2200214728,5696.5,Hampshire County Council
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Legal Costs,45398,2200214729,5899,Hampshire County Council
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Legal Costs,45398,2200214730,6491.5,Hampshire County Council
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Legal Costs,45398,2200214732,6731.5,Hampshire County Council
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Professional Subscriptions,45393,3110121818,2800,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Professional Subscriptions,45393,3110121819,500,CPOSA Ltd
