,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
04/04/2023,858332,0,942.62,REDACTED PERSONAL DATA,2000022400,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858329,0,1848,REDACTED PERSONAL DATA,2000025600,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858356,0,1056,REDACTED PERSONAL DATA,2000026800,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858343,0,1672,REDACTED PERSONAL DATA,2000027600,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858383,0,528,REDACTED PERSONAL DATA,2000028100,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858351,0,990,REDACTED PERSONAL DATA,2000028400,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858352,0,817.32,REDACTED PERSONAL DATA,2000028500,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858354,0,580.8,REDACTED PERSONAL DATA,2000028600,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,859844,0,3876.07,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
04/04/2023,859881,0,791.14,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
04/04/2023,859936,0,1951.4,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
04/04/2023,859944,0,1233.99,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
04/04/2023,860657,0,2316.84,REDACTED PERSONAL DATA,1000001000,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860475,0,1284.46,REDACTED PERSONAL DATA,1000004600,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860536,0,1376.38,REDACTED PERSONAL DATA,1000005200,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860458,0,1364.32,REDACTED PERSONAL DATA,1000006100,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860315,0,1728.4,REDACTED PERSONAL DATA,1000006700,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860147,0,783.68,REDACTED PERSONAL DATA,1000007100,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860561,0,2740.74,REDACTED PERSONAL DATA,1000007200,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860574,0,864.2,REDACTED PERSONAL DATA,1000007500,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860204,0,1728.4,REDACTED PERSONAL DATA,1000007900,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860577,0,864,REDACTED PERSONAL DATA,1000009400,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860690,0,2129.46,REDACTED PERSONAL DATA,1000016800,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860226,0,935.02,REDACTED PERSONAL DATA,1000019100,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860050,0,772.28,REDACTED PERSONAL DATA,1000020200,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860548,0,3762.7,REDACTED PERSONAL DATA,1000022000,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860192,0,932.28,REDACTED PERSONAL DATA,1000022300,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860549,0,682.16,REDACTED PERSONAL DATA,1000022600,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860331,0,864.2,REDACTED PERSONAL DATA,1000023300,Fostering Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,860621,0,869.82,REDACTED PERSONAL DATA,1000025700,Fostering Allowance,Children's Services,Children Social Care & Safegua
