DCC Transparency Report Supplier Payment over ï¿½500,,,,,,,,,,,,,
,,,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,,Purpose of Spend,Procurement Classification,Selection Code 3 Description,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8950,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8951,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8952,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8953,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8954,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8955,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8956,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8957,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8958,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8959,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8960,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8961,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8962,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8963,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8964,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8965,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8966,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8967,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8968,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8969,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8970,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8971,"2,437.83",Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8972,785.72,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8973,785.72,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8974,"3,525.15",Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8975,674.55,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8976,674.55,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,8977,"1,785.68",Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9066,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9067,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9068,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9069,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9070,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9071,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9072,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9073,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9082,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9083,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9084,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9085,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9086,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9087,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9088,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9089,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9090,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9091,739.92,Special Schools,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHAW EDUCATION TRUST ST ANDREWS ACADEMY,18/04/2023,900,9092,739.92,Special Schools,,Public/Government Agency,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SJT PROPERTY SERVICES,18/04/2023,1275,9187,840,West Adults (under 65) Physical - DP/Mgd,,Sole Trader,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,SJT PROPERTY SERVICES,18/04/2023,1275,9189,"1,120.00",Central Adults (under 65) LD - DP/Mgd,,Sole Trader,,
Communities & Place,Public Protection and Streetride,Community Safety,Partnerships,REDACTED,20/04/2023,1441,2486,"3,450.00",Ukraine Family Support,,Individual (Non Business),,
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,20/04/2023,1387,6413,560,Housing Options (Private),,SME,,
People Services - Children & Young People,Schools Block,Learning & Inclusion - Schools Block,Learning & Inclusion - Schools Block,LUNAR MIND LTD,20/04/2023,1434,9096,560,Secondary IYFA Behaviour,,SME,,
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,TYGER HOLDINGS LTD,20/04/2023,1433,9111,"1,200.00",Housing Options (Private),,SME,,
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,20/04/2023,1344,9146,550,Housing Options (Private),,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,20/04/2023,1431,9191,"1,200.00",Personal Budgets,,Individual (Non Business),,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,20/04/2023,1436,9193,"1,600.00",Personal Budgets,,Individual (Non Business),,
People Services - Children & Young People,Non-Schools,Commissioning,School Organisation & Provision,DERBY SCHOOLS SOLUTIONS LIMITED,20/04/2023,1351,9270,"501,566.51",Grouped Schools PFI Revenue,,SME,,
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,EAST STAFFORDSHIRE BOROUGH COUNCIL,20/04/2023,1347,9275,"1,017.55",Leaving & After Care,,Public/Government Agency,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,20/04/2023,1372,9321,536,Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,20/04/2023,1372,9324,536,Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,20/04/2023,1396,9331,975.44,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,20/04/2023,1428,9333,873.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1367,9334,968.04,Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9343,"1,680.78",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9344,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9345,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9346,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9347,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9348,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9349,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9350,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9351,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9352,"2,080.97",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,20/04/2023,1438,9354,"2,241.04",West/South MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,SAFE ZONE SECURITY SERVICES,20/04/2023,1426,9359,652.5,Repair & Maintenance Works,,Sole Trader,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,COMPLIANCE365,20/04/2023,1429,9363,"6,200.00",Energy Projects,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,COMPLIANCE365,20/04/2023,1429,9364,"2,200.00",Repair & Maintenance Works,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,STEPNELL LIMITED,20/04/2023,1437,9365,"33,986.62",Demolition Works - Various Sites,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,STEPNELL LIMITED,20/04/2023,1437,9366,"46,370.72",Demolition Works - Various Sites,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,FAITHFUL AND GOULD LIMITED,20/04/2023,1397,9367,"19,445.89",Property Maintenance,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,FAITHFUL AND GOULD LIMITED,20/04/2023,1397,9368,"16,778.27",Property Maintenance,,Company,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,20/04/2023,1435,9369,"1,041.74",Market Hall Replacement - Phase 2,,Company,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,20/04/2023,1435,9370,"1,041.74",Market Hall Replacement - Phase 2,,Company,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,20/04/2023,1435,9371,"1,041.74",Market Hall Replacement - Phase 2,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,S S SYSTEMS LTD,20/04/2023,1353,9386,623.63,Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,VERTIV INFRASTRUCTURE LIMITED,20/04/2023,1394,9395,"5,879.10",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,PHS COMPLIANCE,20/04/2023,1365,9398,709.76,Building Services,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,PHS COMPLIANCE,20/04/2023,1365,9400,737.22,Building Services,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,PHS COMPLIANCE,20/04/2023,1365,9401,896.34,Repair & Maintenance Works,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MINES RESCUE SERVICE LTD,20/04/2023,1378,9404,"1,518.00",Preliminary Design- Structural and Buildings at risk,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,REDACTED,20/04/2023,1369,9405,"7,166.25",Property Maintenance,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,REDACTED,20/04/2023,1369,9406,"8,156.25",Property Maintenance,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,PERFECT CIRCLE JV LTD,20/04/2023,1393,9407,"5,338.20",Property Maintenance,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,PERFECT CIRCLE JV LTD,20/04/2023,1393,9408,"4,575.60",Property Maintenance,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,EMCUS LTD,20/04/2023,1362,9409,"5,295.00",Rechargeable Work,,SME,,
Communities & Place,"Leisure, Culture and Tourism",Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,20/04/2023,1348,9419,"1,251.64",Derby Live Catering - Derby Arena,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,ALPHEUS ENVIRONMENTAL LTD,20/04/2023,1343,9424,"10,515.30",Pride Park,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WATES CONSTRUCTION LTD,20/04/2023,1392,9425,"439,426.67",Market Hall Replacement - Phase 2,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WATES CONSTRUCTION LTD,20/04/2023,1392,9426,"1,531.37",UPRN 00346B - Market Hall Refurbishments,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,20/04/2023,1354,9427,"2,027.00",Repair & Maintenance Works,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MANOR ELECTRICAL SERVICES,20/04/2023,1354,9429,"1,474.00",Preliminary Design- Structural and Buildings at risk,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MANOR ELECTRICAL SERVICES,20/04/2023,1354,9430,893.2,Council House - Detailed Survey,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,20/04/2023,1354,9431,876.85,Repair & Maintenance Works,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MANOR ELECTRICAL SERVICES,20/04/2023,1354,9432,832.79,Assembly Rooms Demolition,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,20/04/2023,1354,9433,"3,888.74",Repair & Maintenance Works,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SEDDON CONSTRUCTION LTD,20/04/2023,1370,9434,"62,825.36",Kedleston Road Heating System,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SEDDON CONSTRUCTION LTD,20/04/2023,1370,9435,"29,020.39",UPRN 10110 - Public Transport - Public Transport,,SME,,
Children and Young People,Children and Young People,Children and Young People,Children and Young People,MORGAN SINDALL CONSTRUCTION LTD,20/04/2023,1364,9436,"844,346.64",Fellows Lands Way Primary s106,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,KONE PLC,20/04/2023,1352,9437,532.79,Repair & Maintenance Works,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,LANGLEY GATES AND RAILINGS LTD,20/04/2023,1349,9441,525,Repair & Maintenance Works,,SME,,
Communities & Place,"Leisure, Culture and Tourism",Leisure,"Leisure - Management,Sales, Marketing &",E ON CONTROL SOLUTIONS LIMITED,20/04/2023,1395,9443,"6,461.96",Gayton Swimming Pool,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,20/04/2023,1363,9444,"16,294.01",Repair & Maintenance Works,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,20/04/2023,1363,9446,599.58,Repair & Maintenance Works,,Company,,
Communities & Place,"Leisure, Culture and Tourism",Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,20/04/2023,1348,9458,"1,101.11",Derby Live Catering - Derby Arena,,Company,,
Communities & Place,"Leisure, Culture and Tourism",Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,20/04/2023,1348,9467,660.18,Derby Live Catering - Markeaton Park,,Company,,
Corporate Resources,Financial Services,Financial Services,Business Support,ROYAL MAIL GROUP PLC.,20/04/2023,1342,9481,"8,334.76",Transactional Services,,Company,,
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,25/04/2023,3035,2491,724,Legal Fees,,Sole Trader,,
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,S WATMOUGH EARTHMOVING AND PLANT HIRE LTD,25/04/2023,2960,9119,"1,952.38",Highways Maintenance Works,,SME,,
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Waste Disposal,APSE,25/04/2023,1532,9273,"8,469.00",Waste Disposal,,SME,,
Communities & Place,Public Protection and Streetride,Community Safety,Partnerships,REDACTED,25/04/2023,3244,9415,750,Ukraine Family Support,,Individual (Non Business),,
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,25/04/2023,3246,9480,"6,100.00",Legal Fees,,Company,,
Corporate Resources,Financial Services,Financial Services,Business Support,ROYAL MAIL GROUP PLC.,25/04/2023,1443,9483,"7,344.21",Transactional Services,,Company,,
Corporate Resources,Financial Services,Financial Services,Business Support,ROYAL MAIL GROUP PLC.,25/04/2023,1443,9486,"7,464.61",Transactional Services,,Company,,
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,25/04/2023,3246,9508,"4,750.00",Legal Fees,,Company,,
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,MEDEQUIP ASSISTIVE TECH LTD,25/04/2023,1699,9532,"2,325.00",Healthy Housing Hub,,Company,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,NHS DERBY AND DERBYSHIRE ICB,25/04/2023,7418000656,9651,"8,932.95",West/South MH Support Adults (under 65) - DP/Mgd,,Public/Government Agency,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,25/04/2023,1574,9656,521.6,Central/East MH Support Adults (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,25/04/2023,1574,9657,521.6,Central/East MH Support Adults (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,25/04/2023,1574,9697,752.13,Central/East MH Support Adults (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,25/04/2023,1574,9704,553.04,West/South MH Memory Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,25/04/2023,1574,9706,707.89,Central/East MH Support Adults (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9717,930.32,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9718,945.52,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9720,930.32,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9721,945.52,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9722,945.52,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9723,967.16,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9729,"1,065.76",South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9731,"1,301.87",South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9732,"1,301.87",South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9739,"1,046.48",South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,25/04/2023,1564,9740,"1,077.64",South OP (over 65) Physical - DP/Mgd,,SME,,
