,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,TOP OPTION HEALTHCARE LIMITED,13/12/2024,12076011,"3,012.05",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,TOP OPTION HEALTHCARE LIMITED,13/12/2024,12076011,557.64,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,REDACTED PERSONAL DATA,13/12/2024,12076011,"1,834.70",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,REDACTED PERSONAL DATA,13/12/2024,12076011,702.45,Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5700,TRAFFIC MANAGEMENT & SAFETY LTD T/A TMS CONSULTANCY,13/12/2024,12076011,"2,580.00",3rd Party training,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,TRIX MEDCARE LTD,13/12/2024,12076011,"10,042.03",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,TRIX MEDCARE LTD,13/12/2024,12076011,"3,093.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,TROWERS & HAMLINS LLP BILL COLLECTIONS,13/12/2024,12076011,"8,803.00",Consultant Fees,Consultant Fees
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,7085,TROWERS & HAMLINS LLP BILL COLLECTIONS,13/12/2024,12076011,"8,803.00",Stationery,Printing Stationery And General Office Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,7085,TROWERS & HAMLINS LLP BILL COLLECTIONS,13/12/2024,12076011,"-8,803.00",Stationery,Printing Stationery And General Office Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,TWIZZLE TOPS LIMITED T/A TWIZZLE TOPS DAY NURSERY,13/12/2024,12076011,"49,092.48",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,REDACTED PERSONAL DATA,13/12/2024,12076011,785.40,Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,REDACTED PERSONAL DATA,13/12/2024,12076011,"1,280.66",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,REDACTED PERSONAL DATA,13/12/2024,12076011,"1,855.70",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4505,VIVEDIA LIMITED,13/12/2024,12076011,"5,029.00",Crematoria And Cemetery Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,WELBECK HOTEL,13/12/2024,12076011,"9,165.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,WELBECK HOTEL,13/12/2024,12076011,"4,295.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,WESTCLIFF PRE SCHOOL,13/12/2024,12076011,"10,601.15",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3000,WHITEHOUSE PLAYGROUP,13/12/2024,12076011,"15,569.50",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Central Services,9010,(G) EDMUNDS DESIGN & CONSTRUCTION LTD,17/12/2024,12076014,"16,200.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1209,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,642.76,Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4256,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,"4,372.02",Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4025,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,720.20,Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4030,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,639.40,Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4045,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,"3,309.99",Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,7120,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,"1,379.06",Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,5605,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,591.95,Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7515,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,642.14,Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural And Related Services,4200,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,"1,457.96",Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4505,(N) TGP EBE COLLECTIONS T/A TOTAL GAS & POWER LIMITED,17/12/2024,12076014,"5,945.99",Energy Cost Gas,Energy Costs
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3045,1UP COLLECTIVE,17/12/2024,12076014,"24,667.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,418.35",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1200,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,736.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,951.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,575.06,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,598.95,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,750.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ARTABILITY,17/12/2024,12076014,518.72,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ARTABILITY,17/12/2024,12076014,518.72,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,17/12/2024,12076014,"45,500.33",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1108,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,17/12/2024,12076014,583.70,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,17/12/2024,12076014,"3,042.55",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1310,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,17/12/2024,12076014,507.88,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,AVANCE LTD,17/12/2024,12076014,"3,428.57",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,BADGERS DEN (CARE) LIMITED T/A BADGERS DEN DAY OPPORTUNITIES,17/12/2024,12076014,"1,395.36",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,BADGERS DEN (CARE) LIMITED T/A BADGERS DEN DAY OPPORTUNITIES,17/12/2024,12076014,930.24,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4055,BC MEDIA ESSEX LTD,17/12/2024,12076014,500.00,Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4570,BLOOM PROCUREMENT SERVICES LTD,17/12/2024,12076014,"4,050.00",Consultancy Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4570,BLOOM PROCUREMENT SERVICES LTD,17/12/2024,12076014,690.00,Consultancy Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4570,BLOOM PROCUREMENT SERVICES LTD,17/12/2024,12076014,587.50,Consultancy Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4570,BLOOM PROCUREMENT SERVICES LTD,17/12/2024,12076014,750.00,Consultancy Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,117.51",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BY THE BRIDGE LTD,17/12/2024,12076014,"7,080.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,944.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CANARY HOUSE CARE LIMITED,17/12/2024,12076014,"1,600.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CANARY HOUSE CARE LIMITED,17/12/2024,12076014,750.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,CANARY HOUSE CARE LIMITED,17/12/2024,12076014,"2,195.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,CANARY HOUSE CARE LIMITED,17/12/2024,12076014,"1,400.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3791,CANARY HOUSE CARE LIMITED,17/12/2024,12076014,800.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1111,REDACTED PERSONAL DATA,17/12/2024,12076014,"5,832.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,518.40,Conveyance of Clients,Contract Hire And Operating Leases
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,132.00",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1305,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,240.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,628.32,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3791,REDACTED PERSONAL DATA,17/12/2024,12076014,546.00,Court Costs And Legal Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,230.59",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CHOICES HEALTHCARE LTD,17/12/2024,12076014,"17,976.73",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1108,CHOICES HEALTHCARE LTD,17/12/2024,12076014,"1,096.71",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CHOICES HEALTHCARE LTD,17/12/2024,12076014,"2,769.93",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CHOICES HEALTHCARE LTD,17/12/2024,12076014,537.03,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CHOICES HEALTHCARE LTD,17/12/2024,12076014,"1,355.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CHOICES HEALTHCARE LTD,17/12/2024,12076014,537.03,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CHOICES HEALTHCARE LTD,17/12/2024,12076014,716.04,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CHOICES HEALTHCARE LTD,17/12/2024,12076014,"1,355.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CHOICES HEALTHCARE LTD,17/12/2024,12076014,"1,355.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CHRISTIES CARE LTD.,17/12/2024,12076014,"5,909.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CHRISTIES CARE LTD.,17/12/2024,12076014,"5,909.92",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"2,199.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1305,REDACTED PERSONAL DATA,17/12/2024,12076014,970.20,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,051.24",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,17/12/2024,12076014,"8,239.39",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,17/12/2024,12076014,864.80,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1400,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,17/12/2024,12076014,"1,005.65",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,17/12/2024,12076014,"9,251.47",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,17/12/2024,12076014,913.24,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1400,CONCEPT CARE SOLUTIONS LTD T/A DOLPHIN CARE,17/12/2024,12076014,"1,064.21",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1200,REDACTED PERSONAL DATA,17/12/2024,12076014,850.64,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CREATIVE SUPPORT SOLUTIONS LTD,17/12/2024,12076014,"4,285.71",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,679.22,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1111,REDACTED PERSONAL DATA,17/12/2024,12076014,"4,488.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1305,REDACTED PERSONAL DATA,17/12/2024,12076014,"1,296.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,506.08,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"3,778.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1200,REDACTED PERSONAL DATA,17/12/2024,12076014,642.32,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"3,769.92",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1305,REDACTED PERSONAL DATA,17/12/2024,12076014,"4,837.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1200,DR BEX HARPER,17/12/2024,12076014,607.60,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9007,DR DRIP CLOTHING LTD,17/12/2024,12076014,"2,000.00",Other Expenses,Other Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3592,DR GRANGE AND ASSOCIATES LTD,17/12/2024,12076014,823.10,Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8605,DWF LAW LLP,17/12/2024,12076014,"5,650.80",Court Costs And Legal Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,915.75,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,666.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"2,475.03",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"4,950.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"1,936.83",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"1,845.75",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"1,685.25",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"2,259.81",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1320,ECO WINGS,17/12/2024,12076014,"1,768.41",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,536.00,Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,670.00,Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,"1,469.20",Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,"1,080.00",Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,"1,608.00",Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,"2,278.00",Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,"1,206.00",Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,ECO WINGS,17/12/2024,12076014,"2,703.00",Childrens outings,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1263,ECO WINGS AND NIGHTS LIMITED,17/12/2024,12076014,"1,200.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ELM LODGE RESIDENTIAL LTD,17/12/2024,12076014,"39,000.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ELM LODGE RESIDENTIAL LTD,17/12/2024,12076014,"39,000.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,17/12/2024,12076014,951.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Central Services,2039,ENVIRONMENT AGENCY RECEIPTS,17/12/2024,12076014,"55,039.82",Miscellaneous Expenses,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,2226,ESSEX COUNTY COUNCIL,17/12/2024,12076014,"64,548.46",Miscellaneous Expenses,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4255,ESSEX COUNTY COUNCIL,17/12/2024,12076014,"102,599.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,REDACTED PERSONAL DATA,17/12/2024,12076014,"3,333.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,FAMILY WORKS FOSTERING,17/12/2024,12076014,"5,785.80",Private Contractors,Other Agencies
