Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210194604,12317.66,R,ROYAL NATIONAL COLLEGE FOR THE BLIN
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210194615,12317.66,R,ROYAL NATIONAL COLLEGE FOR THE BLIN
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210194484,22943,R,THE SHEILING SPECIAL EDUCATION TRUS
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210195358,31318.31,R,TRELOAR TRUST
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210195370,40113.81,R,TRELOAR TRUST
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210195386,11560,R,TRELOAR TRUST
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210195409,22121.45,R,TRELOAR TRUST
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210195414,21894.4,R,TRELOAR TRUST
Hampshire County Council,CHILDRENS SERVICES,Top up funding Post 16 - ISP,Payments to Other Establishments,04.04.2014,2210195420,13397,R,TRELOAR TRUST
Hampshire County Council,CHILDRENS SERVICES,Tower Hill Community Cove,Major Mechanical Works,10.04.2014,3400135126,4783.3,C,KIER BUILDING SERVICES ENGINEERS
Hampshire County Council,CHILDRENS SERVICES,Toynbee Sch Chandlers Ford,Major Roof Repairs - CM,14.04.2014,3400135169,985.71,C,MITIE TILLEY ROOFING LTD
Hampshire County Council,CHILDRENS SERVICES,Toynbee Sch Chandlers Ford,Major Roof Repairs - CM,14.04.2014,3400135169,4923.47,C,MITIE TILLEY ROOFING LTD
Hampshire County Council,CHILDRENS SERVICES,Trosnant First Havant,Advanced Boiler Controls,02.04.2014,3400134942,17223.98,C,CHURCHES LTD
Hampshire County Council,CHILDRENS SERVICES,Trosnant First Havant,Major Mechanical Works,30.04.2014,3400135508,2706.23,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Trospacc Nursery,Agency Staff,02.04.2014,2210187162,1194,R,SIMPLY SUPPLY LTD
Hampshire County Council,CHILDRENS SERVICES,Trospacc Nursery,Agency Staff,17.04.2014,2210248874,936,R,SIMPLY SUPPLY LTD
Hampshire County Council,CHILDRENS SERVICES,Trospacc Nursery,Uniform Business Rates,28.04.2014,3110506416,37740,R,HAVANT BOROUGH COUNCIL
Hampshire County Council,CHILDRENS SERVICES,Twesledown Cty Infant Crookham,Payments to main contractor,14.04.2014,3400135166,21586.53,C,MILLER CONSTRUCTION (UK) LIMITED
Hampshire County Council,CHILDRENS SERVICES,Twesledown Cty Infant Crookham,Payments to main contractor,14.04.2014,3400135166,48616.49,C,MILLER CONSTRUCTION (UK) LIMITED
Hampshire County Council,CHILDRENS SERVICES,Twesledown Cty Infant Crookham,Payments to main contractor,14.04.2014,3400135166,183925.61,C,MILLER CONSTRUCTION (UK) LIMITED
Hampshire County Council,CHILDRENS SERVICES,Twyford (C) Primary,Major Mechanical Works,16.04.2014,3400135210,3134.25,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Twyford (C) Primary,Payments to main contractor,25.04.2014,3400135350,21357,C,ANCHOR PIPEWORK LTD
Hampshire County Council,CHILDRENS SERVICES,Twyford (C) Primary,Payments to main contractor,25.04.2014,3400135350,6756,C,ANCHOR PIPEWORK LTD
Hampshire County Council,CHILDRENS SERVICES,Vigo Cty Junior Andover,Furn. & Equip. costing less than £6000,28.04.2014,2210221982,11893,C,ACCOLADE BUILDING CARE LTD
Hampshire County Council,CHILDRENS SERVICES,Vigo Cty Junior Andover,Major Electrical Works,10.04.2014,3400135143,3164,C,BHM ELECTRICAL SERVICES
Hampshire County Council,CHILDRENS SERVICES,Wallisdean Cty Junior Fareham,Major Mechanical Works,16.04.2014,3400135205,1653.87,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Wallisdean Cty Junior Fareham,Major Mechanical Works,16.04.2014,3400135222,2796.38,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Wallop Cty Primary Stockbridge,Major Mechanical Repairs,28.04.2014,3400135397,2335.82,C,SSE CONTRACTING LTD
Hampshire County Council,CHILDRENS SERVICES,Wallop Cty Primary Stockbridge,Payments to main contractor,30.04.2014,3400135510,32878.16,C,SSE CONTRACTING LTD
Hampshire County Council,CHILDRENS SERVICES,Warblington Secondary Havant,Major Mechanical Works,16.04.2014,3400135201,5529.3,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Warblington Secondary Havant,Major Mechanical Works,16.04.2014,3400135211,2560.95,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Warblington Secondary Havant,Payments to main contractor,02.04.2014,3400134812,8004,C,LAKEHOUSE CONTRACTS LTD
Hampshire County Council,CHILDRENS SERVICES,Warblington Secondary Havant,Planned Maintenance (CM),02.04.2014,3400134812,12509.5,C,LAKEHOUSE CONTRACTS LTD
Hampshire County Council,CHILDRENS SERVICES,Wavell Secondary Farnborough,Major Electrical Works,03.04.2014,3400135007,3233.26,C,ELLIS INTEGRATED SYSTEMS LTD
Hampshire County Council,CHILDRENS SERVICES,Wavell Secondary Farnborough,Major Electrical Works,03.04.2014,3400135010,2251.79,C,K R STRUGNELL LTD
Hampshire County Council,CHILDRENS SERVICES,Wavell Secondary Farnborough,Major Electrical Works,17.04.2014,3400135282,1500,C,K R STRUGNELL LTD
Hampshire County Council,CHILDRENS SERVICES,Weeke Cty Primary Winchester,Payments to main contractor,04.04.2014,3400135040,7202.25,C,MANSELL PLC
Hampshire County Council,CHILDRENS SERVICES,Weeke Cty Primary Winchester,Payments to main contractor,04.04.2014,3400135040,83038.66,C,MANSELL PLC
Hampshire County Council,CHILDRENS SERVICES,Weeke Cty Primary Winchester,Payments to main contractor,30.04.2014,3400135479,1500,C,MRC MARTIN REYNOLDS CONSTRUCTION
Hampshire County Council,CHILDRENS SERVICES,Wellington Community Primary School,After School Activities,29.04.2014,2210225031,675,R,ALDERSHOT TOWN FC FITC
Hampshire County Council,CHILDRENS SERVICES,Wellington Community Primary School,Gas,24.04.2014,1100220937,850.13,R,TOTAL GAS & POWER LTD
Hampshire County Council,CHILDRENS SERVICES,Wellington Community Primary School,Photocopying,29.04.2014,2210225129,1646.81,R,RICOH UK LTD
Hampshire County Council,CHILDRENS SERVICES,Wellington Community Primary School,Photocopying,29.04.2014,2210225185,2091.78,R,RICOH UK LTD
Hampshire County Council,CHILDRENS SERVICES,Wellington Community Primary School,Residential Activities,01.04.2014,2210178959,1157,R,P G L TRAVEL LTD
Hampshire County Council,CHILDRENS SERVICES,Wellington Community Primary School,Teachers' Training Costs,02.04.2014,2210186816,600,R,RUTH MISKIN LITERACY LTD
Hampshire County Council,CHILDRENS SERVICES,Wellington Primary Sch. - Non-delegated,Repair And Maintenance - Cac,02.04.2014,3400134943,1245,R,GRUBB & BANKS (BUILDING SERVICES) L
Hampshire County Council,CHILDRENS SERVICES,Wellington Primary Sch. - Non-delegated,Repair And Maintenance - Cac,02.04.2014,3400134943,4300,R,GRUBB & BANKS (BUILDING SERVICES) L
Hampshire County Council,CHILDRENS SERVICES,Wellington Primary Sch. - Non-delegated,Repair And Maintenance - Cac,28.04.2014,3400135381,5950.71,R,GRUBB & BANKS (BUILDING SERVICES) L
Hampshire County Council,CHILDRENS SERVICES,Wellington Primary Sch. - Non-delegated,Repair And Maintenance - Cac,28.04.2014,3400135381,2403,R,GRUBB & BANKS (BUILDING SERVICES) L
Hampshire County Council,CHILDRENS SERVICES,Wellow Primary,Hard Landscape Improvements,23.04.2014,3400135322,1950,C,ROCON CONTRACTORS LTD
Hampshire County Council,CHILDRENS SERVICES,Western (C) Primary Winchester,Pipework Replacement (Gas & Water) - CM,14.04.2014,3400135179,1388.56,C,FAIRWAYS ENGINEERING (H&V) LTD
Hampshire County Council,CHILDRENS SERVICES,Western (C) Primary Winchester,Pipework Replacement (Gas & Water) - CM,14.04.2014,3400135179,7779.74,C,FAIRWAYS ENGINEERING (H&V) LTD
Hampshire County Council,CHILDRENS SERVICES,Westgate Secondary Winchester,Payments to main contractor,28.04.2014,3400135384,4974.08,C,WALKER ELECTRICAL SERVICES (UK) LTD
Hampshire County Council,CHILDRENS SERVICES,Wherwell Cty Primary,Payments to main contractor,03.04.2014,3400135033,643.18,C,SKILZ UK LTD
Hampshire County Council,CHILDRENS SERVICES,Wherwell Cty Primary,Payments to main contractor,03.04.2014,3400135033,5000,C,SKILZ UK LTD
Hampshire County Council,CHILDRENS SERVICES,Whitchurch Ce(C) Primary,Payments to main contractor,29.04.2014,2210224857,3000,C,EMPATHY LANDSCAPES
Hampshire County Council,CHILDRENS SERVICES,Whitchurch Ce(C) Primary,Payments to main contractor,29.04.2014,2210224857,1056.4,C,EMPATHY LANDSCAPES
Hampshire County Council,CHILDRENS SERVICES,Whiteley Primary,External decorations,28.04.2014,3400135355,17546.92,C,I WILLIAMS
Hampshire County Council,CHILDRENS SERVICES,Whitewater Ce Primary B'Stoke,Boiler / Major Plant Replacement - CM,14.04.2014,3400135179,28465.48,C,FAIRWAYS ENGINEERING (H&V) LTD
Hampshire County Council,CHILDRENS SERVICES,Wickham Ce(C) Primary,Major Mechanical Works,16.04.2014,3400135204,3987.9,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Wildern Secondary Hedge End,Payments to main contractor,16.04.2014,3400135199,2174.52,C,R V DART & SONS (BUILDERS) LTD
Hampshire County Council,CHILDRENS SERVICES,Wildern Secondary Hedge End,Planned Maintenance (CM),16.04.2014,3400135199,9373.34,C,R V DART & SONS (BUILDERS) LTD
Hampshire County Council,CHILDRENS SERVICES,Wildground Jnr Dibden Purlieu,Payments to main contractor,03.04.2014,3400135035,10793.98,C,HP CONTRACTS
Hampshire County Council,CHILDRENS SERVICES,Winnall Cty Primary Winchester,Major Mechanical Works,16.04.2014,3400135202,11681.25,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Winnall Cty Primary Winchester,Major Mechanical Works,30.04.2014,3400135500,9314.55,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Woodcot Cty Primary Gosport,Major Mechanical Works,30.04.2014,3400135503,2443.04,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,CHILDRENS SERVICES,Woodlands Education Centre,Electricity,22.04.2014,1100220697,1313.93,R,NPOWER
Hampshire County Council,CHILDRENS SERVICES,Workforce Dev - H&S,Other Training Courses and Qualification,01.04.2014,2210236789,1167,R,ST JOHN AMBULANCE ASSOCIATION
Hampshire County Council,CHILDRENS SERVICES,Wyvern Technology College,Major Electrical Works,03.04.2014,3400134990,2700,C,BHM ELECTRICAL SERVICES
Hampshire County Council,CHILDRENS SERVICES,Yateley Secondary,Major Electrical Repairs,17.04.2014,3400135283,1936.79,C,ELLIS INTEGRATED SYSTEMS LTD
Hampshire County Council,CHILDRENS SERVICES,Yateley Secondary,Major Mechanical Repairs,10.04.2014,3400135128,5730.89,C,KIER BUILDING SERVICES ENGINEERS
Hampshire County Council,CHILDRENS SERVICES,Youth - Basingstoke - Former LAC,Client Lodgings and Accommodation,23.04.2014,2210215118,658,R,KEY2 FUTURES LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - East Hants - Former LAC,Client Lodgings and Accommodation,16.04.2014,2210205932,500,R,GASCOGNE-PEES
Hampshire County Council,CHILDRENS SERVICES,Youth - East Hants - Former LAC,Client Lodgings and Accommodation,30.04.2014,2210228950,1624.5,R,GASCOGNE-PEES
Hampshire County Council,CHILDRENS SERVICES,Youth - East Hants - Former LAC,Client Lodgings and Accommodation,29.04.2014,3110506556,998.81,R,PERSONAL PAYMENTS
Hampshire County Council,CHILDRENS SERVICES,Youth - Gosport - Former LAC,Client Lodgings and Accommodation,25.04.2014,3110506303,515.4,R,PERSONAL PAYMENTS
Hampshire County Council,CHILDRENS SERVICES,Youth - Gosport - Former LAC,Client Lodgings and Accommodation,29.04.2014,3110506537,630,R,PERSONAL PAYMENTS
Hampshire County Council,CHILDRENS SERVICES,Youth - Havant - Former LAC,Client Lodgings and Accommodation,30.04.2014,2210228974,666.12,R,BLUE SKY FOSTERING
Hampshire County Council,CHILDRENS SERVICES,Youth - Havant - Former LAC,Client Lodgings and Accommodation,29.04.2014,2210225928,520,R,DCH INDEPENDENT FUTURES CIC
Hampshire County Council,CHILDRENS SERVICES,Youth - Havant - Former LAC,Client Lodgings and Accommodation,01.04.2014,2210178454,969.54,R,PHASE II CARE LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Havant - Former LAC,Client Lodgings and Accommodation,01.04.2014,2210178463,896.68,R,PHASE II CARE LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Awards and Allowances,16.04.2014,3110505825,970,R,PERSONAL PAYMENTS
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,29.04.2014,2210224202,1928.7,R,ADVANCE FOSTER CARE
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,29.04.2014,2210224373,2414.36,R,FOSTERING SOLUTIONS LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,11.04.2014,2210200712,689,R,GOLDHURST HOUSING
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,14.04.2014,2210201913,689,R,GOLDHURST HOUSING
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,15.04.2014,2210205473,1550,R,INDEPENDENT PLUS LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,24.04.2014,2210217098,1550,R,INDEPENDENT PLUS LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,28.04.2014,2210221603,672.47,R,INDEPENDENT PLUS LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,04.04.2014,2210192782,2914,R,KEY2 FUTURES LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,04.04.2014,2210192789,1589.99,R,NATIONAL FOSTERING AGENCY
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,17.04.2014,2210209685,610,R,PERSONAL PAYMENTS
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,02.04.2014,2210185686,2158.5,R,TRUEMAN LETTING COMPANY
Hampshire County Council,CHILDRENS SERVICES,Youth - Rushmoor - Former LAC,Client Lodgings and Accommodation,17.04.2014,2210210151,1400,R,YOUR MOVE ESTATE & LETTING AGENTS
Hampshire County Council,CHILDRENS SERVICES,Youth - Test Valley - Former LAC,Client Lodgings and Accommodation,25.04.2014,2210219410,942.86,R,AFGHAN ASSOCIATION PAIWAND
Hampshire County Council,CHILDRENS SERVICES,Youth - Test Valley - Former LAC,Client Lodgings and Accommodation,01.04.2014,2210177196,2693.7,R,BLUE SKY FOSTERING
Hampshire County Council,CHILDRENS SERVICES,Youth - Test Valley - Former LAC,Client Lodgings and Accommodation,22.04.2014,2210212127,2783.49,R,BLUE SKY FOSTERING
Hampshire County Council,CHILDRENS SERVICES,Youth - Test Valley - Former LAC,Other Expenses,22.04.2014,2210212400,2251.5,R,KEY2 FUTURES LTD
Hampshire County Council,CHILDRENS SERVICES,Youth - Winchester - Former LAC,Client Lodgings and Accommodation,17.04.2014,2210210031,503.86,R,FIRST WESSEX
Hampshire County Council,CHILDRENS SERVICES,Youth Offending Other - Ad C&F,Payments to Other Establishments,04.04.2014,2210193102,29941.67,R,ACTION FOR CHILDREN
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Contract Cleaning,17.04.2014,3400135270,2127.16,R,HAYWARD SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Contract Cleaning,17.04.2014,3400135270,2127.16,R,HAYWARD SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Contract Cleaning,17.04.2014,3400135270,2127.16,R,HAYWARD SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Electricity,17.04.2014,1100220657,975.09,R,NPOWER
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Furn. & Equip. costing less than £6000,01.04.2014,2210201761,1819.47,C,ELLIS INTEGRATED SYSTEMS LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Furn. & Equip. costing less than £6000,03.04.2014,2210192068,923.47,C,ELLIS INTEGRATED SYSTEMS LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Furn. & Equip. costing less than £6000,03.04.2014,2210192068,896,C,ELLIS INTEGRATED SYSTEMS LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Gas,15.04.2014,1100220535,969.25,R,TOTAL GAS & POWER LTD
Hampshire County Council,COUNTY TREASURERS,"1 High Street, Totton",Laundry and Dry Cleaning,24.04.2014,2210220538,505.44,R,CANNON HYGIENE
Hampshire County Council,COUNTY TREASURERS,Andover Wessex Chambers,Payments to main contractor,04.04.2014,3400135092,1253,C,PM BUILDING CONTRACTORS LTD
Hampshire County Council,COUNTY TREASURERS,Aquitaine House Winchester,Electricity,22.04.2014,1100220692,666.04,R,NPOWER
Hampshire County Council,COUNTY TREASURERS,Aquitaine House Winchester,Gas,24.04.2014,1100221003,513.66,R,TOTAL GAS & POWER LTD
Hampshire County Council,COUNTY TREASURERS,Bartley,Boiler / Major Plant Replacement - CM,03.04.2014,3400135021,3356.37,C,SSE CONTRACTING LTD
Hampshire County Council,COUNTY TREASURERS,Bartley,Boiler / Major Plant Replacement - CM,16.04.2014,3400135237,685,C,SSE CONTRACTING LTD
Hampshire County Council,COUNTY TREASURERS,Brighton Hill Pre School,Day To Day Maint - General,30.04.2014,3400135480,1886.07,R,KIER BUILDING SERVICES ENGINEERS
Hampshire County Council,COUNTY TREASURERS,Business Development Online Shop,General Fees and Charges,22.04.2014,3110506079,1470,R,PERSONAL PAYMENTS
Hampshire County Council,COUNTY TREASURERS,Calshot Marketing,"Publicity, Promotions and Advertisement",17.04.2014,2210253780,588,R,NEW FOREST DISTRICT COUNCIL
Hampshire County Council,COUNTY TREASURERS,Capital House Winchester,Gas,30.04.2014,1100221335,1580.62,R,TOTAL GAS & POWER LTD
Hampshire County Council,COUNTY TREASURERS,Capital House Winchester,Major Electrical Repairs,14.04.2014,3400135174,1512,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,Capital House Winchester,Sewerage - Metered,03.04.2014,1100220362,806.84,R,SOUTHERN WATER SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,Castle Avenue Winchester,Electricity,23.04.2014,1100220764,1302.97,R,NPOWER
Hampshire County Council,COUNTY TREASURERS,Castle Avenue Winchester,Lift Replacement,23.04.2014,3400135328,2930,C,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,Clarendon House Winchester,Electricity,23.04.2014,1100220760,1727.11,R,NPOWER
Hampshire County Council,COUNTY TREASURERS,Clarendon House Winchester,Roof leak repairs,28.04.2014,3400135413,735.24,R,EMCOR FACILITIES SERVICES LTD
Hampshire County Council,COUNTY TREASURERS,Clere School - Fire Damage Reinstatement,Fire Damage Reinstatement,03.04.2014,3110505233,7241.65,R,UNIVERSAL SERVICES
Hampshire County Council,COUNTY TREASURERS,Consultants - Acoustics,Hired and Contracted Services,17.04.2014,3400135288,2200,R,24 ACOUSTICS LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Acoustics,Hired and Contracted Services,17.04.2014,3400135290,745,R,24 ACOUSTICS LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Acoustics,Hired and Contracted Services,17.04.2014,3400135291,500,R,24 ACOUSTICS LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Acoustics,Hired and Contracted Services,17.04.2014,3400135293,745,R,24 ACOUSTICS LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Acoustics,Hired and Contracted Services,30.04.2014,3400135444,1190,R,24 ACOUSTICS LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Architectural Design,Hired and Contracted Services,10.04.2014,3400135152,116368.21,R,FAITHFUL & GOULD
Hampshire County Council,COUNTY TREASURERS,Consultants - Architectural Design,Hired and Contracted Services,10.04.2014,3400135150,93632.5,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Architectural Design,Hired and Contracted Services,24.04.2014,3400135347,109310.5,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Building Surveying,Hired and Contracted Services,29.04.2014,3400135429,3096.08,R,HAMSON PARTNERSHIP LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Building Surveying,Hired and Contracted Services,29.04.2014,3400135430,26541.26,R,PERSONAL PAYMENTS
Hampshire County Council,COUNTY TREASURERS,Consultants - Building Surveying,Hired and Contracted Services,29.04.2014,3400135430,1223.62,R,PERSONAL PAYMENTS
Hampshire County Council,COUNTY TREASURERS,Consultants - Building Surveying,Hired and Contracted Services,29.04.2014,3400135431,6819.75,R,PERSONAL PAYMENTS
Hampshire County Council,COUNTY TREASURERS,Consultants - Building Surveying,Hired and Contracted Services,29.04.2014,3400135431,9242.13,R,PERSONAL PAYMENTS
Hampshire County Council,COUNTY TREASURERS,Consultants - Cost Mgt - Cap. Projects,Hired and Contracted Services,17.04.2014,3400135285,64110,R,AECOM PROFESSIONAL SERVICES LLP
Hampshire County Council,COUNTY TREASURERS,Consultants - Cost Mgt - Cap. Projects,Hired and Contracted Services,17.04.2014,3400135297,3000,R,SWEETT (UK) LIMITED
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,24.04.2014,3400135331,1377,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,24.04.2014,3400135332,1048.95,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,24.04.2014,3400135333,14347.12,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,24.04.2014,3400135334,9983.25,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135486,10189.8,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135487,42867.03,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135488,14347.12,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135489,33991.7,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135490,1549.13,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135491,1048.95,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Framework Management,Hired and Contracted Services,30.04.2014,3400135493,1377,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - Landscape Architecture,Hired and Contracted Services,10.04.2014,3400135151,15867.44,R,FAITHFUL & GOULD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Energy,Hired and Contracted Services,10.04.2014,3400135103,22800,R,COMPLIANCE365
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,29.04.2014,3400135434,1770.86,R,ELEMENTA CONSULTING LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,24.04.2014,3400135330,720,R,GARY JONES ASSOCIATES LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,30.04.2014,3400135442,710,R,GARY JONES ASSOCIATES LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,17.04.2014,3400135296,94970.5,R,MACE LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,29.04.2014,3400135432,800,R,WSP BUILDINGS
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,30.04.2014,3400135443,2010,R,WSP BUILDINGS
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,29.04.2014,3400135433,2122.5,R,WYG ENGINEERING LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,29.04.2014,3400135436,1150,R,WYG ENGINEERING LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,29.04.2014,3400135437,1183,R,WYG ENGINEERING LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - M&E Engineering,Hired and Contracted Services,29.04.2014,3400135438,1734,R,WYG ENGINEERING LTD
Hampshire County Council,COUNTY TREASURERS,Consultants - To recharge - HFRS,Hired and Contracted Services,17.04.2014,3400135295,650,R,24 ACOUSTICS LTD
Hampshire County Council,COUNTY TREASURERS,Dove Ho Academy - R & M Property,Premises Repairs,30.04.2014,3400135480,730.71,R,KIER BUILDING SERVICES ENGINEERS
Hampshire County Council,COUNTY TREASURERS,DPMS Digital,Hired and Contracted Services,01.04.2014,2210178771,680,R,CULVERLANDS PRESS LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Digital,Hired and Contracted Services,02.04.2014,2210187551,821,R,JAMES BYRNE PRINTING LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Digital,Hired and Contracted Services,04.04.2014,2210232774,573,R,JAMES BYRNE PRINTING LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Digital,Hired and Contracted Services,02.04.2014,2210186561,878,R,LPC PRINTING LIMITED
Hampshire County Council,COUNTY TREASURERS,DPMS Outwork (HPS),Hired and Contracted Services,01.04.2014,2210178884,1569,R,CULVERLANDS PRESS LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Outwork (HPS),Hired and Contracted Services,01.04.2014,2210178885,641,R,CULVERLANDS PRESS LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Outwork (HPS),Hired and Contracted Services,01.04.2014,2210178912,2853,R,CULVERLANDS PRESS LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Outwork (HPS),Hired and Contracted Services,01.04.2014,2210178936,1409,R,CULVERLANDS PRESS LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Outwork (HPS),Hired and Contracted Services,01.04.2014,2210192975,1767,R,CULVERLANDS PRESS LTD
Hampshire County Council,COUNTY TREASURERS,DPMS Outwork (HPS),Hired and Contracted Services,01.04.2014,2210205723,2292,R,CULVERLANDS PRESS LTD
