Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,29-Mar-23,51500885093,"£57,650.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885123,"£57,650.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885073,"£57,650.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885143,"£57,650.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885083,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885103,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885113,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885163,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885183,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885133,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885153,"£59,572.08",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884982,"£63,305.74",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885052,"£73,591.84",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885171,"£77,926.24",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885007,"£78,848.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885025,"£78,848.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884998,"£81,476.68",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885043,"£81,476.68",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885061,"£81,476.68",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885034,"£81,476.68",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885016,"£81,476.68",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884989,"£81,476.68",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885121,"£83,492.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885141,"£83,492.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885071,"£83,492.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885091,"£83,492.40",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885181,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885151,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885161,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885131,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885101,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885111,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885081,"£86,275.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885185,"£91,683.60",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884094,"£97,219.00",Gateley Legal,Planning and Placemaking,Planning,External Legal Fees
Milton Keynes City Council,29-Mar-23,51500882329,"£97,974.60",Ernst & Young LLP,Finance & Resources - Services,Chief Internal Auditor,Accounting and Audit Fees
Milton Keynes City Council,29-Mar-23,51500884980,"£108,009.00",Excelcare Holdings PLC Re: Dovecote Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884945,"£120,849.36",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885225,"£127,966.48",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884925,"£129,481.46",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884933,"£129,481.46",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884941,"£133,797.51",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884929,"£133,797.51",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884917,"£133,797.51",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884937,"£133,797.51",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884921,"£133,797.51",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884949,"£133,797.51",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885193,"£137,106.94",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885213,"£137,106.94",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884953,"£137,106.94",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885205,"£137,106.94",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885209,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885229,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885221,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885189,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885217,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885197,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885201,"£141,677.17",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885230,"£150,558.00",Excelcare Holdings PLC Re: Neath Hill Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500880737,"£162,769.06",Central Bedfordshire Council,Children's Services,Corporate Parenting,Adoption Agency
Milton Keynes City Council,29-Mar-23,51500884149,"£212,000.00",Edenred (UK Group) Ltd,Finance & Resources - Services,Revenue & Benefits,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500871835,"£253,936.27",Millbrook Healthcare Ltd,Adult Services,Commissioning & Contracts,Equipment and Tools
Milton Keynes City Council,29-Mar-23,51500871884,"£2,512,500.00",Freeths LLP Client Account,Environment & Property,Director Environment and Property,Bank Charges
Milton Keynes City Council,30-Mar-23,51500765830,"-£217,450.80",Huawei,Planning and Placemaking,Innovation,IT Hardware
Milton Keynes City Council,30-Mar-23,51500679361,"-£22,405.12",Fulcrum Infrastructure Services Limited,Environment & Property,Land Development,Construction - External Professional Fees
Milton Keynes City Council,30-Mar-23,51500700617,"-£5,000.00",Cornerways Care Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,30-Mar-23,51500634696,"-£2,870.00",The University of Edinburgh,Environment & Property,Head of Service - Env and Waste,Staff Training & Development
Milton Keynes City Council,30-Mar-23,51500821527,"-£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500809203,"-£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500796550,"-£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500835365,"-£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,30-Mar-23,51500835367,"-£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,30-Mar-23,51500835366,"-£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,30-Mar-23,51500519118,"-£2,220.00",Sustrans Limited,Environment & Property,Transport Policy & Programmes,Capital Grant Funding to be Allocated
Milton Keynes City Council,30-Mar-23,51500857235,"-£1,716.00",Anglian Water Services Limited,Housing & Regeneration - HRA,Asset Management,Buildings - Structure
Milton Keynes City Council,30-Mar-23,51500653293,"-£1,462.40",Redacted Personal Data,Adult Services,Mental Health,Direct Payments
Milton Keynes City Council,30-Mar-23,51500653294,"-£1,462.40",Redacted Personal Data,Adult Services,Mental Health,Direct Payments
Milton Keynes City Council,30-Mar-23,51500282436,-£976.50,Redacted Personal Data,Children's Services,Corporate Parenting,Mandatory Student Awards
Milton Keynes City Council,30-Mar-23,51500668649,-£727.04,Runwood Homes Re Frank Foster House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500879191,-£570.00,Hillier Hopkins LLP,Finance & Resources - Corporate Codes,Corporate Codes,Professional Fees and Hired Services
Milton Keynes City Council,30-Mar-23,51500668646,-£528.76,Runwood Homes Re Frank Foster House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500879192,£570.00,Hillier Hopkins LLP,Finance & Resources - Corporate Codes,Corporate Codes,Professional Fees and Hired Services
Milton Keynes City Council,30-Mar-23,51500668645,£594.85,Runwood Homes Re Frank Foster House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500668647,£925.32,Runwood Homes Re Frank Foster House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500282437,£976.50,Redacted Personal Data,Children's Services,Corporate Parenting,Mandatory Student Awards
Milton Keynes City Council,30-Mar-23,51500653162,"£1,462.40",Redacted Personal Data,Adult Services,Mental Health,Direct Payments
Milton Keynes City Council,30-Mar-23,51500653161,"£1,462.40",Redacted Personal Data,Adult Services,Mental Health,Direct Payments
Milton Keynes City Council,30-Mar-23,51500857239,"£1,716.00",Anglian Water Services Limited,Housing & Regeneration - HRA,Asset Management,Buildings - Structure
Milton Keynes City Council,30-Mar-23,51500519399,"£2,220.00",Sustrans Limited,Environment & Property,Transport Policy & Programmes,Capital Grant Funding to be Allocated
Milton Keynes City Council,30-Mar-23,51500796551,"£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,30-Mar-23,51500835362,"£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500835364,"£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500835363,"£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,30-Mar-23,51500809204,"£2,843.44",Aspire Care UK Ltd t/a Fawnhope Rest Home,Adult Services,Commissioning & Contracts,Residential Care
