Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,03-Mar-23,51500870867,"-£2,264.04",Methodist Homes,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871055,"-£2,200.08",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870809,"-£2,185.71",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500870630,"-£2,155.68",Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500870340,"-£2,088.72",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870357,"-£2,088.72",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870777,"-£1,803.84",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870774,"-£1,777.04",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871050,"-£1,732.40",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870692,"-£1,706.20",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870874,"-£1,669.36",Methodist Homes,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870800,"-£1,639.04",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870117,"-£1,627.44",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,03-Mar-23,51500870110,"-£1,585.88",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,03-Mar-23,51500871061,"-£1,582.72",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870759,"-£1,572.36",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870309,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870322,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870318,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870313,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870355,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870292,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870290,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870338,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870297,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870301,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870305,"-£1,556.28",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870875,"-£1,555.71",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500870778,"-£1,492.36",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870351,"-£1,490.00",Care Support MK Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870716,"-£1,489.96",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870274,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870278,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870268,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870280,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870266,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870272,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870282,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870276,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
