﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
02-OCT-2024,Adults & Communities (P),TLR HEALTH CARE SERVICES LTD&&ISHC5887,HOME CARE,5505-Homecare,"£7,578.51"
02-OCT-2024,Adults & Communities (P),TRINITY TOWERS LTD T/A KARE PLUS&&ISHC5642,HOME CARE,5505-Homecare,"£11,918.97"
02-OCT-2024,Adults & Communities (P),UK CARE TEAM LTD&&ISHC7010,HOME CARE,5505-Homecare,£576.90
02-OCT-2024,Adults & Communities (P),UK CARE TEAM LTD&&ISHC7010,HOME CARE,5505-Homecare,"£17,775.94"
02-OCT-2024,Adults & Communities (P),VILLAGE HOMECARE LTD&&ISHC2754,HOME CARE,5505-Homecare,"£9,437.14"
02-OCT-2024,Adults & Communities (P),VOYAGE 1 LTD T/A VOYAGE CARE&&CLCD3317,CLC,5504-Day/CLC Services,"£13,134.40"
02-OCT-2024,Adults & Communities (P),WHM WORK CONNECTIONS LTD&&CLCD3312,CLC,5504-Day/CLC Services,"£20,417.92"
02-OCT-2024,Adults & Communities (P),WITLENS LTD&&ISHC7023,HOME CARE,5505-Homecare,"£4,674.39"
02-OCT-2024,Adults & Communities (P),XPERIENCE RECRUITMENT LTD MARKETING&&ISH6578,HOME CARE,5505-Homecare,"£11,458.06"
02-OCT-2024,Adults & Communities (P),3D Recruit Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£11,060.00"
02-OCT-2024,Adults & Communities (P),3D Recruit Ltd,TRADE SUPPLIER,5443-Agency & Contracted Services,"£6,840.00"
02-OCT-2024,C&FS (P),4PureHeart Limited,TRADE SUPPLIER,5411-Private Contractors - General,"£19,902.00"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5621-Transfer Payments,£924.44
02-OCT-2024,Environment & Transport (P),REDACTED PERSONAL DATA,NON TRADE,3125-Transport External Operator Contract,"£1,755.00"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5621-Transfer Payments,"£2,785.41"
02-OCT-2024,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,"£1,147.37"
02-OCT-2024,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,"£1,157.73"
02-OCT-2024,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,"£1,157.73"
02-OCT-2024,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,£789.95
02-OCT-2024,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,£807.30
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,£767.69
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5621-Transfer Payments,"£1,153.85"
02-OCT-2024,Environment & Transport (P),Allroads Asphalt Solutions Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,939.20"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,"£3,542.92"
