PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,428.57"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,898.43"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,929.56"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,830.53"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,857.14"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,030.00"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£1,184.29"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,898.44"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£4,962.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,900.00"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,900.00"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,898.44"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,895.91"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£7,373.57"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,507.96"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,507.96"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£21,229.57"
