date,supplier,directorate,purpose,amount
2023-05-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,900
2023-05-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,10390.36
2023-05-19,Bradford College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,9188.08
2023-05-19,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4172.73
2023-05-19,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5106.77
2023-05-19,Craven College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,2048.86
2023-05-19,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12326.35
2023-05-19,Leeds College of Building,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4989.18
2023-05-19,Netcom Training Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,14079.09
2023-05-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,45839.98
2023-04-06,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-06,Leeds Jewish Free School,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-17,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-17,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,780
2023-04-18,CNet,"Policing, Environment & Place",Supplies and Services,6350
2023-04-18,Academy of Live Technology,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,31680.7
2023-04-18,Information Commissioner,Corporate,Grants and Agency costs,2900
2023-04-19,Bradford Youth Service Keighley Team,"Policing, Environment & Place",Grants and Agency costs,4700
2023-04-19,CJS (UK Management) Limited,"Policing, Environment & Place",Grants and Agency costs,1200
2023-04-21,Kirklees Council,"Policing, Environment & Place",Consultancy and Professional Services,167281.95
2023-04-21,MTH FC,"Policing, Environment & Place",Grants and Agency costs,6952.74
2023-04-21,Karimulla Akbar Khan,"Policing, Environment & Place",Consultancy and Professional Services,2272.62
2023-04-21,Wakefield Metropolitan District Council,"Strategy, Comms & Intelligence",Grants and Agency costs,38253.22
