Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,21/02/2023,,-1107.24,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Allens Croft Primary School,13/02/2023,,3279.15,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Allesley Hall Primary School,09/02/2023,,600.00,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,Economy and Infrastructure HRA,Housing Revenue Account,Allpay.net Ltd,15/02/2023,,1477.32,PAYMENT CHARGES,Not Classified
Solihull MBC,Resources,Central Services to the Public,Allpay.net Ltd,15/02/2023,,1023.28,PROFESSIONAL FEES,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Alophonsus Services Ltd,23/02/2023,,11662.28,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Children and Education,Children & Education Services,Alpha Biolaboratories Ltd,17/02/2023,,1345.00,PROFESSIONAL FEES,Not Classified
Solihull MBC,Economy and Infrastructure,Highways & Transport Services,Altron Comm Equip,13-02-2023,Card Transaction,227.01,DEFAULT SUBJECTIVE,Domestic Goods - Not Elsewhere Classified
Solihull MBC,Economy and Infrastructure,Cultural & Related Services,Amazon.co.uk,13-02-2023,Card Transaction,326.68,MATERIALS,Domestic Goods - Commercial
Solihull MBC,Children and Education,Children & Education Services,Amberleigh Care Ltd,09/02/2023,,10940.52,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,Children and Education,Children & Education Services,Amberleigh Care Ltd,09/02/2023,,5248.92,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,Children and Education,Children & Education Services,Amberleigh Care Ltd,09/02/2023,,3857.64,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Amica Care Trust - St Johns Court Nursing Home,23/02/2023,,4163.24,ASC NURSING CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Amrial Care Ltd - Farway Grange,23/02/2023,,4300.00,ASC NURSING CARE PERMANENT,Not Classified
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Amznbusiness,13-02-2023,Card Transaction,255.99,CAPITATION,Domestic Goods - Commercial
Solihull MBC,Children and Education,Children & Education Services,Amznbusiness,13-02-2023,Card Transaction,348.25,HARDWARE,Domestic Goods - Commercial
Solihull MBC,Economy and Infrastructure,Cultural & Related Services,Amznmktplace,13-02-2023,Card Transaction,224.98,MATERIALS,Domestic Goods - Commercial
Solihull MBC,Children and Education,Children & Education Services,Amznmktplace,13-02-2023,Card Transaction,229.02,HARDWARE,Domestic Goods - Commercial
Solihull MBC,Children and Education,Children & Education Services,Amznmktplace,13-02-2023,Card Transaction,235.22,HARDWARE,Domestic Goods - Commercial
Solihull MBC,Children and Education,Children & Education Services,Amznmktplace,13-02-2023,Card Transaction,235.25,HARDWARE,Domestic Goods - Commercial
Solihull MBC,Adult Care Support,Adult Social Care,Amznmktplace,13-02-2023,Card Transaction,469.82,STATIONERY SCHOOLS ONLY,Domestic Goods - Commercial
