Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description,Profit Centre
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,516.84",BUPA CARE SERVICES,127676,GB239731641,Social Support 85 +,Social Care-3rd Prty,230805,,,,Redacted,157035
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,Social Support 85 +,EXT RES CARE FEES,230842,,,,Redacted,157035
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,030.12",BUPA CARE SERVICES,127676,GB239731641,MENT HLT 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157034
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,941.72",BUPA CARE SERVICES,127676,GB239731641,MENT HLT 75-84 LT,EXT NURS CARE FEES,230844,,,,Redacted,157024
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,298.44",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT NURS CARE FEES,230844,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,941.72",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT NURS CARE FEES,230844,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,260.80",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT NURS CARE FEES,230844,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,941.72",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT NURS CARE FEES,230844,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,790.88,BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 65-74 LT,EXT NURS CARE FEES,230844,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,941.72",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 65-74 LT,EXT NURS CARE FEES,230844,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,913.20",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 65-74 LT,EXT RES CARE FEES,230842,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 65-74 LT,EXT RES CARE FEES,230842,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,858.28",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157030
