Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7045411,45278,7500
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7045412,45278,7500
"Director of Policy, Strategy & Innovation",31571,External Advice,9023,Nationwide Data Collection,7045206,45271,930
Adult Education,31604,IT Software Licenses and Applications,9025,"Amazon Web Services, Inc.",7045597,45274,829.79
Adult Education,31604,IT Software Licenses and Applications,9025,"Amazon Web Services, Inc.",7045599,45274,928.25
Concessions Schemes,32430,Child Travel Pass Concession,9071,Midland Metro Ltd,40595,45279,1870
Metro Programme Director,60001,Project Support Costs,9071,Midland Metro Ltd,7044901,45278,1955.25
Metro Programme Director,60001,Project Support Costs,9071,Midland Metro Ltd,7044902,45266,8267.9
Metro Programme Director,60001,Project Support Costs,9071,Midland Metro Ltd,7044903,45261,11010.54
Metro Programme Director,60780,General Expenditure,9071,Midland Metro Ltd,7045479,45281,61967.15
Head of Organisational Development,30114,Occupational Health,9087,BHSF Group Limited,7045368,45274,1380
Head of Organisational Development,30114,Occupational Health,9087,BHSF Group Limited,7045536,45278,694
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7045257,45271,647.67
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7044805,45274,2003.07
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7045120,45274,2509.53
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7045359,45274,2396.37
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7045722,45281,2607.51
16 Summer Lane FM,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7045069,45266,684
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7045074,45266,569.62
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7045076,45266,584.61
16 Summer Lane FM,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7045078,45266,614.59
16 Summer Lane FM,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7045108,45266,719.52
European Structural & Investment Funding,32752,Provider Delivery Fees - Contract,9156,Shaw Trust,7045012,45261,163356.41
Head of Operational Assets - Bus Stations,60395,Physical Construction,9172,DABS Ltd,7044708,45261,8800
Head of Operational Assets - Bus Stations,60395,Physical Construction,9172,DABS Ltd,7044725,45261,520
Head of Operational Assets - Bus Stations,60395,Physical Construction,9172,DABS Ltd,7045178,45266,3000
Director of Housing & Regeneration,31571,External Advice,9177,Thomas Lister ltd,7045151,45274,7875
Director of Housing & Regeneration,31571,External Advice,9177,Thomas Lister ltd,7045193,45274,4500
Director of Housing & Regeneration,60001,Project Support Costs,9177,Thomas Lister ltd,7045402,45281,6975
Director of Housing & Regeneration,60001,Project Support Costs,9177,Thomas Lister ltd,7045575,45281,6575
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7045254,45274,53544.16
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7045700,45281,65000
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7045796,45281,40647.97
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7045812,45281,54347.3
Metro Programme Director,60612,Electricity Utility Costs,9179,CPC Civils,7045700,45281,55500
Metro Programme Director,60613,Water Utility Costs,9179,CPC Civils,7045700,45281,75500
Metro Programme Director,60614,Sewerage Utility Costs,9179,CPC Civils,7045700,45281,68852.53
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7044960,45266,3608
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7045218,45271,3608
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7045563,45278,3403
Bus Service Improvement Plan (BSIP),31571,External Advice,9183,Waterman Aspen,7044954,45278,2856
Bus Service Improvement Plan (BSIP),31571,External Advice,9183,Waterman Aspen,7045567,45281,2856
Managing Director for TfWM,31572,Consultants,9183,Waterman Aspen,7044987,45266,51562.5
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7041994,45281,2400
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7043301,45261,2400
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7043480,45261,2400
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7043785,45261,2400
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7044028,45261,2400
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7044403,45261,2400
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7044956,45261,8640
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7044958,45266,2400
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7044959,45261,742
Head of Bus,60001,Project Support Costs,9183,Waterman Aspen,7045215,45271,520.2
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7045216,45274,2400
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7045219,45274,8520
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7045241,45271,742
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9183,Waterman Aspen,7045564,45281,742
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7045565,45281,2700
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7045566,45281,2400
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40593,45279,22975.54
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40594,45279,71666.13
Adult Education,32751,Provider Delivery Fees - Grant,9237,SOUTH & CITY COLLEGE BIRMINGHAM,8014326,45280,1878159.08
Adult Education,32751,Provider Delivery Fees - Grant,9237,SOUTH & CITY COLLEGE BIRMINGHAM,8014327,45280,42750.86
Adult Education,32751,Provider Delivery Fees - Grant,9238,BIRMINGHAM METROPOLITAN COLLEGE,8014326,45280,688487.74
Adult Education,32751,Provider Delivery Fees - Grant,9238,BIRMINGHAM METROPOLITAN COLLEGE,8014327,45280,59675.41
Adult Education,32751,Provider Delivery Fees - Grant,9240,SANDWELL COLLEGE,8014326,45280,375150.67
Adult Education,32751,Provider Delivery Fees - Grant,9240,SANDWELL COLLEGE,8014327,45280,62990.6
Adult Education,32751,Provider Delivery Fees - Grant,9241,DUDLEY COLLEGE,8014326,45280,449578.28
Adult Education,32751,Provider Delivery Fees - Grant,9241,DUDLEY COLLEGE,8014327,45280,31068.07
Adult Education,32751,Provider Delivery Fees - Grant,9242,WALSALL COLLEGE,8014326,45280,610815.17
Adult Education,32751,Provider Delivery Fees - Grant,9242,WALSALL COLLEGE,8014327,45280,17628.11
Adult Education,32751,Provider Delivery Fees - Grant,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,8014326,45280,454693
Adult Education,32751,Provider Delivery Fees - Grant,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,8014327,45280,14180.01
Adult Education,32751,Provider Delivery Fees - Grant,9249,fircroft college,8014326,45280,170767.5
Adult Education,32751,Provider Delivery Fees - Grant,9249,fircroft college,8014327,45280,8524.38
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7043280,45278,4000
Director of Development & Delivery,60194,Transport Planning,9260,SLC Aecom JV,7043280,45278,132394.56
Director of Development & Delivery,60194,Transport Planning,9260,SLC Aecom JV,7044161,45274,3219.48
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045269,45274,17855.91
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045270,45274,91617.48
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045271,45274,182307.92
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045272,45274,168640.82
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045273,45274,7517.45
Adult Education,32751,Provider Delivery Fees - Grant,9273,Heart of Worcester College Redditch,8014326,45280,108582.17
Adult Education,32751,Provider Delivery Fees - Grant,9273,Heart of Worcester College Redditch,8014327,45280,11838.79
Adult Education,32751,Provider Delivery Fees - Grant,9288,Coventry College,8014326,45280,298702.17
Adult Education,32751,Provider Delivery Fees - Grant,9288,Coventry College,8014327,45280,17436.12
Adult Education,32751,Provider Delivery Fees - Grant,9289,South Staffordshire College,8014326,45280,23904.67
Adult Education,32751,Provider Delivery Fees - Grant,9289,South Staffordshire College,8014327,45280,1623.82
Adult Education,32751,Provider Delivery Fees - Grant,9290,Joseph Chamberlain Sixth Form College,8014326,45280,201726.5
Adult Education,32751,Provider Delivery Fees - Grant,9293,Halesowen College,8014326,45280,118027
Adult Education,32751,Provider Delivery Fees - Grant,9293,Halesowen College,8014327,45280,8592.37
Adult Education,32751,Provider Delivery Fees - Grant,9294,Telford College,8014326,45280,221174.63
Inclusion,31774,Promotional Literature,9296,Inclusive Companies Limited,7045130,45266,700
Adult Education,32751,Provider Delivery Fees - Grant,9297,Hereward College,8014326,45280,6932.67
Adult Education,32751,Provider Delivery Fees - Grant,9297,Hereward College,8014327,45280,1414.19
Adult Education,32751,Provider Delivery Fees - Grant,9298,North Warwickshire and South Leicestershire Colleg,8014326,45280,73495.67
Director of Network Resilience,31571,External Advice,9305,Liquid Public Relations Limited,7044227,45266,3200
Director of Network Resilience,31571,External Advice,9305,Liquid Public Relations Limited,7045370,45274,3200
Adult Education,32752,Provider Delivery Fees - Contract,9311,Pilot IMS Limited,8014329,45280,73625.16
Adult Education,32751,Provider Delivery Fees - Grant,9379,Warwickshire College Group,8014326,45280,31438.1
Adult Education,32751,Provider Delivery Fees - Grant,9379,Warwickshire College Group,8014327,45280,3082.66
Internal Communications,31610,Mobile Computing,9409,Invotra,7044008,45281,2176.05
Internal Communications,31610,Mobile Computing,9409,Invotra,7044808,45281,2231.47
Director of Housing & Regeneration,60141,Legal Advice,9422,Freeths LLP (Client Account),7045806,45281,22230.9
Delivery Director - Rail,60141,Legal Advice,9424,Eversheds Sutherland - Client Account,7045669,45281,3056
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7045115,45274,5575
Culture,31572,Consultants,9446,Amion Consulting Ltd,7045061,45266,6381
Bus Service Improvement Plan (BSIP),31770,Marketing,9485,Hotline Group Ltd,7044906,45261,837
Transport Assets,30661,Rents,9501,Avison Young,7045146,45281,5700
Director of Housing & Regeneration,31571,External Advice,9501,Avison Young,7045104,45274,6560
Director of Housing & Regeneration,31571,External Advice,9501,Avison Young,7045260,45274,6250
DCIA,31671,Revenue Contributions to Third Parties,9531,WM5G Limited,3004093,45266,16187.72
Director of Development & Delivery,60541,Health & Safety,9555,Ricardo Rail Ltd,7044742,45261,19419
Intra-City Transport Settlements,31571,External Advice,9560,Faithful+Gould,7045618,45281,49102
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7044391,45261,17920
Sprint,60110,Financial & Commerical Advice,9560,Faithful+Gould,7045367,45281,15020.84
Adult Education,31767,Events / Exhibitions,9565,NEC Group,7045787,45281,26650
Marketing and Engagement,31770,Marketing,9566,One Black Bear Limited,7045149,45274,32310
Sprint,60800,IT Hardware - Capital,9581,thinkproject UK Limited,7045492,45281,4950
Director of Development & Delivery,60395,Physical Construction,9582,Galliford Try,7045125,45278,209000
Adult Education,32751,Provider Delivery Fees - Grant,9593,Shrewsbury Colleges Group,8014326,45280,6089.66
Adult Education,32752,Provider Delivery Fees - Contract,9594,Netcom Training Ltd,8014328,45280,287790.69
West Midlands Cycle Hire,31578,Management Fees,9596,Serco Ltd,7044994,45261,118733.71
West Midlands Cycle Hire,31671,Revenue Contributions to Third Parties,9596,Serco Ltd,7044998,45281,3073.41
Adult Education,32752,Provider Delivery Fees - Contract,9598,Back 2 Work Complete Training Ltd,8014328,45280,4616.48
Adult Education,32752,Provider Delivery Fees - Contract,9601,Enterkey Training Ltd,8014328,45280,15840.65
Adult Education,32752,Provider Delivery Fees - Contract,9603,Challenge TRG Skills Limited,8014328,45280,13816.75
Adult Education,32752,Provider Delivery Fees - Contract,9603,Challenge TRG Skills Limited,8014329,45280,21095.95
Adult Education,32752,Provider Delivery Fees - Contract,9604,Release Potential Ltd,8014329,45280,85020.73
Adult Education,32751,Provider Delivery Fees - Grant,9612,Dudley Metropolitan Borough Council,8014326,45280,125526.17
Employment & Skills,31654,Hospitality Expenses,9613,University College Birmingham,7045291,45271,540
Adult Education,32751,Provider Delivery Fees - Grant,9613,University College Birmingham,8014326,45280,55258.18
Adult Education,32751,Provider Delivery Fees - Grant,9613,University College Birmingham,8014328,45280,2386.6
Adult Education,32751,Provider Delivery Fees - Grant,9614,The Workers Education Association,8014326,45280,62637
Adult Education,32751,Provider Delivery Fees - Grant,9614,The Workers Education Association,8014328,45280,917.67
Adult Education,32751,Provider Delivery Fees - Grant,9615,NCG trading as Kidderminster College,8014326,45280,5005.63
"Director of Policy, Strategy & Innovation",31768,Market Research,9623,Protel,7015231,45281,8890
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,9640,Durolas,7044931,45266,1911
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,9640,Durolas,7044920,45261,1522
Head of Operational Assets - Bus Stations,60395,Physical Construction,9640,Durolas,7044921,45261,2540
Head of Operational Assets - Bus Stations,60395,Physical Construction,9640,Durolas,7044932,45261,1608
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,9640,Durolas,7045201,45271,783
Construction Skills,32752,Provider Delivery Fees - Contract,9668,The Skills Centre,7045610,45281,9660
Sprint,60395,Physical Construction,9688,Morgan Sindall,7045499,45281,852791.1
UKSPF,31572,Consultants,9703,C&W Business Solutions,7045405,45274,12253.13
Industrial Strategy,31671,Revenue Contributions to Third Parties,9703,C&W Business Solutions,7045282,45274,242762.59
Mayoral Events,31767,Events / Exhibitions,9707,Sampad South Asian Arts & Heritage,7045204,45271,8520
Director of Network Resilience,60001,Project Support Costs,9743,Colas Limited,7045804,45281,133434.44
Sprint,60394,Traffic Management,9743,Colas Limited,7044879,45266,20340.17
Sprint,60615,Utilities Diversion,9743,Colas Limited,7044879,45266,4008.63
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044883,45261,795.91
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044884,45261,795.91
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044885,45261,1000
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044886,45261,1000
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044887,45261,1000
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044888,45261,1000
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044889,45261,1000
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7044890,45261,1000
CRSTS - Capital,60563,Local Authority CRSTS Costs,9799,Dudley MBC,3004104,45274,49370.85
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),9801,First Trenitalia West Coast Rail Limited,3004088,45266,13738.75
Director of Housing & Regeneration,31571,External Advice,9802,Cast Consult Ltd,7043467,45281,5963
Director of Housing & Regeneration,31571,External Advice,9802,Cast Consult Ltd,7044899,45281,16991
"Director of Policy, Strategy & Innovation",31571,External Advice,9825,Atkins Réalis UK Limited,7044710,45278,32000
Head of Swift,31571,External Advice,9825,Atkins Réalis UK Limited,7045127,45266,44957.5
Director of Midlands Connect,31571,External Advice,9825,Atkins Réalis UK Limited,7045693,45281,7810.2
Director of Midlands Connect,31571,External Advice,9825,Atkins Réalis UK Limited,7045694,45281,4700.67
Director of Midlands Connect,31571,External Advice,9825,Atkins Réalis UK Limited,7045695,45281,9920
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,9825,Atkins Réalis UK Limited,7045495,45274,14343.8
Head of Bus,60191,Design Works,9825,Atkins Réalis UK Limited,7045036,45266,2602
Head of Bus,60191,Design Works,9825,Atkins Réalis UK Limited,7045037,45266,3400
Head of Bus,60191,Design Works,9825,Atkins Réalis UK Limited,7045148,45266,53774.61
Director of Midlands Connect,31571,External Advice,9832,Censuswide Limited,7045384,45278,7300
Head of Finance & Business Planning,30961,Insurance,9837,Arthur J Gallagher Insurance Brokers Limited,7044914,45261,1000
Metro Director,30961,Insurance,9837,Arthur J Gallagher Insurance Brokers Limited,7045181,45271,1021.45
Metro Director,30961,Insurance,9837,Arthur J Gallagher Insurance Brokers Limited,7045182,45271,6606
Metro Director,30961,Insurance,9837,Arthur J Gallagher Insurance Brokers Limited,7045183,45271,11430.85
Delivery Director - Rail,60143,Insurance,9837,Arthur J Gallagher Insurance Brokers Limited,7045186,45266,22400
Delivery Director - Rail,60143,Insurance,9837,Arthur J Gallagher Insurance Brokers Limited,7045187,45266,34720
Delivery Director - Sustainable Transport,60395,Physical Construction,9847,M&A Doocey Civil Engineering Limited,7045482,45278,400813.75
Delivery Director - Sustainable Transport,60395,Physical Construction,9847,M&A Doocey Civil Engineering Limited,7045755,45281,335482.48
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,9854,Thorlux Lighting,7045659,45281,7618
Head of Operational Assets - Bus Stations,60395,Physical Construction,9854,Thorlux Lighting,7045712,45281,80000
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,9854,Thorlux Lighting,7045852,45281,2250
Commonwealth Games Legacy Fund,31572,Consultants,9878,ARTS COUNCIL ENGLAND,7044913,45261,3665.81
Director of Midlands Connect,31571,External Advice,9885,Leicester City Council,7045297,45274,25000
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9971,PJA Civil Engineering Limited,7042686,45266,3500
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7045289,45274,11121.56
