Cost Centre,Account,Expense Type,Supplier ID,Supplier Name,Trans No.,Payment Date,Amount excl. vat
Delivery Director - Rail,60391,Security Works,8001,Man Commercial Protection Ltd,7043701,45313,2044.62
Delivery Director - Rail,60391,Security Works,8001,Man Commercial Protection Ltd,7043751,45313,11011.75
Delivery Director - Rail,60391,Security Works,8001,Man Commercial Protection Ltd,7043752,45313,11696
Delivery Director - Rail,60391,Security Works,8001,Man Commercial Protection Ltd,7045046,45313,2720
Delivery Director - Rail,60391,Security Works,8001,Man Commercial Protection Ltd,7045047,45313,2720
Information Delivery Team,31770,Marketing,8105,Pindar Creative,7045860,45295,1471
Information Delivery Team,31770,Marketing,8105,Pindar Creative,7045861,45295,917.58
Delivery Director - Sustainable Transport,60820,Publicity and PR,8105,Pindar Creative,7045980,45295,656
Delivery Director - Sustainable Transport,60820,Publicity and PR,8105,Pindar Creative,7046998,45322,656
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7046327,45302,8632.63
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7046328,45306,3603.85
16 Summer Lane FM,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7046329,45306,501.23
Bromsgrove Rail Station,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7046767,45320,2500.47
Bromsgrove Rail Station,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7046791,45320,2500.47
Head of Operational Assets - Rail Car Parks,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7044927,45295,7987.5
Head of Operational Assets - Bus Stations,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7045867,45295,2040
Head of Operational Assets - Rail Car Parks,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7045958,45295,4500
Head of Operational Assets - Rail Car Parks,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7046014,45295,5011.2
Head of Operational Assets - Rail Car Parks,10286,Other Revenue Income,8138,Vernon Print and Design,7046611,45316,745
Metro Programme Director,60633,Tram Purchase Payments,8143,Construcciones Y Auxiliar De Ferrocarriles S.A.,7046031,45299,142104.61
Metro Programme Director,60633,Tram Purchase Payments,8143,Construcciones Y Auxiliar De Ferrocarriles S.A.,7046789,45322,1564533.3
Metro Programme Director,60633,Tram Purchase Payments,8143,Construcciones Y Auxiliar De Ferrocarriles S.A.,7046790,45322,1813525.49
ICT Project,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7046553,45316,16579.08
Head of IT Delivery,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7046667,45316,646.8
Metro Director,31571,External Advice,8274,ITS Testing Services UK Ltd,7046015,45320,1278.4
Metro Director,31571,External Advice,8274,ITS Testing Services UK Ltd,7046299,45320,1278.4
Metro Director,30661,Rents,8448,National Grid Electricity Distribution,7043199,45293,9273.4
Director of Network Resilience,60001,Project Support Costs,8512,CDC TECHNICAL SERVICES LTD,7045901,45299,870
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7045948,45302,2077.45
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7046021,45302,2077.45
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7046364,45313,1661.96
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7046390,45313,2077.45
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7046778,45322,2077.45
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7046779,45322,2077.45
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7046027,45302,6916.66
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7046237,45302,7287.48
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7046238,45302,9164.01
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7046239,45302,45000
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7046439,45306,19189.6
Ticketing Services Manager,31954,Concession Card Production,8620,EUCLID LTD,7042713,45295,2008.56
Head of IT Delivery,31608,Software Maintenance,8624,BYTES SOFTWARE SERVCIES LTD,7045956,45295,2390.4
Head of IT Delivery,31606,Hardware Maintenance,8674,Canon (UK) Ltd,7046269,45302,865.52
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7045885,45295,15465.56
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7046132,45299,9879.58
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7046353,45316,7920
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7046523,45316,5481.16
Metro Programme Director,60560,Network Rail Costs,8701,Network Rail Infrastructure Ltd,3004078,45316,1000
Director of Midlands Connect,30010,Secondee Costs,8703,Nottingham City Council,7046246,45302,12253.6
Director of Midlands Connect,31571,External Advice,8717,PA Consulting,7046985,45322,25000
Head of Swift,60110,Financial & Commerical Advice,8717,PA Consulting,7046278,45302,9500
Head of Swift,60110,Financial & Commerical Advice,8717,PA Consulting,7046280,45302,22500
Metro Programme Director,60393,Early Contractor Involvement,8725,Colas Rail Limited,7046761,45316,5138929.34
Metro Programme Director,60191,Design Works,8747,Pell Frischmann,7045957,45294,659081.39
Head of Network Transformation,60191,Design Works,8747,Pell Frischmann,7046300,45320,5771.97
Head of Network Transformation,60191,Design Works,8747,Pell Frischmann,7046532,45320,7500
Head of Network Transformation,60191,Design Works,8747,Pell Frischmann,7046657,45320,7300
Metro Programme Director,60191,Design Works,8747,Pell Frischmann,7046897,45322,493090.99
Industrial Strategy,31572,Consultants,8782,University of Birmingham,7046224,45302,1736.11
Executive Director WMRE,31671,Revenue Contributions to Third Parties,8782,University of Birmingham,7046597,45313,39958.2
Director of Midlands Connect,31767,Events / Exhibitions,8782,University of Birmingham,7045715,45302,5100
Metro Programme Director,60801,IT Software - Capital,8786,Tractivity,7046173,45320,12000
Cycling for Everyone,31671,Revenue Contributions to Third Parties,8817,Solihull MBC,3004265,45320,96439.73
Events & Stakeholder,31767,Events / Exhibitions,8821,Buffet Express,7046903,45322,1545.5
Cycling for Everyone,31571,External Advice,8829,Phil Jones Associates Limited,7046019,45295,4995
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7045779,45295,2000
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7046267,45302,2101.2
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7046684,45316,2000
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,8832,RW Services Contractors Ltd,7044973,45322,3106.62
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7045865,45295,2374.43
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7045866,45299,9934.15
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7046533,45313,828.56
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7046583,45313,999.16
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7046672,45316,8413.95
Head of Network Transformation,60191,Design Works,8872,Arcadis LLP,7046582,45320,28001.33
Head of Network Transformation,60191,Design Works,8872,Arcadis LLP,7046624,45320,19136
16 Summer Lane FM,31541,Printing & Office Supplies,8884,Banner Group Limited,7046217,45316,804.76
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045470,45320,939.95
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046454,45320,607.6
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046455,45320,1081.98
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046457,45320,1174.41
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046458,45313,6449.18
Bromsgrove Rail Station,30601,Electricity,8892,Total Energies Gas and Power Limited,7046459,45313,5518.48
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046460,45320,577.34
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046467,45320,4314.97
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046476,45316,2155.19
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7046487,45316,1038.9
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7046488,45322,59332.22
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046489,45316,5650.47
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046490,45316,11363.33
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7046491,45313,12915.27
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046492,45320,716.18
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046494,45316,3663.49
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046495,45320,2990.28
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046498,45316,2510.73
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046500,45316,640.28
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7046505,45320,4065.57
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046510,45320,858.98
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046511,45320,502.88
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7046513,45316,6751.99
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7046514,45316,54306.03
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7046515,45320,3829.35
16 Summer Lane FM,30602,Gas,8892,Total Energies Gas and Power Limited,7046473,45313,5940.72
Head of Operational Assets - Bus Stations,30602,Gas,8892,Total Energies Gas and Power Limited,7046475,45316,798
Head of Operational Assets - Bus Stations,30602,Gas,8892,Total Energies Gas and Power Limited,7046524,45316,632.11
Head of Governance,31577,Professional Advice,8897,Trowers and Hamlins LLP,7046174,45299,10000
Head of Governance,31577,Professional Advice,8897,Trowers and Hamlins LLP,7046175,45299,10000
Director of Housing & Regeneration,60001,Project Support Costs,8897,Trowers and Hamlins LLP,7045863,45302,21875.5
Head of Swift,60141,Legal Advice,8897,Trowers and Hamlins LLP,7045899,45295,4873
"Director of Policy, Strategy & Innovation",60141,Legal Advice,8897,Trowers and Hamlins LLP,7046599,45313,6852
"Director of Policy, Strategy & Innovation",60141,Legal Advice,8897,Trowers and Hamlins LLP,7046600,45313,6852
Delivery Director - Metro,31571,External Advice,8912,Railway & Tramway Engineering Ltd,7045090,45299,2250
Accessible Transport - Customer Service,30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7046371,45313,1743.17
Accessible Transport - Customer Service,30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7046372,45313,1767.55
Bus Service Improvement Plan (BSIP),30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7046373,45313,1645.65
Accessible Transport - Customer Service,30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7046376,45313,914.25
Bus Service Improvement Plan (BSIP),30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7046438,45313,1097.1
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7045614,45295,2559.9
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7045937,45299,2742.75
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7045978,45299,3119.93
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7046374,45313,1813.45
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7046396,45313,2466.69
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7046636,45322,3022.41
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7046784,45322,2754.23
Director of Integrated Network Services,31571,External Advice,8935,Addleshaw Goddard LLP,7045975,45295,101165.83
Concessions Schemes,31963,Concessionary Sch Mgt Costs,8935,Addleshaw Goddard LLP,7046035,45302,2414.2
Delivery Director - Rail,60141,Legal Advice,8935,Addleshaw Goddard LLP,7039558,45316,4197
Delivery Director - Rail,60141,Legal Advice,8935,Addleshaw Goddard LLP,7043637,45316,5396.4
Delivery Director - Rail,60141,Legal Advice,8935,Addleshaw Goddard LLP,7045753,45295,15347.75
Delivery Director - Rail,60141,Legal Advice,8935,Addleshaw Goddard LLP,7045947,45295,7501
Delivery Director - Rail,60141,Legal Advice,8935,Addleshaw Goddard LLP,7046005,45295,13015.5
Director of Network Resilience,31571,External Advice,8946,Civica UK Limited,7046176,45316,4750
Director of Midlands Connect,30661,Rents,8967,Anglo Scandinavian Estates 4 LLP,7045968,45302,12676.12
Director of Midlands Connect,30661,Rents,8967,Anglo Scandinavian Estates 4 LLP,7046409,45313,12676.12
Director of Midlands Connect,30661,Rents,8967,Anglo Scandinavian Estates 4 LLP,7046726,45322,6154.52
Adult Education,32751,Provider Delivery Fees - Grant,8978,City of Wolverhampton Council,8014739,45314,273603.17
Adult Education,32751,Provider Delivery Fees - Grant,8978,City of Wolverhampton Council,8014740,45314,1004.87
Metro Programme Director,60394,Traffic Management,8978,City of Wolverhampton Council,7046825,45322,2141
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),8981,West Midlands Trains Limited,3004183,45295,139994.26
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),8981,West Midlands Trains Limited,3004273,45322,139994.26
16 Summer Lane FM,30502,Routine Maintenance,9022,Gary Boyce Contracts LTD,7045859,45295,528.34
Director of Network Resilience,60632,Infrastructure Enhancements,9022,Gary Boyce Contracts LTD,7045668,45299,5082.82
"Director of Policy, Strategy & Innovation",60054,Investigations and Surveys,9023,Nationwide Data Collection,7046578,45313,9750
"Director of Policy, Strategy & Innovation",60054,Investigations and Surveys,9023,Nationwide Data Collection,7046579,45313,38020
Metro Director,31571,External Advice,9071,Midland Metro Ltd,7046614,45316,4877.84
Concessions Schemes,32430,Child Travel Pass Concession,9071,Midland Metro Ltd,40607,45313,1870
Metro Programme Director,60001,Project Support Costs,9071,Midland Metro Ltd,7046616,45316,1955.25
Metro Programme Director,60870,Training,9071,Midland Metro Ltd,7046615,45316,1500
Metro Director,31572,Consultants,9076,JFN Engineering,7046709,45316,1466.67
UKSPF,31572,Consultants,9078,Warwick university,7046255,45302,19085
Head of Organisational Development,30114,Occupational Health,9087,BHSF Group Limited,7046282,45302,1784.17
Head of Organisational Development,30114,Occupational Health,9087,BHSF Group Limited,7046794,45320,1350
UKSPF,31767,Events / Exhibitions,9097,Millennium Point,7046722,45320,911.4
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046052,45299,2383.44
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046053,45299,795.47
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046054,45299,2772.04
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046062,45299,6587.84
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046076,45299,683.96
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046077,45299,3124.28
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046078,45299,1251.4
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046560,45313,24266.67
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046561,45313,29866.66
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046562,45313,31733.33
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046563,45313,25200
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046564,45313,22400
Metro Programme Director,60143,Insurance,9101,Marsh JLT Speciality Ltd,7046762,45316,204393.25
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7046118,45316,1205.43
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7046184,45316,2476.41
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7046320,45316,1530.42
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7046554,45316,2629.59
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7046715,45316,2508.15
Head of Governance,30008,Agency Staff ( Established Posts),9104,Sellick Partnership Limited,7046974,45322,2886.96
Metro Programme Director,60820,Publicity and PR,9113,Vuelio,7046323,45302,10494.97
Delivery Director - Sustainable Transport,60800,IT Hardware - Capital,9125,Riskonnect Active Risk Limited,7046242,45302,5700
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7045025,45295,584.61
16 Summer Lane FM,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7046102,45299,569.62
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7046105,45299,584.61
Head of Operational Assets - Bus Stations,30881,Removal of Refuse,9130,Biffa Waste Services Ltd,7046106,45299,554.63
Delivery Director - Rail,60111,Land Advice,9151,Gateley Hamer,7044565,45295,3894
IPS Programme,32752,Provider Delivery Fees - Contract,9156,Shaw Trust,7046340,45302,546870.9
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,9172,DABS Ltd,7046670,45316,1400
Director of Housing & Regeneration,31571,External Advice,9177,Thomas Lister ltd,7046216,45302,6000
Metro Programme Director,60392,Enabling Works,9179,CPC Civils,7046723,45322,24649.88
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7045924,45295,3280
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7046164,45302,3116
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7046645,45316,3280
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),9183,Waterman Aspen,7046801,45320,3280
Future Mobility Zone to FTZ – DRT University of Warwick,31571,External Advice,9183,Waterman Aspen,7046820,45322,2400
Managing Director for TfWM,31572,Consultants,9183,Waterman Aspen,7046110,45299,750
Head of Swift,31572,Consultants,9183,Waterman Aspen,7046644,45313,8152
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7045925,45295,2400
Delivery Director - Sustainable Transport,60001,Project Support Costs,9183,Waterman Aspen,7045927,45295,5332
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7045928,45295,2400
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7046163,45299,2400
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7046166,45299,2400
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7046647,45313,2160
Metro Programme Director,60001,Project Support Costs,9183,Waterman Aspen,7046717,45316,2400
Sprint,60001,Project Support Costs,9183,Waterman Aspen,7046802,45322,2160
Head of Bus,60001,Project Support Costs,9183,Waterman Aspen,7046810,45322,500.4
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,9183,Waterman Aspen,7045926,45295,6030
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,9183,Waterman Aspen,7046165,45299,1656
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,9183,Waterman Aspen,7046646,45313,1008
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40604,45313,69839.79
Tendered Bus Services,32425,Subsidised Services,9191,Kevs Cars & Coaches,40605,45313,23279.93
Adult Education,32751,Provider Delivery Fees - Grant,9237,SOUTH & CITY COLLEGE BIRMINGHAM,8014739,45314,1878159.08
Adult Education,32751,Provider Delivery Fees - Grant,9237,SOUTH & CITY COLLEGE BIRMINGHAM,8014740,45314,52708.93
Adult Education,32751,Provider Delivery Fees - Grant,9238,BIRMINGHAM METROPOLITAN COLLEGE,8014739,45314,688487.74
Adult Education,32751,Provider Delivery Fees - Grant,9238,BIRMINGHAM METROPOLITAN COLLEGE,8014740,45314,26905.36
Adult Education,32751,Provider Delivery Fees - Grant,9240,SANDWELL COLLEGE,8014739,45314,375150.67
Adult Education,32751,Provider Delivery Fees - Grant,9240,SANDWELL COLLEGE,8014740,45314,28831.15
Adult Education,32751,Provider Delivery Fees - Grant,9241,DUDLEY COLLEGE,8014739,45314,449578.28
Adult Education,32751,Provider Delivery Fees - Grant,9241,DUDLEY COLLEGE,8014740,45314,47159.79
Adult Education,32751,Provider Delivery Fees - Grant,9242,WALSALL COLLEGE,8014739,45314,610815.17
Adult Education,32751,Provider Delivery Fees - Grant,9242,WALSALL COLLEGE,8014740,45314,152845.02
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,7046996,45322,20000
Commonwealth Games Legacy Fund,31770,Marketing,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,7046996,45322,2000
Adult Education,32751,Provider Delivery Fees - Grant,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,8014739,45314,454693
Adult Education,32751,Provider Delivery Fees - Grant,9243,SOLIHULL COLLEGE AND UNIVERSITY CENTRE,8014740,45314,16066.17
Director of Housing & Regeneration,31571,External Advice,9248,Savills,7046571,45316,3950
Adult Education,32751,Provider Delivery Fees - Grant,9249,fircroft college,8014739,45314,170767.5
Adult Education,32751,Provider Delivery Fees - Grant,9249,fircroft college,8014740,45314,26115.48
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045331,45306,14263.86
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045797,45295,188033.44
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045805,45295,107838.68
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045808,45302,170436.91
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045809,45295,8169.8
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7045811,45295,18587.72
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046642,45313,79763.83
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046643,45313,128888.27
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046688,45316,5037.48
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046945,45322,8967.58
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046967,45322,12294.24
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046969,45322,585.42
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046972,45322,3001.92
Delivery Director - Rail,60194,Transport Planning,9260,SLC Aecom JV,7046973,45322,2078.19
Adult Education,32751,Provider Delivery Fees - Grant,9273,Heart of Worcester College Redditch,8014739,45314,108582.17
Adult Education,32751,Provider Delivery Fees - Grant,9273,Heart of Worcester College Redditch,8014740,45314,4471.44
Adult Education,32751,Provider Delivery Fees - Grant,9288,Coventry College,8014739,45314,298702.17
Adult Education,32751,Provider Delivery Fees - Grant,9288,Coventry College,8014740,45314,14533.13
Adult Education,32751,Provider Delivery Fees - Grant,9289,South Staffordshire College,8014739,45314,23904.67
Adult Education,32751,Provider Delivery Fees - Grant,9289,South Staffordshire College,8014740,45314,1356.3
Adult Education,32751,Provider Delivery Fees - Grant,9290,Joseph Chamberlain Sixth Form College,8014739,45314,201726.5
Adult Education,32751,Provider Delivery Fees - Grant,9293,Halesowen College,8014739,45314,118027
Adult Education,32751,Provider Delivery Fees - Grant,9293,Halesowen College,8014740,45314,73011.24
Adult Education,32751,Provider Delivery Fees - Grant,9294,Telford College,8014739,45314,221174.63
Adult Education,32751,Provider Delivery Fees - Grant,9297,Hereward College,8014739,45314,6932.67
Adult Education,32751,Provider Delivery Fees - Grant,9297,Hereward College,8014740,45314,625.07
Adult Education,32751,Provider Delivery Fees - Grant,9298,North Warwickshire and South Leicestershire Colleg,8014739,45314,73495.67
Adult Education,32751,Provider Delivery Fees - Grant,9298,North Warwickshire and South Leicestershire Colleg,8014740,45314,723.66
Director of Network Resilience,31571,External Advice,9305,Liquid Public Relations Limited,7046247,45313,3200
Adult Education,32752,Provider Delivery Fees - Contract,9311,Pilot IMS Limited,8014740,45314,40505.03
Construction Skills,32752,Provider Delivery Fees - Contract,9371,RMF Construction,7046334,45302,7058.33
Adult Education,32751,Provider Delivery Fees - Grant,9379,Warwickshire College Group,8014739,45314,31438.1
Adult Education,32751,Provider Delivery Fees - Grant,9379,Warwickshire College Group,8014741,45314,890.44
Internal Communications,31610,Mobile Computing,9409,Invotra,7046092,45306,2278.74
Director of Housing & Regeneration,60001,Project Support Costs,9422,Freeths LLP (Client Account),7046214,45302,4201.6
Director of Housing & Regeneration,60141,Legal Advice,9422,Freeths LLP (Client Account),7046214,45302,4893.5
Head of Governance,31577,Professional Advice,9424,Eversheds Sutherland - Client Account,7046541,45313,16477
Head of Governance,31577,Professional Advice,9424,Eversheds Sutherland - Client Account,7046542,45313,3645
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7045930,45295,1440
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7045931,45295,587.5
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7045932,45295,13775
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7045959,45295,6122
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7045960,45295,1890
Director of Housing & Regeneration,31571,External Advice,9446,Amion Consulting Ltd,7046036,45302,3901.5
Metro Programme Director,60050,Feasibility Studies,9446,Amion Consulting Ltd,7045929,45295,7000
Metro Programme Director,60050,Feasibility Studies,9446,Amion Consulting Ltd,7045933,45295,2000
Metro Programme Director,60050,Feasibility Studies,9446,Amion Consulting Ltd,7045934,45295,3000
Metro Programme Director,60050,Feasibility Studies,9446,Amion Consulting Ltd,7045961,45299,4715
Bus Stations Operations,60820,Publicity and PR,9460,Bizz Creative,7046322,45322,1225.7
Director of Housing & Regeneration,31571,External Advice,9501,Avison Young,7046254,45302,3000
Director of Housing & Regeneration,31571,External Advice,9501,Avison Young,7046262,45302,680
Director of Housing & Regeneration,31571,External Advice,9501,Avison Young,7046263,45302,1190
Business Energy Advice Service (BEAS),31770,Marketing,9546,Koala,7045938,45306,4785
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7045791,45295,14336
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7045792,45295,7168
Executive Director WMRE,60001,Project Support Costs,9560,Faithful+Gould,7045793,45295,7538
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7045794,45295,16280
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7045973,45295,12544
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7045988,45295,8800
Sprint,60001,Project Support Costs,9560,Faithful+Gould,7045989,45302,11077.95
Delivery Director - Rail,60001,Project Support Costs,9560,Faithful+Gould,7046675,45320,9680
ICT Project,31603,IT Hardware,9575,Sumillion,7046333,45322,52594.21
Head of IT Delivery,31603,IT Hardware,9575,Sumillion,7046521,45313,1726.5
Sprint,60800,IT Hardware - Capital,9581,thinkproject UK Limited,7046512,45313,4950
Director of Development & Delivery,60801,IT Software - Capital,9581,thinkproject UK Limited,7045699,45295,2168.1
