Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRACKNELL FOREST DC,3700287970,Grant payable by the Exchequer,RG12 1JD,"£669,010.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRADFORD MBC,3700287332,Grant payable by the Exchequer,BD1 1HX,"£1,949,025.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRADFORD MBC,3700287515,Grant payable by the Exchequer,BD1 1HX,"£4,335,103.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRADFORD MBC,3700287615,Grant payable by the Exchequer,BD1 1HX,"£837,525.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRADFORD MBC,3700287670,Grant payable by the Exchequer,BD1 1HX,"£455,418.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRADFORD MBC,3700288023,Grant payable by the Exchequer,BD1 1HX,"£4,007,399.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRAINTREE DC,3700288028,Grant payable by the Exchequer,CM7 9HB,"£449,348.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRECKLAND DC,3700288174,Grant payable by the Exchequer,NR19 1EE,"£411,088.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRENT LB,3700287391,Grant payable by the Exchequer,HA9 0FJ,"£259,848.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRENT LB,3700287449,Grant payable by the Exchequer,HA9 0FJ,"£489,649.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRENT LB,3700287604,Grant payable by the Exchequer,HA9 0FJ,"£2,433,925.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRENT LB,3700287718,Grant payable by the Exchequer,HA9 0FJ,"£1,112,058.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRENT LB,3700287784,Grant payable by the Exchequer,HA9 0FJ,"£2,409,943.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRENTWOOD BC,3700288236,Grant payable by the Exchequer,CM15 8AY,"£237,215.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRIGHTON & HOVE CC,3700288206,Grant payable by the Exchequer,BN1 3JE,"£2,425,829.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRIGHTON & HOVE CITY COUNCIL,3700287240,Grant payable by the Exchequer,BN1 3JE,"£788,259.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRIGHTON & HOVE CITY COUNCIL,3700287454,Grant payable by the Exchequer,BN1 3JE,"£447,949.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRIGHTON & HOVE CITY COUNCIL,3700287484,Grant payable by the Exchequer,BN1 3JE,"£1,961,269.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRIGHTON & HOVE CITY COUNCIL,3700287488,Grant payable by the Exchequer,BN1 3JE,"£184,188.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700287248,Grant payable by the Exchequer,BS3 9FS,"£3,477,158.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700287390,Grant payable by the Exchequer,BS3 9FS,"£739,509.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700287393,Grant payable by the Exchequer,BS3 9FS,"£331,330.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700287715,Grant payable by the Exchequer,BS3 9FS,"£1,417,977.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700288041,Grant payable by the Exchequer,BS99 7BL,"£4,425,528.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROADLAND DC,3700287908,Grant payable by the Exchequer,NR7 0DU,"£344,731.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROMLEY LB,3700287289,Grant payable by the Exchequer,BR1 3UH,"£434,020.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROMLEY LB,3700287421,Grant payable by the Exchequer,BR1 3UH,"£150,529.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROMLEY LB,3700287610,Grant payable by the Exchequer,BR1 3UH,"£1,750,014.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROMLEY LB,3700287721,Grant payable by the Exchequer,BR1 3UH,"£644,210.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROMLEY LB,3700288326,Grant payable by the Exchequer,BR1 3UH,"£1,233,961.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROMSGROVE DC,3700288047,Grant payable by the Exchequer,B60 1AA,"£277,312.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROXBOURNE BOROUGH COUNCIL,3700287755,Grant payable by the Exchequer,EN8 9XQ,"£283,088.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BROXTOWE BC,3700288229,Grant payable by the Exchequer,NG9 1AB,"£255,732.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Buckinghamshire Council,3700287890,Grant payable by the Exchequer,HP19 8FF,"£2,638,222.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BUCKINGHAMSHIRE COUNCIL,3700287144,Grant payable by the Exchequer,HP19 8FF,"£98,155.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BUCKINGHAMSHIRE COUNCIL,3700287305,Grant payable by the Exchequer,HP19 8FF,"£609,335.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BUCKINGHAMSHIRE COUNCIL,3700287330,Grant payable by the Exchequer,HP19 8FF,"£420,069.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BUCKINGHAMSHIRE COUNCIL,3700287499,Grant payable by the Exchequer,HP19 8FF,"£2,460,829.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BUCKS & MILTON KEYNES FIRE AUTH,3700288284,Grant payable by the Exchequer,HP20 1BD,"£139,749.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BURNLEY BC,3700287988,Grant payable by the Exchequer,BB11 1JA,"£306,224.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BURY MBC,3700287235,Grant payable by the Exchequer,BL9 0SW,"£635,704.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BURY MBC,3700287325,Grant payable by the Exchequer,BL9 0SW,"£1,382,933.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BURY MBC,3700287547,Grant payable by the Exchequer,BL9 0SW,"£297,759.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BURY MBC,3700287726,Grant payable by the Exchequer,BL9 0SW,"£148,541.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BURY MBC,3700287819,Grant payable by the Exchequer,BL9 0SP,"£1,669,440.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CALDERDALE MBC,3700287157,Grant payable by the Exchequer,HX1 1YP,"£335,642.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CALDERDALE MBC,3700287288,Grant payable by the Exchequer,HX1 1YP,"£703,034.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CALDERDALE MBC,3700287455,Grant payable by the Exchequer,HX1 1YP,"£164,274.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CALDERDALE MBC,3700287655,Grant payable by the Exchequer,HX1 1YP,"£1,627,291.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CALDERDALE MBC,3700288401,Grant payable by the Exchequer,HX1 1YP,"£1,412,710.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBRIDGE CNCL,3700287935,Grant payable by the Exchequer,CB1 0JH,"£606,454.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700287255,Grant payable by the Exchequer,CB3 0AP,"£847,313.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700287542,Grant payable by the Exchequer,CB3 0AP,"£3,468,071.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700287635,Grant payable by the Exchequer,CB3 0AP,"£295,416.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700287741,Grant payable by the Exchequer,CB3 0AP,"£1,264,275.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700287847,Grant payable by the Exchequer,CB3 0AP,"£1,493,726.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMBS & PETERBOROUGH FIRE AUTHORITY,3700288259,Grant payable by the Exchequer,PE29 2NA,"£161,682.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CAMDEN LB,3700287205,Grant payable by the Exchequer,N1C 4AG,"£250,684.00",Yes,Local Government & Public Services,Nico Heslop
