Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKPOOL BC,3700287636,Grant payable by the Exchequer,FY1 1NA,"£906,277.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKPOOL BC,3700288040,Grant payable by the Exchequer,FY1 1NA,"£1,437,533.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOLSOVER DC,3700288389,Grant payable by the Exchequer,S43 4JY,"£208,238.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOLTON MBC,3700287267,Grant payable by the Exchequer,BL1 1RU,"£1,239,597.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOLTON MBC,3700287297,Grant payable by the Exchequer,BL1 1RU,"£2,660,338.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOLTON MBC,3700287608,Grant payable by the Exchequer,BL1 1RU,"£506,808.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOLTON MBC,3700287620,Grant payable by the Exchequer,BL1 1RU,"£289,650.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOLTON MBC,3700288315,Grant payable by the Exchequer,BL1 1RU,"£2,658,498.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BOSTON BC,3700288127,Grant payable by the Exchequer,PE21 8QR,"£227,581.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRACKNELL FOREST DC,3700287452,Grant payable by the Exchequer,RG12 1AQ,"£29,693.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRACKNELL FOREST DC,3700287456,Grant payable by the Exchequer,RG12 1AQ,"£131,919.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRACKNELL FOREST DC,3700287629,Grant payable by the Exchequer,RG12 1AQ,"£534,935.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRACKNELL FOREST DC,3700287696,Grant payable by the Exchequer,RG12 1AQ,"£127,073.00",Yes,Local Government & Public Services,Nico Heslop
