Auth,Proclass,Supplier,Date,Dept,Invoiced
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,22135
Bury Metropolitan Borough Council,Education,Bolton College,45097,Children & Young People,43371.5
Bury Metropolitan Borough Council,Education,British Youth Council,45105,Children & Young People,630
Bury Metropolitan Borough Council,Education,Cedar House School,45083,Children & Young People,19004.4
Bury Metropolitan Borough Council,Education,CLEAPSS,45091,Children & Young People,1946.56
Bury Metropolitan Borough Council,Education,Compass Alternative Learning & Mentoring Provision Ltd,45079,Children & Young People,840
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45082,Children & Young People,6263.35
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45082,Children & Young People,9077.25
Bury Metropolitan Borough Council,Education,Cumberland & Westmorland Schools Ltd,45082,Children & Young People,9312.47
Bury Metropolitan Borough Council,Education,Digital Advantage,45106,Children & Young People,4000
Bury Metropolitan Borough Council,Education,Elizabeth Haddock,45096,Children & Young People,950
Bury Metropolitan Borough Council,Education,Flourish Tuition Ltd,45090,Children & Young People,2210
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,3868.84
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,3909.6
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,3909.6
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,4039.84
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,4072.5
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,4307.14
Bury Metropolitan Borough Council,Education,Fusion Fostering Ltd,45098,Children & Young People,5490
Bury Metropolitan Borough Council,Education,Global Mediation Ltd,45097,Children & Young People,2200
