Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1506.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.92
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3718.23
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2504.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2207.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,795.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2922.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1506.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,5844.72
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1506.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1339.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1004.6
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1650.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,8349.6
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,532.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,5566.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1004.6
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3154.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1506.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2047.64
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,6142.92
