Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Residential,Support with Memory and Cognition,01/08/2023,1896.88,£0.00,Redacted - personal info,221003,Revenue,STC181628
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/08/2023,1897.00,£0.00,Flexible Support Options Limited,221004,Revenue,STC181629
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,01/08/2023,1926.00,£0.00,Stannah Lift Services Ltd,819000,Capital,STC181642
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Leisure Facilities,01/08/2023,2005.90,£0.00,TSUK Interiors Limited,232822,Revenue,STC181686
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2166.00,£0.00,Redacted - personal info,213800,Revenue,STC181739
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2166.00,£0.00,Redacted - personal info,213800,Revenue,STC181740
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2166.00,£0.00,Redacted - personal info,213800,Revenue,STC181741
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2186.00,£0.00,Redacted - personal info,213800,Revenue,STC181755
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2186.00,£0.00,Redacted - personal info,213800,Revenue,STC181756
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2255.58,£0.00,Redacted - personal info,213800,Revenue,STC181780
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2272.00,£0.00,Redacted - personal info,213800,Revenue,STC181792
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2272.00,£0.00,Redacted - personal info,213800,Revenue,STC181793
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2272.00,£0.00,Redacted - personal info,213800,Revenue,STC181794
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2411.00,£0.00,Redacted - personal info,213800,Revenue,STC181833
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2482.00,£0.00,Redacted - personal info,213800,Revenue,STC181850
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2534.00,£0.00,Redacted - personal info,213800,Revenue,STC181867
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,01/08/2023,2635.68,£0.00,Care Outcomes UK Ltd,221001,Revenue,STC181897
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2696.00,£0.00,Redacted - personal info,213800,Revenue,STC181913
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2811.00,£0.00,Redacted - personal info,213800,Revenue,STC181945
