Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business and Resources,Civic Events,Furniture & Equipment - General,01/06/23,-43.67,£0.00,Amznmktplace Amazon.Co,232200,Revenue,10916605535
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Horsley Hill Campus,Catering Provisions,01/06/23,288.37,£0.00,Hopwells Ltd,217355,Revenue,10916605693
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Valley View JMI Kitchen,Catering Provisions,01/06/23,363.69,£0.00,Hopwells Ltd,217470,Revenue,10916605719
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Hebburn Comp Kitchen,Catering Provisions,01/06/23,559.95,£0.00,Hopwells Ltd,217540,Revenue,10916605749
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Quarriers,Client Holidays & Outings,01/06/23,10.00,£0.00,Tynemouth Park,224221,Revenue,10916605493
South Tyneside Council,00CL,Economic Regeneration Group,Housing Policy,DLUHC Homeless Prevention Grant,01/06/23,63.33,£0.00,Premier Inn,236560,Revenue,10916605519
South Tyneside Council,00CL,Business and Resources,Marketing Team,Non Staff Advertising,01/06/23,84.00,£0.00,Istock.Com,236000,Revenue,10916605543
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Jarrow Cross Kitchen,Catering Provisions,01/06/23,290.88,£0.00,Hopwells Ltd,217255,Revenue,10916605673
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Section 17 Payments (Assessment),Accommodation Costs,01/06/23,-610.50,£0.00,Premier Inn,212610,Revenue,10916605569
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Biddick Hall Jnr Kitchen,Catering Provisions,01/06/23,-8.77,£0.00,Hopwells Ltd,217345,Revenue,10916605593
South Tyneside Council,00CL,"Childrens, Adults & Families Group",East Boldon Jnr Kitchen,Catering Provisions,01/06/23,247.73,£0.00,Hopwells Ltd,217295,Revenue,10916605617
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Harton Jnr Kitchen,Catering Provisions,01/06/23,291.14,£0.00,Hopwells Ltd,217410,Revenue,10916605645
South Tyneside Council,00CL,"Childrens, Adults & Families Group",All Saints CE JMI Kitchen,Catering Provisions,01/06/23,15.36,£0.00,Hopwells Ltd,217325,Revenue,10916605669
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Bedeburn JMI Kitchen,Catering Provisions,01/06/23,73.46,£0.00,Hopwells Ltd,217435,Revenue,10916605585
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Forest View Primary Kitchen,Catering Provisions,01/06/23,330.39,£0.00,Hopwells Ltd,217310,Revenue,10916605625
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Hebburn Lakes Primary School Kitchen,Catering Provisions,01/06/23,293.00,£0.00,Hopwells Ltd,217553,Revenue,10916605649
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Fellgate Jnr Kitchen,Catering Provisions,01/06/23,92.44,£0.00,Hopwells Ltd,217340,Revenue,10916605637
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Cleadon JMI Kitchen,Catering Provisions,01/06/23,207.30,£0.00,Hopwells Ltd,217475,Revenue,10916605605
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Day Care clstr 4 Horsley Hill,Catering Provisions,01/06/23,3.50,£0.00,Co-Op Group Food,215455,Revenue,10916605563
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Biddick Hall Jnr Kitchen,Catering Provisions,01/06/23,99.69,£0.00,Hopwells Ltd,217345,Revenue,10916605589
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Dunn St JMI Kitchen,Catering Provisions,01/06/23,222.23,£0.00,Hopwells Ltd,217370,Revenue,10916605611
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Forest View Primary Kitchen,Catering Provisions,01/06/23,-51.93,£0.00,Hopwells Ltd,217310,Revenue,10916605633
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Hedworthfield JMI Kitchen,Catering Provisions,01/06/23,120.28,£0.00,Hopwells Ltd,217320,Revenue,10916605655
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Marine Park JMI Kitchen,Catering Provisions,01/06/23,187.86,£0.00,Hopwells Ltd,217380,Revenue,10916605681
