Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,684.00,£0.00,Redacted - personal info,220800,Revenue,STC186197
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,685.28,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186199
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,693.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186208
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,693.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186209
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,693.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186210
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,705.90,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186243
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,705.90,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186244
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Advisors & Consultants Fees,South Shields Town Centre Regen,03-Oct-2023,720.00,£0.00,Virgin Media Ltd,828512,Capital,STC186263
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,738.00,£0.00,Redacted - personal info,220800,Revenue,STC186298
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,738.00,£0.00,Redacted - personal info,220800,Revenue,STC186299
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,778.88,£0.00,Redacted - personal info,220800,Revenue,STC186366
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,778.88,£0.00,Redacted - personal info,220800,Revenue,STC186367
