query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,701603,Arnold Clark Finance Limited,77.74,R3200,Hire of Vehicles,30/05/2023,191149937,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,402.64,R3200,Hire of Vehicles,15/05/2023,191143797,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,24/05/2023,191148847,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,547.44,R3200,Hire of Vehicles,15/05/2023,191143792,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,15/05/2023,191143795,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,15/05/2023,191143794,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,15/05/2023,191143791,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,41.44,R3200,Hire of Vehicles,30/05/2023,191149931,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,23/05/2023,191147847,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,209.95,R3200,Hire of Vehicles,24/05/2023,191148846,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,85.94,R3200,Hire of Vehicles,30/05/2023,191149939,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,156.54,R3200,Hire of Vehicles,30/05/2023,191149942,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,346.36,R3200,Hire of Vehicles,15/05/2023,191143798,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,23/05/2023,191146858,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,355.36,R3200,Hire of Vehicles,30/05/2023,191149938,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,23/05/2023,191146861,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,23.44,R3200,Hire of Vehicles,30/05/2023,191149944,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,23/05/2023,191146862,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,402.64,R3200,Hire of Vehicles,23/05/2023,191146859,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,46.88,R3200,Hire of Vehicles,30/05/2023,191149945,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,63.00,R3200,Hire of Vehicles,15/05/2023,191143801,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,30/05/2023,191149941,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,104.70,R3200,Hire of Vehicles,23/05/2023,191147845,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,38.59,R3200,Hire of Vehicles,24/05/2023,191148844,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,23/05/2023,191147846,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,23.44,R3200,Hire of Vehicles,24/05/2023,191148845,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,279.48,R3200,Hire of Vehicles,15/05/2023,191143790,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,47.59,R3200,Hire of Vehicles,30/05/2023,191149936,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,68.28,R3200,Hire of Vehicles,30/05/2023,191149933,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,15/05/2023,191143793,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,15/05/2023,191143796,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,93.40,R3200,Hire of Vehicles,15/05/2023,191143799,Fleet Services,Fleet Management
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,241.78,R4102,Provisions (Resale),10/05/2023,130387549,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,"12,268.22",R4102,Provisions (Resale),18/05/2023,130387553,Catering,Education Catering  General Overheads
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,570.06,R4102,Provisions (Resale),10/05/2023,130387550,Catering,Civic Centre Catering
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,474.96,R4102,Provisions (Resale),10/05/2023,130387551,Catering,Meals on Wheels
INSERTED DETAIL,701643,Ashdown Supplies,593.80,R4007,Materials,16/05/2023,130388280,Bereavement Services,Crematorium
INSERTED DETAIL,701680,Associated  Radio Taxi's,414.00,R3042,Client Transport,04/05/2023,130388282,Transportation,Special  Transport
INSERTED DETAIL,701680,Associated  Radio Taxi's,166.65,R3042,Client Transport,04/05/2023,130388283,Transportation,Special  Transport
INSERTED DETAIL,701680,Associated  Radio Taxi's,615.20,R3042,Client Transport,04/05/2023,130388284,Transportation,Special  Transport
INSERTED DETAIL,701680,Associated  Radio Taxi's,900.00,R3042,Client Transport,04/05/2023,130388281,Transportation,Special  Transport
INSERTED DETAIL,701687,A-Stat Office Technology Limited,48.25,R4304,Photocopier Operating Lease,19/05/2023,191146425,Schools,The King's Church of England School
INSERTED DETAIL,701687,A-Stat Office Technology Limited,80.10,R4304,Photocopier Operating Lease,19/05/2023,191146427,Schools,The King's Church of England School
INSERTED DETAIL,701687,A-Stat Office Technology Limited,106.36,R4304,Photocopier Operating Lease,19/05/2023,191146430,Schools,The King's Church of England School
INSERTED DETAIL,701687,A-Stat Office Technology Limited,17.39,R4304,Photocopier Operating Lease,19/05/2023,191146424,Schools,The King's Church of England School
INSERTED DETAIL,701687,A-Stat Office Technology Limited,37.95,R4304,Photocopier Operating Lease,19/05/2023,191146426,Schools,The King's Church of England School
