Transparency Report October 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999081,Aggregate Industries UK Limited,640.57
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999084,Aggregate Industries UK Limited,1236.22
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999086,Aggregate Industries UK Limited,1173.06
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999087,Aggregate Industries UK Limited,1097.76
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999088,Aggregate Industries UK Limited,1441.78
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999089,Aggregate Industries UK Limited,1615.65
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999090,Aggregate Industries UK Limited,666.58
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999092,Aggregate Industries UK Limited,691.37
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999095,Aggregate Industries UK Limited,627.83
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999096,Aggregate Industries UK Limited,830.62
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999097,Aggregate Industries UK Limited,527.81
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999098,Aggregate Industries UK Limited,882.16
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999099,Aggregate Industries UK Limited,580.2
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45203,SOT0988506,Aggregate Industries UK Limited,362458.11
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45203,SOT0988507,Aggregate Industries UK Limited,270420.36
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45210,SOT0991230,Aggregate Industries UK Limited,574632.13
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45210,SOT0991375,Aggregate Industries UK Limited,103020.45
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45219,SOT0992138,Aggregate Industries UK Limited,201013.91
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45205,SOT0990841,Agincare UK Ltd,13194.45
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45205,SOT0990841,Agincare UK Ltd,893.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45211,SOT0992504,Agnes & Arthur,16874.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45225,SOT0999242,Agnes & Arthur,24960.51
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45211,SOT0992504,Agnes & Arthur,17041.66
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45225,SOT0999242,Agnes & Arthur,17041.66
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45211,SOT0992504,Agnes & Arthur,5044
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45225,SOT0999242,Agnes & Arthur,5044
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45211,SOT0992504,Agnes & Arthur,-649.62
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45225,SOT0999242,Agnes & Arthur,-649.62
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45222,SOT0997600,AJS Passenger Travel,8374
Stoke City Council,4HDG,"Housing, Development & Growth",DE105,Services,45205,SOT0980979,REDACTED - Personal Data,1500
Stoke City Council,4STAR,Strategy & Resources,dg105,Expenses,45226,SOT0999513,REDACTED - Personal Data,1006.25
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DC100,Clothes  uniform and laundry,45205,SOT0957554,Alexandra (MWUK trading as Alexandra),2580.33
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DC100,Clothes  uniform and laundry,45205,SOT0990651,Alexandra (MWUK trading as Alexandra),5344.99
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DC100,Clothes  uniform and laundry,45205,SOT0990653,Alexandra (MWUK trading as Alexandra),-1034
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DC100,Clothes  uniform and laundry,45205,SOT0990655,Alexandra (MWUK trading as Alexandra),-6332.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DC100,Clothes  uniform and laundry,45205,SOT0990656,Alexandra (MWUK trading as Alexandra),-638
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45211,SOT0992418,Alison House,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45225,SOT0999155,Alison House,3521.43
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45211,SOT0992418,Alison House,7500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45225,SOT0999155,Alison House,7500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45211,SOT0992418,Alison House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45225,SOT0999155,Alison House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45211,SOT0992418,Alison House,2600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45225,SOT0999155,Alison House,2600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45211,SOT0992418,Alison House,-1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45225,SOT0999155,Alison House,-1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45211,SOT0992418,Alison House,-645.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45225,SOT0999155,Alison House,-645.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45211,SOT0992418,Alison House,-633.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45225,SOT0999155,Alison House,-633.5
Stoke City Council,4SCHL,Schools,WXWBM,Schools Capital Balances,45210,SOT0991961,Allcomms Telecom,6125
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45211,SOT0992520,Allendale Residential,5614.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45225,SOT0999259,Allendale Residential,5614.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45219,SOT0993405,Allendale Specialist Day Care Centre Limited,670
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45219,SOT0993405,Allendale Specialist Day Care Centre Limited,1688
Stoke City Council,4HDG,"Housing, Development & Growth",DD100,Printing  stationery and gener,45222,SOT0996507,Allied Publicity Services (Manchester),1208.32
Stoke City Council,4STAR,Strategy & Resources,dg105,Expenses,45205,SOT0990724,Alpha Biolabs,516.25
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45205,SOT0990815,Alpha Learning Staffordshire Ltd,100000
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45224,SOT0998436,Alpha Learning Staffordshire Ltd,2000
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45224,SOT0998444,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990997,Alpine4Care Services LTD,25692.86
Stoke City Council,4CITD,City Director,DE100,Services,45203,SOT0989322,Amazing Apprenticeships Ltd,6000
Stoke City Council,4CITD,City Director,DK100,Miscellaneous expenses,45212,000011081658465,AMAZON  ,675
Stoke City Council,4CITD,City Director,DK100,Miscellaneous expenses,45226,000011137273759,AMAZON  ,675
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990982,Amber Fostering Ltd,4532
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990923,Amberleigh Care Ltd,25080
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45222,SOT0992631,AMG Nursing and Care Services,2032.1
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45222,SOT0997563,AMG Nursing and Care Services,2421.78
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45224,SOT0998770,AMG Nursing and Care Services,1271.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45224,SOT0998783,AMG Nursing and Care Services,1585.09
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45224,SOT0998784,AMG Nursing and Care Services,1271.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45224,SOT0998785,AMG Nursing and Care Services,782.96
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45224,SOT0998786,AMG Nursing and Care Services,1236.08
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45229,SOT0999935,AMG Nursing and Care Services,1839.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,eg136,Other establishments,45222,SOT0997342,Amplelime Healthcare Ltd,986.45
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45203,SOT0988310,Amplelime Healthcare Ltd,8469.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45203,SOT0988310,Amplelime Healthcare Ltd,697.6
Stoke City Council,4STAR,Strategy & Resources,dg105,Expenses,45205,SOT0990725,REDACTED - Personal Data,4427.5
Stoke City Council,4CAF,Children and Family Services,EA144,Independent units within CC,45226,000009128031052,AMZNMKTPLACE,577.5
Stoke City Council,4STAR,Strategy & Resources,AA700,Agency staff,45224,SOT0998216,Analysis Legal LLP,7405.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45211,SOT0992488,Anchor Hanover Group T/A Park Hall Care Home,16950.780000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45225,SOT0999226,Anchor Hanover Group T/A Park Hall Care Home,16757.920000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45211,SOT0992488,Anchor Hanover Group T/A Park Hall Care Home,16209.750000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45225,SOT0999226,Anchor Hanover Group T/A Park Hall Care Home,23551.18
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45211,SOT0992488,Anchor Hanover Group T/A Park Hall Care Home,7475.5599999999995
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45225,SOT0999226,Anchor Hanover Group T/A Park Hall Care Home,7475.5599999999995
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45211,SOT0992488,Anchor Hanover Group T/A Park Hall Care Home,-1198.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45225,SOT0999226,Anchor Hanover Group T/A Park Hall Care Home,-1198.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45211,SOT0992488,Anchor Hanover Group T/A Park Hall Care Home,-2756.48
