Transparency Report September 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45197.999444444446,SOT0988418,Blinded Faith,4775.76
Stoke City Council,4CAF,Children and Family Services,eg229,Other establishments,45174.999444444446,SOT0976907,Blinded Faith,16284.6
Stoke City Council,4CAF,Children and Family Services,eg229,Other establishments,45176.999444444446,SOT0978380,Blinded Faith,16264.8
Stoke City Council,4CAF,Children and Family Services,eg229,Other establishments,45183.999444444446,SOT0979860,Blinded Faith,11703.09
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45176.999444444446,SOT0978877,Blinded Faith,13248.02
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976412,Bluebell School Limited,-57491.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0975681,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976237,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976415,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976419,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976420,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976422,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976423,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976424,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976428,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976431,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976432,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976433,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976435,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976436,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976426,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976429,Bluebell School Limited,3072.9
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976437,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976438,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976440,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976441,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976442,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976444,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976445,Bluebell School Limited,3445.4
