,Transparency Report November 2023,,,,,,,
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011159,Oaklea House Care Home,4174.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA101,Equipment  furniture and mater,45233,SOT1001847,Oakleys Limited,1116.9
Stoke City Council,4HDG,"Housing, Development & Growth",DA101,Equipment  furniture and mater,45254,SOT1010944,Oakleys Limited,741.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011089,Oakview Residential Care Home,3600
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45245,SOT1007715,Off The Wall Building and Property Maintenance,525
Stoke City Council,4CAF,Children and Family Services,ec100,Other local authorities,45250,SOT1009151,Office of the Police and Crime Comm. Staffordshire,5760
Stoke City Council,#N/A,Collection Fund Revenue,dj102,Contributions to provisions,45246,SOT1008154,Office of the Police and Crime Comm. Staffordshire,1444689.11
Stoke City Council,#N/A,Collection Fund Revenue,dj153,Contributions to provisions,45246,SOT1008154,Office of the Police and Crime Comm. Staffordshire,24270.33
Stoke City Council,4CAF,Children and Family Services,DH122,Grants and subscriptions,45254,SOT1002931,Ofsted,3120
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003173,Olcote House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011080,Olcote House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003090,Old Posting Office (Haughton) Ltd,4573.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1010995,Old Posting Office (Haughton) Ltd,4573.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DH101,Grants and subscriptions,45233,SOT1001796,REDACTED - Personal Data,837
Stoke City Council,4STAR,Strategy & Resources,DA100,Equipment  furniture and mater,45252,SOT1001813,Online Ergonomics Ltd,2126
Stoke City Council,4HDG,"Housing, Development & Growth",BA100,Repairs alterations mtce of bu,45238,SOT0978196,Online Playgrounds,2302
Stoke City Council,4STAR,Strategy & Resources,bb102,Energy costs,45243,SOT1003950,Opus Energy Ltd,628.14
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45231,SOT1000119,Orange Grove Fostercare Ltd ,47139.75
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002284,Orange Grove Fostercare Ltd ,49377.91
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003221,Orbis Education and Care Ltd,19181.980000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011132,Orbis Education and Care Ltd,19181.980000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003170,Orchard Care  C/O Carol Forys,3721.84
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011077,Orchard Care  C/O Carol Forys,3721.84
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003170,Orchard Care  C/O Carol Forys,19148.34
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003171,Orchard Care  C/O Carol Forys,12369
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011077,Orchard Care  C/O Carol Forys,19148.34
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011078,Orchard Care  C/O Carol Forys,12369
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45231,SOT1000124,Orchard Care (North East) Limited,6909
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002315,Orchard Care (North East) Limited,4116
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003921,ORCHARD CHILDREN HOMES LTD,19928.57
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45231,SOT1001164,Orion Security Print,2490
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45238,SOT1002378,Orion Security Print,4920
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45254,SOT1009070,Orion Security Print,4920
Stoke City Council,4SCHL,Schools,DK193,Miscellaneous expenses,45252,SOT1009281,Outback2basics,800
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003925,Outbound Care Limited,25464.29
Stoke City Council,4STAR,Strategy & Resources,DD113,Printing  stationery and gener,45236,SOT1002129,OverDrive Global Limited,4000
Stoke City Council,4ASCHIWC,ASC Health Int & Wellb Capital,QXPSP,Intangible Assets,45236,SOT0998631,Oxford Computer Consultants Limited,4334.71
Stoke City Council,4ASCHIWC,ASC Health Int & Wellb Capital,QXPSP,Intangible Assets,45236,SOT1002281,Oxford Computer Consultants Limited,76873.06
Stoke City Council,4CAF,Children and Family Services,de113,Services,45236,SOT1002088,P J Stanley,625
Stoke City Council,4CAF,Children and Family Services,de113,Services,45247,SOT1007805,Pace Education,24513
Stoke City Council,4HRAHT,Housing Transformation,BA100,Repairs alterations mtce of bu,45254,SOT1011222,Pag Cleaning Services (uk) LTD,600
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45259,SOT1010848,Paragon Locums Ltd,15076.64
Stoke City Council,4SCHL,Schools,DF100,Communications and computing,45240,SOT1002994,Parentpay Ltd,1147.44
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002280,Park Foster Care,100585.44000000002
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012298,Park Foster Care,95736.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003254,Parkcare Homes Ltd - Beechley Drive,6115.72
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011165,Parkcare Homes Ltd - Beechley Drive,6115.72
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003940,Parkwood Care Limited,31221.43
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45259,SOT1013037,Passion 4 Care Ltd ,26721.35
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG206,Other establishments,45259,SOT1013037,Passion 4 Care Ltd ,686.7
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45259,SOT1013037,Passion 4 Care Ltd ,959.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45259,SOT1013037,Passion 4 Care Ltd ,1002.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45259,SOT1013037,Passion 4 Care Ltd ,1417
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003943,Pasture View Nurturing Homes Ltd,25902.71
Stoke City Council,4CAF,Children and Family Services,de113,Services,45245,SOT1004596,Pathway First Ltd,12441.5
Stoke City Council,4HDG,"Housing, Development & Growth",DF118,Communications and computing,45236,SOT0975823,PATROL  - Parking,1954.8
Stoke City Council,4HDG,"Housing, Development & Growth",DF118,Communications and computing,45245,SOT1001404,PATROL  - Parking,849
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003154,Paul Clarkes Homes,26724.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011061,Paul Clarkes Homes,21144.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG185,Other establishments,45243,SOT1004505,REDACTED - Personal Data,1590.46
Stoke City Council,4CAF,Children and Family Services,de113,Services,45243,SOT1003821,REDACTED - Personal Data,504
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45257,SOT1011791,PD Law Solicitors,1900.11
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003163,Pearl Care Ltd,13197.280000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011070,Pearl Care Ltd,13197.280000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003163,Pearl Care Ltd,5448
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011070,Pearl Care Ltd,5448
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003163,Pearl Care Ltd,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011070,Pearl Care Ltd,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003163,Pearl Care Ltd,5350
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011070,Pearl Care Ltd,5350
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003163,Pearl Care Ltd,-570.38
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011070,Pearl Care Ltd,-570.38
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003163,Pearl Care Ltd,-724.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011070,Pearl Care Ltd,-724.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45239,SOT1003163,Pearl Care Ltd,-658.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45253,SOT1011070,Pearl Care Ltd,-658.68
Stoke City Council,4ASCHIWC,ASC Health Int & Wellb Capital,QXWBE,External Fees,45240,SOT1001523,PERRINS DESIGN ASSOCIATES LTD,3190
Stoke City Council,4CAF,Children and Family Services,EG232,Other establishments,45233,SOT0999562,Perry Barr Child Contact Centre,1200
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45231,SOT1000246,Pertemps Professional Recruitment Ltd,1040
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DH100,Grants and subscriptions,45252,SOT1010417,REDACTED - Personal Data,3000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC398,Fees and Charges,45247,SOT1008184,REDACTED - Personal Data,742.57
Stoke City Council,4STAR,Strategy & Resources,DD113,Printing  stationery and gener,45236,SOT1002152,Peters Ltd,972.87
Stoke City Council,4HDG,"Housing, Development & Growth",DE105,Services,45233,SOT1001329,Phil Jones Associates Limited,3487.5
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002290,Phoenix Fostering,5900
Stoke City Council,4STAR,Strategy & Resources,BH100,Cleaning and domestic supplies,45245,SOT1007708,PHS Group Ltd,1027.74
Stoke City Council,4CITD,City Director,dh102,Grants and subscriptions,45250,SOT1008501,Pilat Europe Limited,3294
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45238,SOT1002847,Pioneer TEC,18000
Stoke City Council,4HDG,"Housing, Development & Growth",DF100,Communications and computing,45238,SOT0999101,Pitney Bowes Finance LTD,1670.32
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003918,Platinum Services for Children Residential Care ,18874.4
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT0987241,Pontville Schools Ltd,-30736.32
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT0987243,Pontville Schools Ltd,-29744.7
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT0987244,Pontville Schools Ltd,-30736.32
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT0990922,Pontville Schools Ltd,18326.52
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1003911,Pontville Schools Ltd,18326.52
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1003912,Pontville Schools Ltd,18326.52
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1003913,Pontville Schools Ltd,18326.52
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012182,Pontville Schools Ltd,18325.52
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012183,Pontville Schools Ltd,18326.52
Stoke City Council,4PUBH,Public Health,BA100,Repairs alterations mtce of bu,45259,SOT1010756,Pool  Cover Systems,766
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45240,SOT1003294,Poole Dick Associates Ltd,20000
Stoke City Council,4HRADRC,Housing Development and Regen Capital,QXABE,Land and Buildings,45245,SOT1004887,Poole Dick Associates Ltd,738.33
Stoke City Council,4STARC,Strategy & Resources Capital,QXWBE,External Fees,45245,SOT1007723,Poole Dick Associates Ltd,2420
Stoke City Council,4CAF,Children and Family Services,BC100,Rents,45231,SOT0999593,Portakabin Ltd,10021.369999999999
Stoke City Council,4CAF,Children and Family Services,BC100,Rents,45259,SOT1004901,Portakabin Ltd,6070.98
Stoke City Council,4CAF,Children and Family Services,BC100,Rents,45259,SOT1004903,Portakabin Ltd,7106.69
Stoke City Council,4CAF,Children and Family Services,BC100,Rents,45259,SOT1004904,Portakabin Ltd,9393.93
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBE,External Fees,45259,SOT1004900,Portakabin Ltd,2691
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45231,SOT0999593,Portakabin Ltd,1634.06
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45236,SOT1001004,Portakabin Ltd,32230.37
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45259,SOT1009100,Portakabin Ltd,32230.37
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45259,SOT1004902,Portakabin Ltd,25787.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012189,Positive Pathways,31424.27
Stoke City Council,4STAR,Strategy & Resources,DF127,Communications and computing,45247,SOT1008338,Post Office Limited,1186
Stoke City Council,4HDG,"Housing, Development & Growth",CA111,Direct transport costs,45240,SOT1003377,Post Office Limited ,17473.05
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010779,Potteries Educational Trust t/a Moorside High Sch,8000
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010780,Potteries Educational Trust t/a Moorside High Sch,-666.67
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010782,Potteries Educational Trust t/a Moorside High Sch,-666.67
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010783,Potteries Educational Trust t/a Moorside High Sch,-666.66
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010784,Potteries Educational Trust t/a Moorside High Sch,8666.67
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1010785,Potteries Educational Trust t/a Moorside High Sch,4000
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45247,SOT1008512,Potteries Waste,1260
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45247,SOT1008514,Potteries Waste,2100
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003230,Potton house care home ,3052.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011141,Potton house care home ,3052.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45231,SOT1000274,Pre Care Services Ltd,10976.3
Stoke City Council,4HDG,"Housing, Development & Growth",AA700,Agency staff,45245,SOT1005547,Precision Resource Group Ltd t/a Panoramic Associa,23375
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003917,Prestige Adolescent Care & Education,52430.46
Stoke City Council,4CAF,Children and Family Services,de113,Services,45243,SOT1000264,Prime Resolution Ltd,770
Stoke City Council,4CAF,Children and Family Services,de113,Services,45259,SOT1007806,Prime Resolution Ltd,770
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003118,Priorcare Homes Ltd,8917.7
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011024,Priorcare Homes Ltd,8917.7
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003118,Priorcare Homes Ltd,7563.06
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011024,Priorcare Homes Ltd,7563.06
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003118,Priorcare Homes Ltd,7157.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011024,Priorcare Homes Ltd,11731.59
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003194,Priory Group Northern Office,3449.7
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45238,SOT1002367,Prism Medical UK (Westholme Division),4028.5
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45238,SOT1002368,Prism Medical UK (Westholme Division),4693.5
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45238,SOT1002371,Prism Medical UK (Westholme Division),6206
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45238,SOT1002733,Prism Medical UK (Westholme Division),4415.9
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45252,SOT1008525,Prism Medical UK (Westholme Division),1671.75
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DK134,Miscellaneous expenses,45252,SOT1010089,Prism Medical UK (Westholme Division),993
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003096,Pristine Care Group formerly Tall Oaks,7160.860000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011000,Pristine Care Group formerly Tall Oaks,7160.860000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003096,Pristine Care Group formerly Tall Oaks,5600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011000,Pristine Care Group formerly Tall Oaks,5600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003096,Pristine Care Group formerly Tall Oaks,-652.64
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011000,Pristine Care Group formerly Tall Oaks,-652.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45231,SOT1000120,Progress Children`s Services Ltd,36230.68
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002296,Progress Children`s Services Ltd,36230.68
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012307,Progress Children`s Services Ltd,36230.68
Stoke City Council,4SCHL,Schools,BH102,Cleaning and domestic supplies,45252,SOT1009214,Proklean,2234.98
Stoke City Council,4CAF,Children and Family Services,EA147,Independent units within CC,45259,SOT1012232,Promises of Care Ltd,8142.86
Stoke City Council,4PUBH,Public Health,DE100,Services,45238,SOT1002900,Prosport Direct Limited,3655.5
Stoke City Council,4PUBH,Public Health,DE100,Services,45243,SOT1003858,Prosport Direct Limited,4044.5
Stoke City Council,4PUBH,Public Health,DE100,Services,45250,SOT1009068,Prosport Direct Limited,1005
Stoke City Council,4HRAHT,Housing Transformation,DD100,Printing  stationery and gener,45247,SOT1008198,Psl Print Management Ltd,1350.07
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45245,SOT1007535,Psl Print Management Ltd,1771.87
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45245,SOT1007542,Psl Print Management Ltd,998.73
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45245,SOT1007543,Psl Print Management Ltd,3217.6
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45257,SOT1011581,Psl Print Management Ltd,11109.68
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45257,SOT1011590,Psl Print Management Ltd,1328.69
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45257,SOT1011591,Psl Print Management Ltd,1931.83
Stoke City Council,4HDG,"Housing, Development & Growth",DF101,Communications and computing,45259,SOT1012721,Purchase Power,10774.5
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002324,Pyramid Care Fostering Services,8500
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012329,Pyramid Care Fostering Services,8500
Stoke City Council,4STAR,Strategy & Resources,DK111,Miscellaneous expenses,45252,SOT1010090,Q Squared Design Limited,1750
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45257,000009181696166,QUADIENT UK LTD,2000
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45257,000009206485296,QUADIENT UK LTD,900
Stoke City Council,4STAR,Strategy & Resources,DF101,Communications and computing,45257,000011203880353,QUADIENT UK LTD,4000
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002295,Quality Fostering Ltd,5171.4
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012186,Quality Protects Children,37399.29
Stoke City Council,4HDG,"Housing, Development & Growth",BA114,Repairs alterations mtce of bu,45257,SOT1011817,Quattro Products Ltd,700
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003928,Rachel Gray T/A IMPACT Childrens Residential Care,20134.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45236,SOT1002093,Radis Community Care,5694.84
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG143,Other establishments,45240,SOT1002949,Radis Community Care,56440.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG143,Other establishments,45240,SOT1002950,Radis Community Care,52893
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002320,Rainbow Fostering Services Ltd,3400
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012326,Rainbow Fostering Services Ltd,3400
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45236,SOT1002320,Rainbow Fostering Services Ltd,3572
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45259,SOT1012326,Rainbow Fostering Services Ltd,3572
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45233,SOT1001755,Rapid Travel Ltd,6525.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,cc109,Contract hire&operating leases,45233,SOT1001754,Rapid Travel Ltd,3007.73
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,cc109,Contract hire&operating leases,45233,SOT1001755,Rapid Travel Ltd,3921.6
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXALE,Land and Buildings,45259,SOT1011831,Ravent Ltd,583.33
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXALE,Land and Buildings,45259,SOT1011832,Ravent Ltd,583.33
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwne,External Fees,45233,SOT1001711,REACH PUBLISHING SERVICES LIMITED,524.4
Stoke City Council,4HDG,"Housing, Development & Growth",DF100,Communications and computing,45247,SOT1008274,Reactec Limited,1572.48
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009325,REDACTED - Personal Data,4416
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009326,REDACTED - Personal Data,1240.32
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009327,REDACTED - Personal Data,1162.8
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009334,REDACTED - Personal Data,2720
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009341,REDACTED - Personal Data,516.8
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009343,REDACTED - Personal Data,720
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009347,REDACTED - Personal Data,640
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009349,REDACTED - Personal Data,11646.4
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009351,REDACTED - Personal Data,1850.24
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009360,REDACTED - Personal Data,24303.2
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009365,REDACTED - Personal Data,512
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009366,REDACTED - Personal Data,1369.52
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009368,REDACTED - Personal Data,966.8
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009370,REDACTED - Personal Data,2170.56
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009371,REDACTED - Personal Data,1760
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009373,REDACTED - Personal Data,1120
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009375,REDACTED - Personal Data,3100.8
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009376,REDACTED - Personal Data,694.4
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009377,REDACTED - Personal Data,930.24
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009380,REDACTED - Personal Data,995.2
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009382,REDACTED - Personal Data,620.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009392,REDACTED - Personal Data,2170.56
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009394,REDACTED - Personal Data,640
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009397,REDACTED - Personal Data,544
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009404,REDACTED - Personal Data,523.2
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009405,REDACTED - Personal Data,516.8
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009406,REDACTED - Personal Data,983.2
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009408,REDACTED - Personal Data,4889.6
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009409,REDACTED - Personal Data,620.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009410,REDACTED - Personal Data,1600
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009412,REDACTED - Personal Data,836
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009420,REDACTED - Personal Data,800
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009421,REDACTED - Personal Data,1280
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009422,REDACTED - Personal Data,1792
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45251,SOT1009430,REDACTED - Personal Data,1880
